feature	chromosome	start	end	SLX-17921.D704tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D710tp_D505tp.HC22VBBXY.s_3.r_1	SLX-16150.D710tp_D508tp.HC22VBBXY.s_3.r_1
4:4500001-5000000	4	4500001	5000000	1.062	0.843	1.039
4:5500001-6000000	4	5500001	6000000	1.126	0.877	1.077
4:6000001-6500000	4	6000001	6500000	1.007	0.877	1.027
4:6500001-7000000	4	6500001	7000000	0.961	0.769	0.995
4:7000001-7500000	4	7000001	7500000	1.093	0.927	1.008
4:7500001-8000000	4	7500001	8000000	0.996	0.974	1.057
4:8000001-8500000	4	8000001	8500000	1.011	0.877	1.07
4:8500001-9000000	4	8500001	9000000	1.031	0.855	1.201
4:10000001-10500000	4	10000001	10500000	0.965	0.832	0.974
4:10500001-11000000	4	10500001	11000000	0.92	0.8	1.012
4:11000001-11500000	4	11000001	11500000	1.137	0.938	1.043
4:11500001-12000000	4	11500001	12000000	1.056	0.911	0.978
4:12000001-12500000	4	12000001	12500000	1.032	0.824	0.904
4:13000001-13500000	4	13000001	13500000	0.974	0.912	0.938
4:13500001-14000000	4	13500001	14000000	0.88	0.902	0.925
4:14000001-14500000	4	14000001	14500000	1.081	0.879	1.03
4:15000001-15500000	4	15000001	15500000	1.108	0.887	1.133
4:15500001-16000000	4	15500001	16000000	1.004	0.793	0.941
4:16000001-16500000	4	16000001	16500000	1.021	0.918	1.053
4:16500001-17000000	4	16500001	17000000	1.046	0.85	1.001
4:17500001-18000000	4	17500001	18000000	0.992	0.818	0.989
4:18000001-18500000	4	18000001	18500000	0.937	0.826	1.076
4:19000001-19500000	4	19000001	19500000	0.879	0.833	1.018
4:19500001-20000000	4	19500001	20000000	0.958	0.796	0.991
4:20000001-20500000	4	20000001	20500000	1.01	0.814	1.005
4:20500001-21000000	4	20500001	21000000	1.069	0.846	1.002
4:21000001-21500000	4	21000001	21500000	0.903	0.906	0.968
4:21500001-22000000	4	21500001	22000000	0.923	0.833	1.013
4:22000001-22500000	4	22000001	22500000	1.009	0.79	1.052
4:23000001-23500000	4	23000001	23500000	0.944	0.913	0.975
4:23500001-24000000	4	23500001	24000000	1.04	0.903	1.007
4:24000001-24500000	4	24000001	24500000	1.116	0.923	1.026
4:24500001-25000000	4	24500001	25000000	0.993	0.812	0.957
4:25000001-25500000	4	25000001	25500000	0.988	0.854	0.924
4:26000001-26500000	4	26000001	26500000	1.017	0.821	0.899
4:26500001-27000000	4	26500001	27000000	0.905	0.879	1.022
4:27000001-27500000	4	27000001	27500000	0.927	0.912	1.054
4:28000001-28500000	4	28000001	28500000	0.911	0.766	0.883
4:28500001-29000000	4	28500001	29000000	0.925	0.75	0.942
4:29000001-29500000	4	29000001	29500000	1.001	0.819	0.985
4:29500001-30000000	4	29500001	30000000	1.004	0.923	0.984
4:30000001-30500000	4	30000001	30500000	0.925	1.097	0.997
4:31000001-31500000	4	31000001	31500000	0.993	0.978	0.91
4:31500001-32000000	4	31500001	32000000	1.009	1.13	0.964
4:32500001-33000000	4	32500001	33000000	0.941	1.113	1.003
4:33000001-33500000	4	33000001	33500000	0.995	0.829	0.96
4:33500001-34000000	4	33500001	34000000	0.886	0.786	0.871
4:34000001-34500000	4	34000001	34500000	0.96	0.768	0.916
4:34500001-35000000	4	34500001	35000000	1.026	0.822	0.933
4:35000001-35500000	4	35000001	35500000	1.002	0.797	0.979
4:35500001-36000000	4	35500001	36000000	0.978	0.819	0.945
4:36000001-36500000	4	36000001	36500000	0.97	0.865	1.041
4:36500001-37000000	4	36500001	37000000	0.896	0.769	0.999
4:37000001-37500000	4	37000001	37500000	0.97	0.831	1.122
4:37500001-38000000	4	37500001	38000000	0.94	0.763	0.969
4:38000001-38500000	4	38000001	38500000	0.888	0.954	1.03
4:38500001-39000000	4	38500001	39000000	0.932	0.792	0.919
4:39000001-39500000	4	39000001	39500000	0.906	0.815	0.983
4:39500001-40000000	4	39500001	40000000	0.949	1	0.948
4:40000001-40500000	4	40000001	40500000	1.131	0.985	1.008
4:40500001-41000000	4	40500001	41000000	1.073	1.15	1.041
4:41500001-42000000	4	41500001	42000000	1.053	1.332	1.14
4:42000001-42500000	4	42000001	42500000	0.985	1.205	1.096
4:42500001-43000000	4	42500001	43000000	0.978	1.214	1.058
4:43000001-43500000	4	43000001	43500000	1.048	1.213	0.962
4:43500001-44000000	4	43500001	44000000	1.018	1.145	0.981
4:44000001-44500000	4	44000001	44500000	0.973	1.198	1.097
4:44500001-45000000	4	44500001	45000000	1.012	1.149	1.097
4:45000001-45500000	4	45000001	45500000	1.086	1.13	0.992
4:45500001-46000000	4	45500001	46000000	1.052	1.045	1.093
4:46000001-46500000	4	46000001	46500000	1.044	1.123	1.11
4:46500001-47000000	4	46500001	47000000	1.003	1.212	1.059
4:47000001-47500000	4	47000001	47500000	0.997	1.27	1.006
4:48000001-48500000	4	48000001	48500000	0.993	1.148	0.965
4:48500001-49000000	4	48500001	49000000	0.951	1.141	1.036
4:52000001-52500000	4	52000001	52500000	1.035	0.878	1.035
4:52500001-53000000	4	52500001	53000000	1.018	0.837	1.076
4:53000001-53500000	4	53000001	53500000	0.937	0.793	1.066
4:53500001-54000000	4	53500001	54000000	1.05	0.862	1.016
4:54000001-54500000	4	54000001	54500000	0.928	0.771	0.982
4:54500001-55000000	4	54500001	55000000	1.1	0.819	1.091
4:55500001-56000000	4	55500001	56000000	1.087	1.159	1.037
4:56000001-56500000	4	56000001	56500000	1.02	1.161	0.956
4:56500001-57000000	4	56500001	57000000	1.106	1.072	1.039
4:57000001-57500000	4	57000001	57500000	1.03	1.187	1.083
4:57500001-58000000	4	57500001	58000000	0.995	1.143	1.099
4:58000001-58500000	4	58000001	58500000	1.009	1.109	0.985
4:58500001-59000000	4	58500001	59000000	1.166	1.074	1.024
4:59000001-59500000	4	59000001	59500000	0.994	1.095	1.024
4:59500001-60000000	4	59500001	60000000	0.898	1.049	1.002
4:60000001-60500000	4	60000001	60500000	0.911	1.102	0.936
4:60500001-61000000	4	60500001	61000000	0.99	1.124	0.961
4:61000001-61500000	4	61000001	61500000	0.987	1.178	1.044
4:61500001-62000000	4	61500001	62000000	1.098	1.154	1.075
4:62000001-62500000	4	62000001	62500000	1.051	1.095	1.031
4:62500001-63000000	4	62500001	63000000	0.94	1.051	0.945
4:63000001-63500000	4	63000001	63500000	0.916	1.06	0.94
4:63500001-64000000	4	63500001	64000000	0.949	1.101	0.997
4:64000001-64500000	4	64000001	64500000	1.015	1.124	0.998
4:65000001-65500000	4	65000001	65500000	1.013	1.092	1.015
4:65500001-66000000	4	65500001	66000000	1.03	1.134	1.086
4:66500001-67000000	4	66500001	67000000	1.044	1.174	0.954
4:67000001-67500000	4	67000001	67500000	1.141	1.108	1.079
4:67500001-68000000	4	67500001	68000000	1.042	1.119	1.068
4:69500001-70000000	4	69500001	70000000	0.895	1.071	1.018
4:70000001-70500000	4	70000001	70500000	0.97	1.073	1.023
4:70500001-71000000	4	70500001	71000000	0.985	1.022	0.941
4:71000001-71500000	4	71000001	71500000	1.223	1.207	1.147
4:71500001-72000000	4	71500001	72000000	0.999	1.228	1.061
4:72000001-72500000	4	72000001	72500000	1.043	1.181	1.078
4:72500001-73000000	4	72500001	73000000	1.105	1.059	1.086
4:73000001-73500000	4	73000001	73500000	0.87	1.088	1.024
4:73500001-74000000	4	73500001	74000000	0.933	1.172	1.063
4:74000001-74500000	4	74000001	74500000	1.016	1.186	1.081
4:74500001-75000000	4	74500001	75000000	0.992	1.257	1.132
4:75500001-76000000	4	75500001	76000000	0.981	1.165	0.971
4:76000001-76500000	4	76000001	76500000	1.045	1.224	1.067
4:76500001-77000000	4	76500001	77000000	1.015	1.439	1.058
4:77000001-77500000	4	77000001	77500000	1.146	1.084	1.096
4:77500001-78000000	4	77500001	78000000	0.954	0.852	0.961
4:78500001-79000000	4	78500001	79000000	1.076	0.832	0.91
4:79000001-79500000	4	79000001	79500000	0.984	0.845	1.018
4:79500001-80000000	4	79500001	80000000	1.015	0.805	1.019
4:80000001-80500000	4	80000001	80500000	1.001	0.814	1.018
4:80500001-81000000	4	80500001	81000000	1.053	0.775	1.123
4:81000001-81500000	4	81000001	81500000	0.924	0.894	1.045
4:81500001-82000000	4	81500001	82000000	0.943	0.828	0.995
4:82000001-82500000	4	82000001	82500000	1.017	1.033	1.055
4:82500001-83000000	4	82500001	83000000	1.001	0.851	1.011
4:83500001-84000000	4	83500001	84000000	0.947	0.825	0.816
4:84000001-84500000	4	84000001	84500000	1.076	0.86	1.081
4:84500001-85000000	4	84500001	85000000	0.989	0.796	0.997
4:85000001-85500000	4	85000001	85500000	0.951	0.945	1.068
4:85500001-86000000	4	85500001	86000000	1.018	0.799	1.064
4:86000001-86500000	4	86000001	86500000	1.08	0.848	1.116
4:86500001-87000000	4	86500001	87000000	1.048	0.827	1.006
4:87000001-87500000	4	87000001	87500000	0.946	0.794	0.979
4:87500001-88000000	4	87500001	88000000	0.977	0.833	1.136
4:88000001-88500000	4	88000001	88500000	0.933	0.73	0.94
4:88500001-89000000	4	88500001	89000000	1.003	0.891	0.995
4:89000001-89500000	4	89000001	89500000	1.002	0.832	1.012
4:90000001-90500000	4	90000001	90500000	0.935	0.833	1.082
4:90500001-91000000	4	90500001	91000000	1.046	0.783	1.061
4:91000001-91500000	4	91000001	91500000	1.031	0.738	1.068
4:91500001-92000000	4	91500001	92000000	0.916	0.735	0.96
4:92000001-92500000	4	92000001	92500000	0.99	0.835	0.972
4:93000001-93500000	4	93000001	93500000	1.151	1.739	1.148
4:93500001-94000000	4	93500001	94000000	1.051	1.748	1.136
4:94000001-94500000	4	94000001	94500000	1.085	0.989	0.886
4:94500001-95000000	4	94500001	95000000	0.94	0.843	1.024
4:95000001-95500000	4	95000001	95500000	1.02	0.856	0.993
4:95500001-96000000	4	95500001	96000000	0.982	0.847	0.957
4:96000001-96500000	4	96000001	96500000	0.908	0.821	0.967
4:96500001-97000000	4	96500001	97000000	0.954	0.779	1.074
4:97000001-97500000	4	97000001	97500000	1.014	0.82	1.015
4:97500001-98000000	4	97500001	98000000	0.915	0.708	0.91
4:98000001-98500000	4	98000001	98500000	1.128	0.827	0.955
4:98500001-99000000	4	98500001	99000000	0.937	0.853	0.979
4:99000001-99500000	4	99000001	99500000	1.062	0.873	1.068
4:99500001-100000000	4	99500001	100000000	0.936	0.822	0.982
4:100000001-100500000	4	100000001	100500000	0.942	0.814	0.928
4:100500001-101000000	4	100500001	101000000	1.04	0.777	1.027
4:101000001-101500000	4	101000001	101500000	1.016	0.821	1.001
4:101500001-102000000	4	101500001	102000000	0.955	0.804	1.029
4:102000001-102500000	4	102000001	102500000	1.072	0.846	1.003
4:103000001-103500000	4	103000001	103500000	0.918	0.765	1.122
4:103500001-104000000	4	103500001	104000000	0.918	0.795	0.977
4:104000001-104500000	4	104000001	104500000	1.006	0.791	1.049
4:104500001-105000000	4	104500001	105000000	0.933	0.831	1.081
4:105000001-105500000	4	105000001	105500000	0.936	0.823	1.002
4:105500001-106000000	4	105500001	106000000	1.058	0.872	1.02
4:106000001-106500000	4	106000001	106500000	0.947	0.793	0.964
4:106500001-107000000	4	106500001	107000000	1.03	0.873	1.012
4:107000001-107500000	4	107000001	107500000	0.918	0.788	0.94
4:108000001-108500000	4	108000001	108500000	0.984	0.795	1.057
4:108500001-109000000	4	108500001	109000000	0.936	0.876	1.031
4:109000001-109500000	4	109000001	109500000	1.104	1.74	1.127
4:109500001-110000000	4	109500001	110000000	1.07	1.747	1.097
4:110000001-110500000	4	110000001	110500000	1.136	1.789	1.186
4:110500001-111000000	4	110500001	111000000	1.114	1.93	1.175
4:111000001-111500000	4	111000001	111500000	1.094	1.552	1.093
4:111500001-112000000	4	111500001	112000000	1.18	1.95	1.134
4:112500001-113000000	4	112500001	113000000	0.994	1.62	1.045
4:113000001-113500000	4	113000001	113500000	0.987	0.881	1.043
4:113500001-114000000	4	113500001	114000000	1.086	0.806	0.972
4:114000001-114500000	4	114000001	114500000	0.999	0.857	1.025
4:114500001-115000000	4	114500001	115000000	0.973	0.867	0.908
4:115000001-115500000	4	115000001	115500000	1.102	0.833	0.895
4:115500001-116000000	4	115500001	116000000	0.924	0.741	0.953
4:116500001-117000000	4	116500001	117000000	0.908	0.839	0.927
4:117000001-117500000	4	117000001	117500000	0.937	0.827	1.027
4:117500001-118000000	4	117500001	118000000	1.071	0.776	0.97
4:118000001-118500000	4	118000001	118500000	1.049	0.833	0.964
4:119500001-120000000	4	119500001	120000000	1.011	0.776	1.046
4:120000001-120500000	4	120000001	120500000	0.982	0.833	0.93
4:120500001-121000000	4	120500001	121000000	1.053	0.779	0.997
4:121000001-121500000	4	121000001	121500000	1.021	0.882	1.01
4:121500001-122000000	4	121500001	122000000	0.936	0.848	0.989
4:122000001-122500000	4	122000001	122500000	1.025	0.826	1.01
4:122500001-123000000	4	122500001	123000000	1.089	0.84	1.032
4:123000001-123500000	4	123000001	123500000	0.975	0.783	0.98
4:123500001-124000000	4	123500001	124000000	1.091	0.811	1.042
4:124000001-124500000	4	124000001	124500000	1.036	0.798	1.091
4:124500001-125000000	4	124500001	125000000	1.026	0.906	1.016
4:125000001-125500000	4	125000001	125500000	0.935	0.822	0.952
4:125500001-126000000	4	125500001	126000000	1.033	0.849	0.992
4:126000001-126500000	4	126000001	126500000	1.006	0.726	0.972
4:126500001-127000000	4	126500001	127000000	1.044	0.752	0.993
4:127000001-127500000	4	127000001	127500000	0.994	0.787	0.978
4:127500001-128000000	4	127500001	128000000	1.036	0.835	1.005
4:128500001-129000000	4	128500001	129000000	0.944	0.791	0.947
4:129000001-129500000	4	129000001	129500000	0.983	0.911	1.024
4:129500001-130000000	4	129500001	130000000	1.03	0.756	0.976
4:130000001-130500000	4	130000001	130500000	1.044	0.77	0.949
4:130500001-131000000	4	130500001	131000000	0.939	0.805	0.891
4:131000001-131500000	4	131000001	131500000	1.009	0.827	0.906
4:132000001-132500000	4	132000001	132500000	0.924	0.732	0.831
4:132500001-133000000	4	132500001	133000000	0.947	0.815	0.893
4:133000001-133500000	4	133000001	133500000	1.052	0.689	1.044
4:133500001-134000000	4	133500001	134000000	0.937	0.758	0.853
4:134000001-134500000	4	134000001	134500000	1.002	0.878	0.991
4:134500001-135000000	4	134500001	135000000	1.016	0.733	0.915
4:135000001-135500000	4	135000001	135500000	0.988	0.827	0.932
4:135500001-136000000	4	135500001	136000000	0.969	0.778	0.987
4:136000001-136500000	4	136000001	136500000	0.956	0.829	0.978
4:136500001-137000000	4	136500001	137000000	0.943	0.831	0.988
4:137000001-137500000	4	137000001	137500000	0.916	0.811	0.903
4:137500001-138000000	4	137500001	138000000	0.96	0.941	1.027
4:138000001-138500000	4	138000001	138500000	0.972	0.923	0.999
4:138500001-139000000	4	138500001	139000000	1.121	0.894	1.033
4:139000001-139500000	4	139000001	139500000	0.891	0.719	0.872
4:139500001-140000000	4	139500001	140000000	0.974	0.922	1.01
4:140000001-140500000	4	140000001	140500000	0.926	0.85	1.021
4:141000001-141500000	4	141000001	141500000	1.071	0.793	1.003
4:141500001-142000000	4	141500001	142000000	0.997	0.839	0.96
4:142000001-142500000	4	142000001	142500000	0.96	0.817	0.992
4:142500001-143000000	4	142500001	143000000	0.996	0.912	1.012
4:144500001-145000000	4	144500001	145000000	1.025	0.816	0.962
4:145000001-145500000	4	145000001	145500000	0.902	0.844	0.929
4:145500001-146000000	4	145500001	146000000	1.01	0.907	0.989
4:146000001-146500000	4	146000001	146500000	0.947	0.874	0.975
4:146500001-147000000	4	146500001	147000000	1.018	0.865	1.045
4:147000001-147500000	4	147000001	147500000	0.997	0.948	1.036
4:147500001-148000000	4	147500001	148000000	0.898	0.854	0.975
4:148000001-148500000	4	148000001	148500000	1.182	0.821	1.024
4:148500001-149000000	4	148500001	149000000	1.039	0.847	0.975
4:149000001-149500000	4	149000001	149500000	0.924	0.865	1
4:149500001-150000000	4	149500001	150000000	0.944	0.904	1.081
4:150000001-150500000	4	150000001	150500000	1.014	0.842	0.938
4:150500001-151000000	4	150500001	151000000	0.983	0.771	0.976
4:151000001-151500000	4	151000001	151500000	1.033	0.84	0.952
4:151500001-152000000	4	151500001	152000000	1.013	0.89	1.022
4:152000001-152500000	4	152000001	152500000	1.005	0.884	1
4:152500001-153000000	4	152500001	153000000	0.906	0.904	0.996
4:153000001-153500000	4	153000001	153500000	0.936	0.747	1.008
4:153500001-154000000	4	153500001	154000000	1.015	0.891	1
4:154000001-154500000	4	154000001	154500000	0.999	0.869	1.049
4:154500001-155000000	4	154500001	155000000	1.073	0.896	0.994
4:155500001-156000000	4	155500001	156000000	1.022	0.865	0.91
4:156000001-156500000	4	156000001	156500000	1.023	0.718	0.968
4:156500001-157000000	4	156500001	157000000	1.095	0.797	0.998
4:157000001-157500000	4	157000001	157500000	1.037	0.849	1.075
4:158000001-158500000	4	158000001	158500000	0.987	0.759	1.008
4:158500001-159000000	4	158500001	159000000	1.066	0.816	1.015
4:159000001-159500000	4	159000001	159500000	0.993	0.877	0.983
4:159500001-160000000	4	159500001	160000000	0.895	0.848	0.915
4:160500001-161000000	4	160500001	161000000	0.991	0.825	1.041
4:162500001-163000000	4	162500001	163000000	0.982	1.189	1.016
4:163000001-163500000	4	163000001	163500000	1.06	1.136	1.019
4:163500001-164000000	4	163500001	164000000	1.108	1.179	1.01
4:164000001-164500000	4	164000001	164500000	0.975	1.143	1.102
4:164500001-165000000	4	164500001	165000000	0.95	1.086	0.949
4:165000001-165500000	4	165000001	165500000	1.008	0.916	0.976
4:165500001-166000000	4	165500001	166000000	1.021	1.092	0.962
4:166000001-166500000	4	166000001	166500000	1.004	1.07	0.957
4:166500001-167000000	4	166500001	167000000	1.067	1.019	1.02
4:167000001-167500000	4	167000001	167500000	1.059	1.211	1.044
4:167500001-168000000	4	167500001	168000000	0.948	1.304	1.019
4:168000001-168500000	4	168000001	168500000	0.959	1.376	1.113
4:168500001-169000000	4	168500001	169000000	1.103	1.403	1.042
4:169000001-169500000	4	169000001	169500000	0.997	1.437	1.142
4:169500001-170000000	4	169500001	170000000	1.076	1.304	1.025
4:170000001-170500000	4	170000001	170500000	0.975	1.454	1.139
4:170500001-171000000	4	170500001	171000000	1.091	1.362	1.074
4:171000001-171500000	4	171000001	171500000	1.046	1.411	0.997
4:171500001-172000000	4	171500001	172000000	1.041	1.451	1.008
4:172500001-173000000	4	172500001	173000000	1.012	1.431	0.978
4:173000001-173500000	4	173000001	173500000	0.973	1.087	1.029
4:173500001-174000000	4	173500001	174000000	1.006	1.143	1.025
4:174000001-174500000	4	174000001	174500000	0.989	1.228	1.001
4:174500001-175000000	4	174500001	175000000	1.072	1.131	1.055
4:175000001-175500000	4	175000001	175500000	0.951	1.158	1.001
4:175500001-176000000	4	175500001	176000000	1.015	1.134	0.967
4:176000001-176500000	4	176000001	176500000	0.928	1.085	0.96
4:176500001-177000000	4	176500001	177000000	0.957	1.126	0.972
4:177000001-177500000	4	177000001	177500000	1.04	1.183	0.99
4:177500001-178000000	4	177500001	178000000	1.088	1.09	1.02
4:178000001-178500000	4	178000001	178500000	0.932	1.029	0.995
4:178500001-179000000	4	178500001	179000000	1.054	1.127	0.979
4:179500001-180000000	4	179500001	180000000	0.993	1.092	1.054
4:180000001-180500000	4	180000001	180500000	1.059	1.037	1.073
4:180500001-181000000	4	180500001	181000000	0.937	1.147	0.947
4:181000001-181500000	4	181000001	181500000	1.109	1.089	1.027
4:181500001-182000000	4	181500001	182000000	1.052	1.142	0.997
4:182000001-182500000	4	182000001	182500000	1.069	1.134	0.96
4:182500001-183000000	4	182500001	183000000	1.045	1.11	0.992
4:183500001-184000000	4	183500001	184000000	1.015	1.127	1.064
4:184000001-184500000	4	184000001	184500000	0.984	1.125	0.996
4:184500001-185000000	4	184500001	185000000	0.955	1.102	1.026
4:185000001-185500000	4	185000001	185500000	0.964	0.95	1.023
4:185500001-186000000	4	185500001	186000000	1.022	1.136	0.98
4:186000001-186500000	4	186000001	186500000	1.199	1.162	1.1
4:186500001-187000000	4	186500001	187000000	1.006	1.224	0.93
4:187000001-187500000	4	187000001	187500000	0.947	1.151	0.985
4:187500001-188000000	4	187500001	188000000	0.967	1.039	0.943
4:188500001-189000000	4	188500001	189000000	1.006	1.153	1.019
4:189000001-189500000	4	189000001	189500000	0.971	1.104	1.014
5:500001-1000000	5	500001	1000000	1.114	1.21	1.131
5:1000001-1500000	5	1000001	1500000	1.071	1.232	1.085
5:1500001-2000000	5	1500001	2000000	1.061	1.124	1.059
5:2000001-2500000	5	2000001	2500000	0.968	1.342	0.931
5:2500001-3000000	5	2500001	3000000	0.913	1.188	0.925
5:3000001-3500000	5	3000001	3500000	0.892	0.873	0.952
5:4000001-4500000	5	4000001	4500000	0.945	0.856	1.003
5:4500001-5000000	5	4500001	5000000	0.954	0.879	1.019
5:5500001-6000000	5	5500001	6000000	1.015	0.89	1.017
5:6000001-6500000	5	6000001	6500000	0.924	0.77	0.941
5:6500001-7000000	5	6500001	7000000	0.94	0.771	0.98
5:7000001-7500000	5	7000001	7500000	1.041	0.797	0.993
5:7500001-8000000	5	7500001	8000000	0.942	0.86	0.924
5:8000001-8500000	5	8000001	8500000	1.009	0.854	0.992
5:9000001-9500000	5	9000001	9500000	0.985	0.92	1.061
5:9500001-10000000	5	9500001	10000000	0.99	0.967	1.115
5:10000001-10500000	5	10000001	10500000	0.905	0.77	0.858
5:10500001-11000000	5	10500001	11000000	0.923	0.81	0.999
5:11000001-11500000	5	11000001	11500000	0.951	0.961	0.999
5:11500001-12000000	5	11500001	12000000	1.062	0.864	1.035
5:12000001-12500000	5	12000001	12500000	1.008	0.768	1.015
5:12500001-13000000	5	12500001	13000000	0.986	0.825	1.024
5:13000001-13500000	5	13000001	13500000	0.968	0.83	0.954
5:13500001-14000000	5	13500001	14000000	0.97	0.877	1.056
5:14000001-14500000	5	14000001	14500000	0.955	0.858	0.934
5:14500001-15000000	5	14500001	15000000	1.004	0.769	0.996
5:15000001-15500000	5	15000001	15500000	1.03	0.912	1.074
5:15500001-16000000	5	15500001	16000000	0.981	0.829	0.965
5:16000001-16500000	5	16000001	16500000	0.883	0.779	0.969
5:16500001-17000000	5	16500001	17000000	1.061	0.787	1.003
5:17000001-17500000	5	17000001	17500000	0.883	0.758	1.08
5:17500001-18000000	5	17500001	18000000	0.956	0.816	1.028
5:18000001-18500000	5	18000001	18500000	0.927	0.777	0.978
5:18500001-19000000	5	18500001	19000000	0.989	0.735	0.936
5:19000001-19500000	5	19000001	19500000	0.949	0.768	0.954
5:19500001-20000000	5	19500001	20000000	1.037	0.751	0.993
5:20000001-20500000	5	20000001	20500000	1.02	0.766	1.006
5:21500001-22000000	5	21500001	22000000	1.013	1.066	0.933
5:22000001-22500000	5	22000001	22500000	0.976	0.994	0.96
5:22500001-23000000	5	22500001	23000000	0.87	1.159	1.013
5:23000001-23500000	5	23000001	23500000	0.992	1.232	0.945
5:23500001-24000000	5	23500001	24000000	0.777	1.041	0.984
5:24000001-24500000	5	24000001	24500000	0.983	1.077	0.977
5:24500001-25000000	5	24500001	25000000	0.954	1.168	1.09
5:25000001-25500000	5	25000001	25500000	0.934	1.012	0.975
5:25500001-26000000	5	25500001	26000000	0.967	1.14	1.032
5:26000001-26500000	5	26000001	26500000	0.89	1.024	0.901
5:26500001-27000000	5	26500001	27000000	0.994	1.134	1.062
5:27000001-27500000	5	27000001	27500000	1.061	1.073	0.995
5:27500001-28000000	5	27500001	28000000	0.96	1.038	0.976
5:28000001-28500000	5	28000001	28500000	0.958	1.101	0.931
5:28500001-29000000	5	28500001	29000000	0.903	1.025	1.049
5:29000001-29500000	5	29000001	29500000	1.066	1.088	1.036
5:29500001-30000000	5	29500001	30000000	0.924	1.114	1.018
5:30000001-30500000	5	30000001	30500000	1.101	1.063	1.079
5:30500001-31000000	5	30500001	31000000	0.944	1.109	1.088
5:31000001-31500000	5	31000001	31500000	1.058	1.271	1.049
5:31500001-32000000	5	31500001	32000000	1.072	1.181	1.126
5:32000001-32500000	5	32000001	32500000	0.94	1.016	1.029
5:33000001-33500000	5	33000001	33500000	1.112	1.125	1.015
5:33500001-34000000	5	33500001	34000000	1.019	1.161	1.016
5:34500001-35000000	5	34500001	35000000	1.064	1.134	1
5:35000001-35500000	5	35000001	35500000	1.094	1.146	1.068
5:35500001-36000000	5	35500001	36000000	1.07	1.111	1.024
5:36000001-36500000	5	36000001	36500000	1.038	1.189	1.053
5:36500001-37000000	5	36500001	37000000	0.989	1.143	1.048
5:37500001-38000000	5	37500001	38000000	0.957	1.155	1.148
5:38000001-38500000	5	38000001	38500000	1.004	1.238	1.07
5:38500001-39000000	5	38500001	39000000	1.032	1.224	1.101
5:39000001-39500000	5	39000001	39500000	1.023	1.186	1.128
5:39500001-40000000	5	39500001	40000000	0.951	1.161	1.037
5:40000001-40500000	5	40000001	40500000	1.043	1.299	0.996
5:40500001-41000000	5	40500001	41000000	0.902	1.055	0.99
5:41000001-41500000	5	41000001	41500000	1.192	1.145	1.158
5:41500001-42000000	5	41500001	42000000	0.992	1.154	1.044
5:42000001-42500000	5	42000001	42500000	1.071	1.141	1.097
5:42500001-43000000	5	42500001	43000000	1.05	1.151	1.051
5:43000001-43500000	5	43000001	43500000	0.911	0.939	1.021
5:43500001-44000000	5	43500001	44000000	1.07	1.087	1.026
5:44000001-44500000	5	44000001	44500000	1.064	1.125	1.092
5:44500001-45000000	5	44500001	45000000	0.978	1.11	1.002
5:45000001-45500000	5	45000001	45500000	1.041	1.2	1.075
5:50500001-51000000	5	50500001	51000000	1.047	0.752	1.123
5:51000001-51500000	5	51000001	51500000	1.033	0.961	1.021
5:51500001-52000000	5	51500001	52000000	0.906	0.908	1.076
5:52000001-52500000	5	52000001	52500000	1.032	0.865	1.015
5:52500001-53000000	5	52500001	53000000	0.887	0.834	0.946
5:53000001-53500000	5	53000001	53500000	0.915	0.89	1.064
5:53500001-54000000	5	53500001	54000000	1.003	0.782	0.996
5:54000001-54500000	5	54000001	54500000	0.951	0.841	1.006
5:54500001-55000000	5	54500001	55000000	0.971	0.827	1.032
5:55000001-55500000	5	55000001	55500000	1.12	1.645	1.13
5:55500001-56000000	5	55500001	56000000	1.093	1.38	0.949
5:56000001-56500000	5	56000001	56500000	0.903	0.718	1.031
5:56500001-57000000	5	56500001	57000000	1.027	1.024	1.099
5:57000001-57500000	5	57000001	57500000	0.918	0.723	0.949
5:57500001-58000000	5	57500001	58000000	1.08	1.513	1.206
5:58000001-58500000	5	58000001	58500000	1.125	1.667	1.167
5:58500001-59000000	5	58500001	59000000	1.173	1.955	1.142
5:59000001-59500000	5	59000001	59500000	1.087	1.763	1.044
5:59500001-60000000	5	59500001	60000000	1.066	1.493	1.102
5:60000001-60500000	5	60000001	60500000	1.063	0.865	1.031
5:61000001-61500000	5	61000001	61500000	0.951	0.81	0.968
5:61500001-62000000	5	61500001	62000000	1.083	0.963	0.999
5:62000001-62500000	5	62000001	62500000	1.009	0.72	1.037
5:62500001-63000000	5	62500001	63000000	1.081	1.026	1.238
5:63000001-63500000	5	63000001	63500000	1.041	1.103	1.093
5:63500001-64000000	5	63500001	64000000	0.978	0.858	1.075
5:64000001-64500000	5	64000001	64500000	1.039	0.834	1.089
5:64500001-65000000	5	64500001	65000000	1.059	0.896	1.037
5:65000001-65500000	5	65000001	65500000	1.115	2.385	1.242
5:65500001-66000000	5	65500001	66000000	1.246	1.007	1.327
5:66500001-67000000	5	66500001	67000000	1.04	0.886	1.042
5:67000001-67500000	5	67000001	67500000	0.981	0.946	1.021
5:67500001-68000000	5	67500001	68000000	1.138	0.853	1.067
5:68000001-68500000	5	68000001	68500000	0.993	0.861	0.924
5:68500001-69000000	5	68500001	69000000	1.008	0.869	1.013
