feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
1:48500001-49000000	1	48500001	49000000	1.009	0.964	1.02
1:49000001-49500000	1	49000001	49500000	1.168	0.98	1.056
1:49500001-50000000	1	49500001	50000000	1.098	1.016	1.024
1:50500001-51000000	1	50500001	51000000	1.042	0.977	1.017
1:51000001-51500000	1	51000001	51500000	1.017	1.027	1.026
1:51500001-52000000	1	51500001	52000000	0.989	0.941	0.944
1:52000001-52500000	1	52000001	52500000	1.04	1.089	1.003
1:53000001-53500000	1	53000001	53500000	1.029	1.037	0.963
1:53500001-54000000	1	53500001	54000000	1.104	1.063	0.98
1:54000001-54500000	1	54000001	54500000	0.927	1.074	1.039
1:54500001-55000000	1	54500001	55000000	1.105	1.058	1.075
1:55500001-56000000	1	55500001	56000000	1.111	0.936	1.018
1:56000001-56500000	1	56000001	56500000	1.091	1.014	0.955
1:56500001-57000000	1	56500001	57000000	1.049	1.017	0.99
1:57000001-57500000	1	57000001	57500000	1.087	1.062	1.065
1:57500001-58000000	1	57500001	58000000	1.034	1.196	1.015
1:58000001-58500000	1	58000001	58500000	1.033	1.108	1.097
1:58500001-59000000	1	58500001	59000000	1.027	1.14	1.019
1:59000001-59500000	1	59000001	59500000	0.881	0.977	1.065
1:59500001-60000000	1	59500001	60000000	1.001	1.057	1.062
1:60000001-60500000	1	60000001	60500000	1.14	1.045	1.057
1:60500001-61000000	1	60500001	61000000	0.985	1.088	1.035
1:61000001-61500000	1	61000001	61500000	1.147	1.008	0.945
1:61500001-62000000	1	61500001	62000000	1.01	0.928	1.039
1:62000001-62500000	1	62000001	62500000	1.105	1.181	0.945
1:62500001-63000000	1	62500001	63000000	0.868	1.009	1.013
1:63000001-63500000	1	63000001	63500000	1.154	1.063	0.996
1:63500001-64000000	1	63500001	64000000	1.025	1.001	0.983
1:64000001-64500000	1	64000001	64500000	1.037	1.084	1.017
1:64500001-65000000	1	64500001	65000000	1.012	0.879	0.966
1:65000001-65500000	1	65000001	65500000	0.876	0.923	1.026
1:65500001-66000000	1	65500001	66000000	1.027	1.207	1.078
1:66500001-67000000	1	66500001	67000000	0.996	0.922	1.075
1:67000001-67500000	1	67000001	67500000	1.005	1.02	0.976
1:68000001-68500000	1	68000001	68500000	1.019	1.094	1.025
1:68500001-69000000	1	68500001	69000000	1.11	1.038	1.072
1:69000001-69500000	1	69000001	69500000	0.964	0.969	1.006
1:69500001-70000000	1	69500001	70000000	1.052	1.024	1.047
1:70000001-70500000	1	70000001	70500000	0.949	0.934	1.042
1:70500001-71000000	1	70500001	71000000	0.978	0.942	0.994
1:71000001-71500000	1	71000001	71500000	0.979	1.07	1
1:71500001-72000000	1	71500001	72000000	1.026	0.933	1.023
1:72000001-72500000	1	72000001	72500000	0.962	0.939	0.914
1:72500001-73000000	1	72500001	73000000	1.028	1.07	1.03
1:73500001-74000000	1	73500001	74000000	1.1	1.021	0.964
1:74000001-74500000	1	74000001	74500000	0.998	0.911	1.03
1:74500001-75000000	1	74500001	75000000	1.038	0.994	1.009
1:75000001-75500000	1	75000001	75500000	0.976	0.978	1.017
1:75500001-76000000	1	75500001	76000000	0.872	0.996	1.022
1:76000001-76500000	1	76000001	76500000	1.016	1.063	1.025
1:77000001-77500000	1	77000001	77500000	1.059	1.074	0.972
1:77500001-78000000	1	77500001	78000000	0.905	0.968	0.985
1:78000001-78500000	1	78000001	78500000	0.982	0.959	1.075
1:78500001-79000000	1	78500001	79000000	1.061	1.009	1.026
1:79000001-79500000	1	79000001	79500000	0.94	1.076	1.042
1:79500001-80000000	1	79500001	80000000	1.041	0.927	1.015
1:80000001-80500000	1	80000001	80500000	0.915	0.896	0.995
1:80500001-81000000	1	80500001	81000000	0.891	0.956	0.995
1:81000001-81500000	1	81000001	81500000	0.919	1.078	1.029
1:81500001-82000000	1	81500001	82000000	0.958	0.979	0.969
1:82000001-82500000	1	82000001	82500000	1.019	1.056	1.038
1:82500001-83000000	1	82500001	83000000	1.051	1.1	0.999
1:83500001-84000000	1	83500001	84000000	1.04	0.934	1.036
1:84000001-84500000	1	84000001	84500000	1.138	0.859	0.953
1:84500001-85000000	1	84500001	85000000	0.999	0.968	0.931
1:85000001-85500000	1	85000001	85500000	1.049	1.017	0.979
1:85500001-86000000	1	85500001	86000000	1.026	1.1	0.985
1:86000001-86500000	1	86000001	86500000	1.082	1.029	1.047
1:86500001-87000000	1	86500001	87000000	1.123	0.998	1.059
1:87000001-87500000	1	87000001	87500000	1.076	1.136	1.018
1:87500001-88000000	1	87500001	88000000	1.02	0.983	1.01
1:88000001-88500000	1	88000001	88500000	1.104	1.139	0.98
1:88500001-89000000	1	88500001	89000000	0.985	0.976	0.935
1:89000001-89500000	1	89000001	89500000	0.95	0.976	0.95
1:89500001-90000000	1	89500001	90000000	0.934	1.019	0.985
1:90000001-90500000	1	90000001	90500000	1.002	1.019	1.045
1:90500001-91000000	1	90500001	91000000	1.119	1.11	0.996
1:91000001-91500000	1	91000001	91500000	1.083	1.046	1.074
1:91500001-92000000	1	91500001	92000000	0.897	1.071	1.061
1:92000001-92500000	1	92000001	92500000	0.951	1.036	1.022
1:92500001-93000000	1	92500001	93000000	0.993	1.064	1.029
1:93000001-93500000	1	93000001	93500000	0.97	1.032	0.941
1:94000001-94500000	1	94000001	94500000	1.074	1.039	0.992
1:94500001-95000000	1	94500001	95000000	0.999	1.129	1.005
1:95000001-95500000	1	95000001	95500000	0.98	0.97	1.007
1:95500001-96000000	1	95500001	96000000	1.063	0.973	0.991
1:96000001-96500000	1	96000001	96500000	1.066	0.941	1.025
1:96500001-97000000	1	96500001	97000000	0.961	0.967	0.995
1:97000001-97500000	1	97000001	97500000	0.974	1.036	1.02
1:97500001-98000000	1	97500001	98000000	1.088	1.023	1.055
1:98000001-98500000	1	98000001	98500000	1.054	0.973	1.076
1:98500001-99000000	1	98500001	99000000	0.993	1.108	1.002
1:99000001-99500000	1	99000001	99500000	0.996	1.047	0.988
1:99500001-100000000	1	99500001	100000000	0.929	0.992	0.996
1:100000001-100500000	1	100000001	100500000	0.791	0.878	0.952
1:100500001-101000000	1	100500001	101000000	1.039	1.047	1.016
1:101000001-101500000	1	101000001	101500000	1.106	1.008	1.063
1:101500001-102000000	1	101500001	102000000	1.06	1.033	1.124
1:102500001-103000000	1	102500001	103000000	0.935	0.922	0.968
1:103000001-103500000	1	103000001	103500000	0.895	1.122	0.984
1:104000001-104500000	1	104000001	104500000	0.976	0.966	0.969
1:104500001-105000000	1	104500001	105000000	0.846	1.097	0.946
1:105000001-105500000	1	105000001	105500000	0.902	0.959	0.985
1:105500001-106000000	1	105500001	106000000	0.9	0.95	0.976
1:106000001-106500000	1	106000001	106500000	1.05	0.881	1.012
1:107000001-107500000	1	107000001	107500000	0.927	1.029	0.981
1:107500001-108000000	1	107500001	108000000	0.999	1.043	1.082
1:108500001-109000000	1	108500001	109000000	0.918	1.046	0.983
1:109000001-109500000	1	109000001	109500000	0.916	0.908	0.998
1:109500001-110000000	1	109500001	110000000	0.946	0.984	1.041
1:110000001-110500000	1	110000001	110500000	0.989	1.01	0.987
1:110500001-111000000	1	110500001	111000000	1.051	0.985	0.936
1:111000001-111500000	1	111000001	111500000	0.961	0.971	0.958
1:111500001-112000000	1	111500001	112000000	0.905	0.876	1.005
1:112000001-112500000	1	112000001	112500000	0.989	0.904	1.123
1:112500001-113000000	1	112500001	113000000	1.013	1.052	0.962
1:113000001-113500000	1	113000001	113500000	1.101	1.122	0.993
1:113500001-114000000	1	113500001	114000000	1.038	0.93	0.892
1:114000001-114500000	1	114000001	114500000	0.919	1.004	1.001
1:114500001-115000000	1	114500001	115000000	0.999	0.964	0.96
1:115000001-115500000	1	115000001	115500000	1.012	1.097	1.007
1:115500001-116000000	1	115500001	116000000	0.994	0.941	0.949
1:116000001-116500000	1	116000001	116500000	1.085	1.013	1.041
1:116500001-117000000	1	116500001	117000000	1.044	1.038	1.044
1:117000001-117500000	1	117000001	117500000	0.977	0.935	1.007
1:117500001-118000000	1	117500001	118000000	1.065	1.025	0.941
1:118000001-118500000	1	118000001	118500000	1.012	1.028	1.008
1:118500001-119000000	1	118500001	119000000	1.113	0.991	1.021
1:119000001-119500000	1	119000001	119500000	1.044	1.062	1.053
1:119500001-120000000	1	119500001	120000000	1.066	1.151	1.075
1:147500001-148000000	1	147500001	148000000	0.992	1.002	1.03
