feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
4:37000001-37500000	4	37000001	37500000	0.961	1.027	1.041
4:37500001-38000000	4	37500001	38000000	0.921	1.001	0.935
4:38000001-38500000	4	38000001	38500000	0.895	0.916	0.993
4:38500001-39000000	4	38500001	39000000	0.925	1.038	0.978
4:39000001-39500000	4	39000001	39500000	1.027	0.932	0.952
4:39500001-40000000	4	39500001	40000000	0.812	0.902	0.892
4:40000001-40500000	4	40000001	40500000	0.978	1.018	0.988
4:40500001-41000000	4	40500001	41000000	1.083	0.983	0.991
4:41500001-42000000	4	41500001	42000000	0.973	1.008	0.977
4:42000001-42500000	4	42000001	42500000	0.99	1.019	0.939
4:42500001-43000000	4	42500001	43000000	1.036	0.984	1.057
4:43000001-43500000	4	43000001	43500000	0.9	0.949	0.971
4:43500001-44000000	4	43500001	44000000	0.978	0.988	0.989
4:44000001-44500000	4	44000001	44500000	1.004	0.929	0.978
4:44500001-45000000	4	44500001	45000000	1.05	0.836	0.947
4:45000001-45500000	4	45000001	45500000	0.936	0.939	1.031
4:45500001-46000000	4	45500001	46000000	0.914	0.95	1.03
4:46000001-46500000	4	46000001	46500000	0.981	0.974	0.99
4:46500001-47000000	4	46500001	47000000	0.9	0.991	1.015
4:47000001-47500000	4	47000001	47500000	1.03	1.005	1.005
4:48000001-48500000	4	48000001	48500000	1.021	0.946	1
4:48500001-49000000	4	48500001	49000000	0.964	0.872	0.927
4:52000001-52500000	4	52000001	52500000	0.973	1.035	1.066
4:52500001-53000000	4	52500001	53000000	0.972	1.045	1.094
4:53000001-53500000	4	53000001	53500000	0.988	1.097	1.079
4:53500001-54000000	4	53500001	54000000	1.051	1.07	1.042
4:54000001-54500000	4	54000001	54500000	1.025	1.043	0.964
4:54500001-55000000	4	54500001	55000000	1.001	1.022	0.985
4:55500001-56000000	4	55500001	56000000	0.952	0.996	1.022
4:56000001-56500000	4	56000001	56500000	0.989	0.976	1.034
4:56500001-57000000	4	56500001	57000000	1.083	0.982	0.945
4:57000001-57500000	4	57000001	57500000	0.94	0.977	1.026
4:57500001-58000000	4	57500001	58000000	1.017	1.164	1.032
4:58000001-58500000	4	58000001	58500000	0.965	1.139	1.018
4:58500001-59000000	4	58500001	59000000	0.934	0.909	1.013
4:59000001-59500000	4	59000001	59500000	0.893	0.993	0.987
4:59500001-60000000	4	59500001	60000000	1.003	1.057	0.987
4:60000001-60500000	4	60000001	60500000	1.058	0.96	0.981
4:60500001-61000000	4	60500001	61000000	1.027	0.988	1.027
4:61000001-61500000	4	61000001	61500000	1.107	0.988	0.985
4:61500001-62000000	4	61500001	62000000	1.069	1.124	1.034
4:62000001-62500000	4	62000001	62500000	0.981	1.019	0.976
4:62500001-63000000	4	62500001	63000000	1.02	1.086	0.975
4:63000001-63500000	4	63000001	63500000	1.015	0.932	0.934
4:63500001-64000000	4	63500001	64000000	0.865	1.029	0.931
4:64000001-64500000	4	64000001	64500000	0.939	1.097	0.936
4:65000001-65500000	4	65000001	65500000	0.967	0.938	1.018
4:65500001-66000000	4	65500001	66000000	1.042	1.078	0.988
4:66500001-67000000	4	66500001	67000000	0.967	1.012	0.987
4:67000001-67500000	4	67000001	67500000	0.953	1.175	1.023
4:67500001-68000000	4	67500001	68000000	1.014	0.967	1.011
4:69500001-70000000	4	69500001	70000000	0.934	0.954	0.941
4:70000001-70500000	4	70000001	70500000	1.056	1.031	1.036
4:70500001-71000000	4	70500001	71000000	0.919	1.033	0.929
4:71000001-71500000	4	71000001	71500000	1.105	1.077	1.135
4:71500001-72000000	4	71500001	72000000	0.988	0.887	1.004
4:72000001-72500000	4	72000001	72500000	1.014	1.032	1.019
4:72500001-73000000	4	72500001	73000000	0.999	1.143	1.047
4:73000001-73500000	4	73000001	73500000	1.083	1.016	1.029
4:73500001-74000000	4	73500001	74000000	1.06	1.079	1.001
4:74000001-74500000	4	74000001	74500000	0.905	0.937	0.976
4:74500001-75000000	4	74500001	75000000	1.06	1.086	1.017
4:75500001-76000000	4	75500001	76000000	1.01	0.925	0.955
4:76000001-76500000	4	76000001	76500000	0.936	0.971	0.955
4:76500001-77000000	4	76500001	77000000	0.958	0.984	0.972
4:77000001-77500000	4	77000001	77500000	0.973	1.065	1.045
4:77500001-78000000	4	77500001	78000000	1.019	1.074	1.06
4:78500001-79000000	4	78500001	79000000	1.029	0.944	0.966
4:79000001-79500000	4	79000001	79500000	1.011	0.961	1.029
4:79500001-80000000	4	79500001	80000000	1.021	0.944	1.053
4:80000001-80500000	4	80000001	80500000	1.038	1.002	0.996
4:80500001-81000000	4	80500001	81000000	0.985	1.114	1.089
4:81000001-81500000	4	81000001	81500000	1.016	0.912	1.043
4:81500001-82000000	4	81500001	82000000	1.043	1.145	1.02
4:82000001-82500000	4	82000001	82500000	1.01	0.988	1.025
4:82500001-83000000	4	82500001	83000000	0.901	0.985	0.999
4:83500001-84000000	4	83500001	84000000	0.837	0.998	0.973
4:84000001-84500000	4	84000001	84500000	0.999	1.142	1.041
4:84500001-85000000	4	84500001	85000000	1.016	1.062	1.014
4:85000001-85500000	4	85000001	85500000	0.999	0.969	1.033
4:85500001-86000000	4	85500001	86000000	0.962	1.019	1.045
4:86000001-86500000	4	86000001	86500000	1.077	1.074	1.134
4:86500001-87000000	4	86500001	87000000	1.033	0.906	0.974
4:87000001-87500000	4	87000001	87500000	0.918	1.027	0.994
4:87500001-88000000	4	87500001	88000000	1.146	1.05	1.111
4:88000001-88500000	4	88000001	88500000	0.967	1.088	0.961
4:88500001-89000000	4	88500001	89000000	1.043	0.981	1.027
4:89000001-89500000	4	89000001	89500000	1.083	0.971	1.04
4:90000001-90500000	4	90000001	90500000	1.118	0.959	1.042
4:90500001-91000000	4	90500001	91000000	0.871	1.035	1.02
4:91000001-91500000	4	91000001	91500000	0.939	1.06	0.935
4:91500001-92000000	4	91500001	92000000	0.963	0.961	0.946
4:92000001-92500000	4	92000001	92500000	0.917	1.082	1.023
4:93000001-93500000	4	93000001	93500000	1.069	1.104	1.009
4:93500001-94000000	4	93500001	94000000	1.109	1.057	1.027
4:94000001-94500000	4	94000001	94500000	1.086	0.971	0.989
4:94500001-95000000	4	94500001	95000000	0.893	0.869	1.042
4:95000001-95500000	4	95000001	95500000	0.859	1.01	1.04
4:95500001-96000000	4	95500001	96000000	0.982	1.056	1.041
4:96000001-96500000	4	96000001	96500000	0.86	0.906	1.026
4:96500001-97000000	4	96500001	97000000	1.021	1.057	1.016
4:97000001-97500000	4	97000001	97500000	1.175	0.996	1.042
4:97500001-98000000	4	97500001	98000000	0.986	1.083	0.992
4:98000001-98500000	4	98000001	98500000	1.119	1.065	0.968
4:98500001-99000000	4	98500001	99000000	0.936	0.9	0.964
4:99000001-99500000	4	99000001	99500000	0.988	0.997	0.992
4:99500001-100000000	4	99500001	100000000	0.931	0.986	0.957
4:100000001-100500000	4	100000001	100500000	1.036	1.074	0.995
4:100500001-101000000	4	100500001	101000000	1.152	0.994	1.044
4:101000001-101500000	4	101000001	101500000	0.927	1.116	0.949
4:101500001-102000000	4	101500001	102000000	0.914	1.127	1.011
4:102000001-102500000	4	102000001	102500000	1.03	1.11	1.037
4:103000001-103500000	4	103000001	103500000	0.864	1.014	0.973
4:103500001-104000000	4	103500001	104000000	0.971	0.991	1.065
4:104000001-104500000	4	104000001	104500000	0.949	1.032	0.999
4:104500001-105000000	4	104500001	105000000	1.079	0.96	0.945
4:105000001-105500000	4	105000001	105500000	0.987	1.077	0.937
4:105500001-106000000	4	105500001	106000000	1.083	1.105	0.905
4:106000001-106500000	4	106000001	106500000	1	1.045	0.95
4:106500001-107000000	4	106500001	107000000	0.997	1.056	0.984
4:107000001-107500000	4	107000001	107500000	1.107	1.083	1.051
4:108000001-108500000	4	108000001	108500000	0.898	0.952	1.09
4:108500001-109000000	4	108500001	109000000	0.924	1.047	1.099
4:109000001-109500000	4	109000001	109500000	1.012	1.036	0.942
4:109500001-110000000	4	109500001	110000000	0.928	1.009	1.004
4:110000001-110500000	4	110000001	110500000	0.964	1.03	0.979
4:110500001-111000000	4	110500001	111000000	1.076	0.965	1.066
4:111000001-111500000	4	111000001	111500000	1.067	0.972	0.962
4:111500001-112000000	4	111500001	112000000	1.064	1.076	0.955
4:112500001-113000000	4	112500001	113000000	1.113	1.025	0.97
4:113000001-113500000	4	113000001	113500000	0.994	0.979	1.032
4:113500001-114000000	4	113500001	114000000	1.06	1	0.986
4:114000001-114500000	4	114000001	114500000	0.903	1.019	0.942
4:114500001-115000000	4	114500001	115000000	1.034	0.965	0.954
4:115000001-115500000	4	115000001	115500000	0.985	0.985	0.966
4:115500001-116000000	4	115500001	116000000	1.07	1.015	1.011
4:116500001-117000000	4	116500001	117000000	1.06	1.048	1.01
4:117000001-117500000	4	117000001	117500000	0.982	1.045	0.993
4:117500001-118000000	4	117500001	118000000	0.968	0.928	1.014
4:118000001-118500000	4	118000001	118500000	1.046	1.102	0.942
4:119500001-120000000	4	119500001	120000000	1.028	1.098	1.039
4:120000001-120500000	4	120000001	120500000	0.92	1.049	1.067
4:120500001-121000000	4	120500001	121000000	1.038	0.974	1.071
4:121000001-121500000	4	121000001	121500000	0.96	1.017	0.966
4:121500001-122000000	4	121500001	122000000	1.029	0.944	1.029
4:122000001-122500000	4	122000001	122500000	1.036	0.98	1.003
4:122500001-123000000	4	122500001	123000000	1.117	1.012	0.948
4:123000001-123500000	4	123000001	123500000	0.985	1.022	1.051
4:123500001-124000000	4	123500001	124000000	0.947	0.942	1.042
4:124000001-124500000	4	124000001	124500000	1.089	1.092	1.068
4:124500001-125000000	4	124500001	125000000	1.056	0.971	0.977
4:125000001-125500000	4	125000001	125500000	1.012	1.016	1.001
4:125500001-126000000	4	125500001	126000000	1.058	0.97	1.036
4:126000001-126500000	4	126000001	126500000	1.074	1.045	0.985
4:126500001-127000000	4	126500001	127000000	1.02	0.97	0.989
4:127000001-127500000	4	127000001	127500000	0.998	1.043	1.054
4:127500001-128000000	4	127500001	128000000	1.078	0.999	0.997
4:128500001-129000000	4	128500001	129000000	0.921	1.002	0.965
4:129000001-129500000	4	129000001	129500000	1.027	1.073	1.071
4:129500001-130000000	4	129500001	130000000	1.025	0.989	1.023
4:130000001-130500000	4	130000001	130500000	1.088	1.007	1.01
4:130500001-131000000	4	130500001	131000000	0.987	0.909	0.893
4:131000001-131500000	4	131000001	131500000	0.963	0.995	0.988
4:132000001-132500000	4	132000001	132500000	0.918	0.97	0.925
4:132500001-133000000	4	132500001	133000000	0.886	1.043	0.967
4:133000001-133500000	4	133000001	133500000	0.945	1	1.115
4:133500001-134000000	4	133500001	134000000	0.97	0.977	0.951
4:134000001-134500000	4	134000001	134500000	1.055	1.03	1.001
4:134500001-135000000	4	134500001	135000000	0.985	0.976	0.953
4:135000001-135500000	4	135000001	135500000	0.867	0.898	1.004
4:135500001-136000000	4	135500001	136000000	0.972	0.959	0.934
4:136000001-136500000	4	136000001	136500000	0.996	0.99	0.952
4:136500001-137000000	4	136500001	137000000	0.996	1.008	0.93
4:137000001-137500000	4	137000001	137500000	1.02	1.042	0.966
4:137500001-138000000	4	137500001	138000000	1.127	0.998	1.036
4:138000001-138500000	4	138000001	138500000	0.984	0.998	1.003
4:138500001-139000000	4	138500001	139000000	1.026	1.042	1.019
4:139000001-139500000	4	139000001	139500000	0.79	0.99	1.012
4:139500001-140000000	4	139500001	140000000	1.002	0.897	0.945
4:140000001-140500000	4	140000001	140500000	0.855	0.981	0.971
4:141000001-141500000	4	141000001	141500000	0.909	1.122	1.058
4:141500001-142000000	4	141500001	142000000	0.988	1.018	1.009
4:142000001-142500000	4	142000001	142500000	1.001	1.048	1.02
4:142500001-143000000	4	142500001	143000000	0.901	1.048	0.986
4:144500001-145000000	4	144500001	145000000	0.996	1.055	1.076
4:145000001-145500000	4	145000001	145500000	1.004	0.893	1.044
4:145500001-146000000	4	145500001	146000000	1.066	1.087	0.944
4:146000001-146500000	4	146000001	146500000	1.038	1.088	0.993
4:146500001-147000000	4	146500001	147000000	1.157	1.138	1.038
4:147000001-147500000	4	147000001	147500000	0.919	0.982	1.011
4:147500001-148000000	4	147500001	148000000	0.921	0.953	0.938
4:148000001-148500000	4	148000001	148500000	1.027	1.036	0.965
4:148500001-149000000	4	148500001	149000000	1.009	0.988	1.022
4:149000001-149500000	4	149000001	149500000	0.99	0.994	1.026
4:149500001-150000000	4	149500001	150000000	1.011	1.017	1.031
4:150000001-150500000	4	150000001	150500000	0.938	1.04	0.973
4:150500001-151000000	4	150500001	151000000	1.044	1.022	1.055
4:151000001-151500000	4	151000001	151500000	0.902	1.021	0.988
4:151500001-152000000	4	151500001	152000000	0.994	1.042	1.041
4:152000001-152500000	4	152000001	152500000	0.975	0.92	1.004
4:152500001-153000000	4	152500001	153000000	0.93	0.898	0.964
4:153000001-153500000	4	153000001	153500000	1	0.952	0.963
4:153500001-154000000	4	153500001	154000000	0.973	1.048	0.97
4:154000001-154500000	4	154000001	154500000	1.014	1.082	0.983
4:154500001-155000000	4	154500001	155000000	1.009	0.975	1.024
4:155500001-156000000	4	155500001	156000000	1.043	1.043	1
4:156000001-156500000	4	156000001	156500000	0.961	1.007	1.05
4:156500001-157000000	4	156500001	157000000	1.06	0.984	0.981
4:157000001-157500000	4	157000001	157500000	0.844	0.973	1.029
4:158000001-158500000	4	158000001	158500000	0.915	1.067	0.974
4:158500001-159000000	4	158500001	159000000	1.032	1.025	1.027
4:159000001-159500000	4	159000001	159500000	0.925	1.009	0.997
4:159500001-160000000	4	159500001	160000000	0.898	1.025	1.046
4:160500001-161000000	4	160500001	161000000	1.049	1.031	0.993
4:162500001-163000000	4	162500001	163000000	1.051	0.978	0.975
4:163000001-163500000	4	163000001	163500000	1.013	0.971	0.974
4:163500001-164000000	4	163500001	164000000	1.039	1.048	0.997
4:164000001-164500000	4	164000001	164500000	0.982	0.965	1.058
4:164500001-165000000	4	164500001	165000000	1.037	1.039	1.009
4:165000001-165500000	4	165000001	165500000	0.946	0.957	0.953
4:165500001-166000000	4	165500001	166000000	1.032	1.08	1.028
4:166000001-166500000	4	166000001	166500000	0.974	1.115	1.016
4:166500001-167000000	4	166500001	167000000	1.029	0.977	0.978
4:167000001-167500000	4	167000001	167500000	1.003	1.083	1.002
4:167500001-168000000	4	167500001	168000000	0.934	0.956	0.918
4:168000001-168500000	4	168000001	168500000	0.914	0.932	1.027
4:168500001-169000000	4	168500001	169000000	1.024	1.04	0.998
4:169000001-169500000	4	169000001	169500000	0.968	1.104	0.991
4:169500001-170000000	4	169500001	170000000	1.117	0.964	1.008
4:170000001-170500000	4	170000001	170500000	0.886	1.056	1.034
4:170500001-171000000	4	170500001	171000000	1.037	1.083	1.035
4:171000001-171500000	4	171000001	171500000	1.002	1.085	0.975
4:171500001-172000000	4	171500001	172000000	0.923	1.041	1.008
4:172500001-173000000	4	172500001	173000000	0.925	0.926	0.993
4:173000001-173500000	4	173000001	173500000	0.972	1.062	0.925
4:173500001-174000000	4	173500001	174000000	0.98	0.947	1.015
4:174000001-174500000	4	174000001	174500000	0.941	0.979	0.949
4:174500001-175000000	4	174500001	175000000	1.028	0.966	1.027
4:175000001-175500000	4	175000001	175500000	0.965	0.95	0.945
4:175500001-176000000	4	175500001	176000000	1.036	1.081	0.976
4:176000001-176500000	4	176000001	176500000	0.979	0.95	0.95
4:176500001-177000000	4	176500001	177000000	1.037	0.966	1.036
4:177000001-177500000	4	177000001	177500000	0.877	0.994	0.924
4:177500001-178000000	4	177500001	178000000	0.901	0.991	0.977
4:178000001-178500000	4	178000001	178500000	0.912	0.941	0.982
4:178500001-179000000	4	178500001	179000000	0.973	1.015	0.954
4:179500001-180000000	4	179500001	180000000	0.951	1.064	1.001
4:180000001-180500000	4	180000001	180500000	1.062	1.033	1.024
4:180500001-181000000	4	180500001	181000000	0.914	1.065	0.984
4:181000001-181500000	4	181000001	181500000	0.945	0.937	0.974
4:181500001-182000000	4	181500001	182000000	0.99	0.96	1.035
4:182000001-182500000	4	182000001	182500000	0.873	1.024	0.975
4:182500001-183000000	4	182500001	183000000	0.905	0.948	0.957
4:183500001-184000000	4	183500001	184000000	0.971	0.948	0.966
4:184000001-184500000	4	184000001	184500000	0.969	0.998	0.977
4:184500001-185000000	4	184500001	185000000	0.924	1.005	0.965
4:185000001-185500000	4	185000001	185500000	0.948	1.053	1.005
4:185500001-186000000	4	185500001	186000000	1.058	0.923	0.981
4:186000001-186500000	4	186000001	186500000	0.92	1.087	1.065
4:186500001-187000000	4	186500001	187000000	1	1.031	1.048
4:187000001-187500000	4	187000001	187500000	0.932	0.795	0.949
4:187500001-188000000	4	187500001	188000000	1.016	0.912	0.961
4:188500001-189000000	4	188500001	189000000	0.961	1.007	0.947
4:189000001-189500000	4	189000001	189500000	0.936	0.984	0.979
5:500001-1000000	5	500001	1000000	1.088	1.083	1.012
5:1000001-1500000	5	1000001	1500000	1.063	1.001	0.983
5:1500001-2000000	5	1500001	2000000	1.157	1.129	1.012
5:2000001-2500000	5	2000001	2500000	0.957	0.931	0.988
5:2500001-3000000	5	2500001	3000000	0.931	0.96	0.937
5:3000001-3500000	5	3000001	3500000	0.935	0.887	0.957
5:4000001-4500000	5	4000001	4500000	0.969	0.949	0.976
5:4500001-5000000	5	4500001	5000000	0.92	0.847	0.929
5:5500001-6000000	5	5500001	6000000	0.935	0.945	0.979
5:6000001-6500000	5	6000001	6500000	0.924	1.057	1.01
5:6500001-7000000	5	6500001	7000000	0.946	0.991	1.01
5:7000001-7500000	5	7000001	7500000	1.176	0.961	1.03
5:7500001-8000000	5	7500001	8000000	0.989	0.993	0.988
5:8000001-8500000	5	8000001	8500000	1.025	0.976	0.971
5:9000001-9500000	5	9000001	9500000	0.919	1.031	0.984
5:9500001-10000000	5	9500001	10000000	1.072	0.991	1.006
5:10000001-10500000	5	10000001	10500000	1.014	0.99	1.015
5:10500001-11000000	5	10500001	11000000	0.981	0.988	0.923
5:11000001-11500000	5	11000001	11500000	1.089	1.036	1.011
5:11500001-12000000	5	11500001	12000000	1.076	0.974	0.941
5:12000001-12500000	5	12000001	12500000	0.893	0.982	0.977
5:12500001-13000000	5	12500001	13000000	1.01	0.947	0.973
5:13000001-13500000	5	13000001	13500000	0.964	0.92	0.895
5:13500001-14000000	5	13500001	14000000	1.066	0.975	1.001
5:14000001-14500000	5	14000001	14500000	0.911	1.012	0.919
5:14500001-15000000	5	14500001	15000000	0.956	1.034	0.927
5:15000001-15500000	5	15000001	15500000	1.02	0.92	1.06
5:15500001-16000000	5	15500001	16000000	0.949	1.027	1.047
5:16000001-16500000	5	16000001	16500000	0.921	0.93	1.001
5:16500001-17000000	5	16500001	17000000	0.958	1.093	1.071
5:17000001-17500000	5	17000001	17500000	0.961	1.103	1.009
5:17500001-18000000	5	17500001	18000000	1.041	0.962	1.008
5:18000001-18500000	5	18000001	18500000	0.958	0.979	1.01
5:18500001-19000000	5	18500001	19000000	0.915	0.988	1.006
5:19000001-19500000	5	19000001	19500000	0.887	0.994	0.958
5:19500001-20000000	5	19500001	20000000	0.96	1.013	0.969
5:20000001-20500000	5	20000001	20500000	0.97	0.934	0.944
5:21500001-22000000	5	21500001	22000000	0.952	0.979	0.97
5:22000001-22500000	5	22000001	22500000	0.982	1.032	0.93
5:22500001-23000000	5	22500001	23000000	1.042	0.908	0.92
5:23000001-23500000	5	23000001	23500000	1.082	1.055	0.928
5:23500001-24000000	5	23500001	24000000	0.877	0.982	0.911
5:24000001-24500000	5	24000001	24500000	0.939	1.006	0.891
5:24500001-25000000	5	24500001	25000000	0.892	0.981	0.964
5:25000001-25500000	5	25000001	25500000	0.887	1.115	0.977
5:25500001-26000000	5	25500001	26000000	0.891	0.983	0.915
5:26000001-26500000	5	26000001	26500000	0.995	0.982	0.931
5:26500001-27000000	5	26500001	27000000	0.955	0.895	0.937
5:27000001-27500000	5	27000001	27500000	1.102	1.023	1.015
5:27500001-28000000	5	27500001	28000000	0.929	0.963	0.98
5:28000001-28500000	5	28000001	28500000	1.059	1.072	0.976
5:28500001-29000000	5	28500001	29000000	0.91	1.01	0.904
5:29000001-29500000	5	29000001	29500000	0.967	0.976	0.936
5:29500001-30000000	5	29500001	30000000	0.963	0.882	0.976
5:30000001-30500000	5	30000001	30500000	1.113	1.008	1.051
5:30500001-31000000	5	30500001	31000000	0.923	1.043	1.021
5:31000001-31500000	5	31000001	31500000	0.957	0.986	1.008
5:31500001-32000000	5	31500001	32000000	0.899	1.066	1.028
5:32000001-32500000	5	32000001	32500000	0.906	0.926	0.974
5:33000001-33500000	5	33000001	33500000	0.935	1.052	1.035
5:33500001-34000000	5	33500001	34000000	0.974	0.966	0.97
5:34500001-35000000	5	34500001	35000000	1.045	1.016	1.021
5:35000001-35500000	5	35000001	35500000	1.025	1.037	1.095
5:35500001-36000000	5	35500001	36000000	0.905	0.978	1.101
5:36000001-36500000	5	36000001	36500000	0.969	1.039	0.976
5:36500001-37000000	5	36500001	37000000	1.014	1.085	1
5:37500001-38000000	5	37500001	38000000	1.036	1.032	1.051
5:38000001-38500000	5	38000001	38500000	0.977	1.033	0.964
5:38500001-39000000	5	38500001	39000000	1.179	1.01	1.014
5:39000001-39500000	5	39000001	39500000	0.952	1.1	0.99
5:39500001-40000000	5	39500001	40000000	0.995	1.152	1.018
5:40000001-40500000	5	40000001	40500000	0.811	0.977	0.965
5:40500001-41000000	5	40500001	41000000	1.091	0.965	1.014
5:41000001-41500000	5	41000001	41500000	1.08	1.002	1.037
5:41500001-42000000	5	41500001	42000000	1.166	1.074	1.022
5:42000001-42500000	5	42000001	42500000	1.064	0.954	0.995
5:42500001-43000000	5	42500001	43000000	0.968	1.066	1.035
5:43000001-43500000	5	43000001	43500000	1.043	0.991	0.928
5:43500001-44000000	5	43500001	44000000	0.973	0.925	0.937
5:44000001-44500000	5	44000001	44500000	0.959	0.904	1.002
5:44500001-45000000	5	44500001	45000000	0.942	0.964	1.004
5:45000001-45500000	5	45000001	45500000	1.088	0.924	0.951
5:50500001-51000000	5	50500001	51000000	1.001	1.037	1.014
5:51000001-51500000	5	51000001	51500000	1.035	1.056	1.036
5:51500001-52000000	5	51500001	52000000	0.981	1.135	0.987
5:52000001-52500000	5	52000001	52500000	0.878	1.062	1.087
5:52500001-53000000	5	52500001	53000000	1.038	1.095	1.067
5:53000001-53500000	5	53000001	53500000	0.979	1.021	1.043
5:53500001-54000000	5	53500001	54000000	1.025	1.057	1.09
5:54000001-54500000	5	54000001	54500000	1.023	1.012	0.997
5:54500001-55000000	5	54500001	55000000	1.071	0.948	1.045
5:55000001-55500000	5	55000001	55500000	1.008	0.989	1.024
5:55500001-56000000	5	55500001	56000000	0.983	0.988	1.038
5:56000001-56500000	5	56000001	56500000	1.106	1.022	0.98
5:56500001-57000000	5	56500001	57000000	1.037	0.981	0.99
5:57000001-57500000	5	57000001	57500000	0.973	0.971	1.007
5:57500001-58000000	5	57500001	58000000	1.16	1.117	1.072
5:58000001-58500000	5	58000001	58500000	1.094	1.179	1.012
5:58500001-59000000	5	58500001	59000000	1.038	1.105	1.09
5:59000001-59500000	5	59000001	59500000	1.003	1.077	1.04
5:59500001-60000000	5	59500001	60000000	1.078	1.073	1.028
5:60000001-60500000	5	60000001	60500000	0.978	1.012	1.073
5:61000001-61500000	5	61000001	61500000	0.901	0.98	1.008
5:61500001-62000000	5	61500001	62000000	1.002	1.088	0.974
5:62000001-62500000	5	62000001	62500000	0.995	1.061	1.027
5:62500001-63000000	5	62500001	63000000	0.913	1.133	1.139
5:63000001-63500000	5	63000001	63500000	1.05	0.984	1.017
5:63500001-64000000	5	63500001	64000000	0.974	1.037	0.966
5:64000001-64500000	5	64000001	64500000	1.013	1.116	1.026
5:64500001-65000000	5	64500001	65000000	0.953	0.996	1.022
5:65000001-65500000	5	65000001	65500000	1.047	1.072	1.057
5:65500001-66000000	5	65500001	66000000	0.945	1.017	0.914
5:66500001-67000000	5	66500001	67000000	0.977	0.958	1.059
5:67000001-67500000	5	67000001	67500000	1.012	1.02	1.055
5:67500001-68000000	5	67500001	68000000	1.034	1.25	1.122
5:68000001-68500000	5	68000001	68500000	1.042	0.934	0.989
5:68500001-69000000	5	68500001	69000000	0.964	1.075	1.024
5:69000001-69500000	5	69000001	69500000	0.941	0.937	0.957
5:71500001-72000000	5	71500001	72000000	1.033	1.119	1.073
5:72000001-72500000	5	72000001	72500000	0.968	0.93	0.983
5:72500001-73000000	5	72500001	73000000	0.978	0.991	1.094
5:73000001-73500000	5	73000001	73500000	0.999	0.95	1.025
5:74000001-74500000	5	74000001	74500000	1.004	1.086	1.08
5:74500001-75000000	5	74500001	75000000	1.008	1.111	1.055
5:75000001-75500000	5	75000001	75500000	1.076	1.001	0.981
5:75500001-76000000	5	75500001	76000000	1.112	1.058	0.978
5:76000001-76500000	5	76000001	76500000	1.076	0.956	0.979
5:76500001-77000000	5	76500001	77000000	1.156	1.082	0.969
5:77000001-77500000	5	77000001	77500000	1.034	1.05	1.035
5:77500001-78000000	5	77500001	78000000	0.992	1.046	0.968
5:78000001-78500000	5	78000001	78500000	0.962	1.004	1.045
5:78500001-79000000	5	78500001	79000000	0.965	1.045	1.073
5:79500001-80000000	5	79500001	80000000	0.901	0.991	1.042
5:80000001-80500000	5	80000001	80500000	1.094	0.999	0.987
5:81000001-81500000	5	81000001	81500000	1.041	1.026	0.982
5:81500001-82000000	5	81500001	82000000	0.96	1.047	1.043
5:82000001-82500000	5	82000001	82500000	1.05	1.044	0.992
5:82500001-83000000	5	82500001	83000000	0.971	1.005	1.068
5:83000001-83500000	5	83000001	83500000	1.058	0.944	1.04
5:83500001-84000000	5	83500001	84000000	0.99	0.932	1.077
5:84000001-84500000	5	84000001	84500000	1.062	1.037	1.091
5:84500001-85000000	5	84500001	85000000	0.939	1.003	0.931
5:85000001-85500000	5	85000001	85500000	0.979	0.961	1.007
5:85500001-86000000	5	85500001	86000000	0.877	1.039	0.945
5:86000001-86500000	5	86000001	86500000	1.025	0.929	1.056
5:86500001-87000000	5	86500001	87000000	0.997	1.052	0.953
5:87000001-87500000	5	87000001	87500000	1.034	1.046	0.938
5:87500001-88000000	5	87500001	88000000	0.941	1.054	1.009
5:88000001-88500000	5	88000001	88500000	1.045	0.974	1.005
5:88500001-89000000	5	88500001	89000000	0.996	0.95	1.054
5:89000001-89500000	5	89000001	89500000	0.964	1.005	1.083
5:89500001-90000000	5	89500001	90000000	0.96	1.09	1.021
5:90000001-90500000	5	90000001	90500000	1.027	0.996	1.052
5:90500001-91000000	5	90500001	91000000	0.988	1.1	1.051
5:91000001-91500000	5	91000001	91500000	0.859	0.886	0.919
5:91500001-92000000	5	91500001	92000000	0.991	0.993	0.997
5:92000001-92500000	5	92000001	92500000	1.006	1.078	0.996
5:92500001-93000000	5	92500001	93000000	1.018	0.934	1
5:93000001-93500000	5	93000001	93500000	1.031	1.085	1.033
5:93500001-94000000	5	93500001	94000000	1.062	1.009	1.049
5:94000001-94500000	5	94000001	94500000	0.894	0.991	1.023
5:95000001-95500000	5	95000001	95500000	0.999	1.016	1.014
5:95500001-96000000	5	95500001	96000000	0.929	0.923	1.032
5:96000001-96500000	5	96000001	96500000	1.157	0.944	1.072
5:96500001-97000000	5	96500001	97000000	1.007	1.019	0.955
5:97000001-97500000	5	97000001	97500000	1.017	1.009	0.93
5:98500001-99000000	5	98500001	99000000	0.974	0.942	0.911
5:99000001-99500000	5	99000001	99500000	1.049	0.866	0.978
5:100500001-101000000	5	100500001	101000000	0.867	1.04	0.929
5:101000001-101500000	5	101000001	101500000	1.034	1.076	0.99
