feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
8:26000001-26500000	8	26000001	26500000	0.957	0.934	0.876
8:26500001-27000000	8	26500001	27000000	1.045	0.985	0.99
8:27000001-27500000	8	27000001	27500000	1.024	0.986	0.899
8:27500001-28000000	8	27500001	28000000	1.018	0.979	1.089
8:28000001-28500000	8	28000001	28500000	0.985	1.009	1.012
8:28500001-29000000	8	28500001	29000000	0.987	1.061	0.971
8:29000001-29500000	8	29000001	29500000	0.802	1.065	0.937
8:29500001-30000000	8	29500001	30000000	1.079	1.009	1.015
8:30000001-30500000	8	30000001	30500000	0.89	1.004	0.973
8:30500001-31000000	8	30500001	31000000	0.869	0.916	0.964
8:31000001-31500000	8	31000001	31500000	0.954	1.091	1.023
8:31500001-32000000	8	31500001	32000000	1.023	1.079	0.989
8:32000001-32500000	8	32000001	32500000	1.013	0.928	0.897
8:33500001-34000000	8	33500001	34000000	1.075	0.889	1.015
8:34000001-34500000	8	34000001	34500000	0.882	1.045	1.075
8:34500001-35000000	8	34500001	35000000	0.902	0.972	0.992
8:35000001-35500000	8	35000001	35500000	1.029	0.925	0.974
8:35500001-36000000	8	35500001	36000000	1.014	1.071	0.973
8:36500001-37000000	8	36500001	37000000	0.999	0.987	1.061
8:37000001-37500000	8	37000001	37500000	1.067	1.033	1.004
8:37500001-38000000	8	37500001	38000000	1.037	0.996	0.99
8:38000001-38500000	8	38000001	38500000	0.873	0.947	0.927
8:38500001-39000000	8	38500001	39000000	1.041	0.903	0.924
8:39000001-39500000	8	39000001	39500000	1.031	0.984	0.986
8:39500001-40000000	8	39500001	40000000	1.001	0.916	0.946
8:40500001-41000000	8	40500001	41000000	0.929	1.075	1.007
8:41000001-41500000	8	41000001	41500000	1.132	1.106	1.015
8:41500001-42000000	8	41500001	42000000	0.965	0.959	0.894
8:42000001-42500000	8	42000001	42500000	1.015	0.944	0.887
8:42500001-43000000	8	42500001	43000000	0.974	0.958	1.02
8:47000001-47500000	8	47000001	47500000	0.985	0.933	1.023
8:47500001-48000000	8	47500001	48000000	0.923	1.053	1.019
8:48000001-48500000	8	48000001	48500000	0.896	0.884	1.095
8:48500001-49000000	8	48500001	49000000	1.066	1.094	1.014
8:49000001-49500000	8	49000001	49500000	0.897	0.992	1.062
8:49500001-50000000	8	49500001	50000000	0.83	0.857	0.984
8:50000001-50500000	8	50000001	50500000	1.02	0.999	1.076
8:51000001-51500000	8	51000001	51500000	0.927	0.881	1.029
8:51500001-52000000	8	51500001	52000000	1.01	0.976	0.918
8:52000001-52500000	8	52000001	52500000	1.005	0.955	0.961
8:52500001-53000000	8	52500001	53000000	0.977	0.995	1.044
8:53000001-53500000	8	53000001	53500000	1.02	0.861	1.086
8:53500001-54000000	8	53500001	54000000	0.892	0.963	0.95
8:54000001-54500000	8	54000001	54500000	0.94	0.92	0.998
8:54500001-55000000	8	54500001	55000000	1.045	1.148	0.964
8:55000001-55500000	8	55000001	55500000	1.133	1.042	1.067
8:55500001-56000000	8	55500001	56000000	1.071	0.995	0.944
8:56000001-56500000	8	56000001	56500000	0.954	1.043	1.017
8:57000001-57500000	8	57000001	57500000	1.044	1.075	1.061
8:57500001-58000000	8	57500001	58000000	0.976	1.045	1.037
8:58000001-58500000	8	58000001	58500000	0.991	1.092	1.049
8:58500001-59000000	8	58500001	59000000	1.044	1.156	1.021
8:59000001-59500000	8	59000001	59500000	0.992	0.977	0.946
8:59500001-60000000	8	59500001	60000000	1.008	0.974	0.995
8:60000001-60500000	8	60000001	60500000	1.103	1.046	1.098
8:60500001-61000000	8	60500001	61000000	0.995	0.911	1.03
8:61500001-62000000	8	61500001	62000000	1.054	1.148	1.054
8:62000001-62500000	8	62000001	62500000	1.05	1.047	1.151
8:62500001-63000000	8	62500001	63000000	1.087	1.052	0.942
8:63000001-63500000	8	63000001	63500000	1.149	0.937	0.984
8:63500001-64000000	8	63500001	64000000	0.929	0.915	1.032
8:64000001-64500000	8	64000001	64500000	1.137	0.969	0.986
8:64500001-65000000	8	64500001	65000000	1.035	0.997	1.089
8:65000001-65500000	8	65000001	65500000	1.057	0.972	1.028
8:65500001-66000000	8	65500001	66000000	1.011	0.967	0.909
8:66000001-66500000	8	66000001	66500000	1.031	0.896	0.892
8:66500001-67000000	8	66500001	67000000	0.755	0.897	0.915
8:67000001-67500000	8	67000001	67500000	1.057	1.031	0.986
8:68000001-68500000	8	68000001	68500000	1.046	1.073	1.073
8:68500001-69000000	8	68500001	69000000	1.039	0.913	0.994
8:69500001-70000000	8	69500001	70000000	1.045	1.079	1.061
8:70000001-70500000	8	70000001	70500000	0.958	0.963	0.949
8:70500001-71000000	8	70500001	71000000	1.079	0.984	1.057
8:71000001-71500000	8	71000001	71500000	1.089	1.07	0.985
8:71500001-72000000	8	71500001	72000000	1.037	1.055	0.929
8:72000001-72500000	8	72000001	72500000	0.896	0.986	0.879
8:73000001-73500000	8	73000001	73500000	0.992	0.983	0.985
8:73500001-74000000	8	73500001	74000000	0.91	0.958	0.888
8:74000001-74500000	8	74000001	74500000	0.993	1.018	0.918
8:75000001-75500000	8	75000001	75500000	0.919	1.072	1.08
8:75500001-76000000	8	75500001	76000000	1.037	1.073	1.025
8:77000001-77500000	8	77000001	77500000	1.018	1.032	0.994
8:77500001-78000000	8	77500001	78000000	0.978	0.964	1.02
8:78000001-78500000	8	78000001	78500000	0.936	0.897	1.02
8:78500001-79000000	8	78500001	79000000	0.872	1.024	0.949
8:79000001-79500000	8	79000001	79500000	1.058	0.99	1.09
8:79500001-80000000	8	79500001	80000000	0.982	1.079	0.933
8:80000001-80500000	8	80000001	80500000	1.053	0.867	1.035
8:80500001-81000000	8	80500001	81000000	1.132	0.955	1.002
8:81000001-81500000	8	81000001	81500000	1.037	0.959	1.108
8:81500001-82000000	8	81500001	82000000	1.077	1.049	1.001
8:82000001-82500000	8	82000001	82500000	1.045	0.939	0.973
8:82500001-83000000	8	82500001	83000000	0.946	1.031	1.034
8:83000001-83500000	8	83000001	83500000	1.123	0.879	0.999
8:83500001-84000000	8	83500001	84000000	0.991	0.939	0.935
8:84000001-84500000	8	84000001	84500000	0.985	1.046	0.896
8:84500001-85000000	8	84500001	85000000	1.08	0.932	1.08
8:85000001-85500000	8	85000001	85500000	0.955	1.023	0.911
8:86000001-86500000	8	86000001	86500000	0.964	0.91	0.925
8:86500001-87000000	8	86500001	87000000	1.055	1.03	1.175
8:87000001-87500000	8	87000001	87500000	1.071	1.053	1.005
8:87500001-88000000	8	87500001	88000000	0.98	0.939	1.03
8:88000001-88500000	8	88000001	88500000	1.142	0.972	1.048
8:88500001-89000000	8	88500001	89000000	0.983	1.021	1.126
8:89000001-89500000	8	89000001	89500000	1.005	1.016	0.958
8:89500001-90000000	8	89500001	90000000	0.881	0.87	0.916
8:90000001-90500000	8	90000001	90500000	1.029	1.026	1.024
8:90500001-91000000	8	90500001	91000000	1.058	0.996	1.018
8:91000001-91500000	8	91000001	91500000	1.062	1.052	1.009
8:91500001-92000000	8	91500001	92000000	1.212	1.133	0.928
8:92000001-92500000	8	92000001	92500000	1.082	0.939	0.935
8:92500001-93000000	8	92500001	93000000	1.01	1.03	0.942
8:93000001-93500000	8	93000001	93500000	1.15	1.02	1.075
8:93500001-94000000	8	93500001	94000000	1.003	0.946	1.079
8:94000001-94500000	8	94000001	94500000	1.036	0.976	0.911
8:94500001-95000000	8	94500001	95000000	0.909	0.996	0.866
8:95000001-95500000	8	95000001	95500000	0.904	0.956	1.039
8:95500001-96000000	8	95500001	96000000	1.077	0.962	0.976
8:96000001-96500000	8	96000001	96500000	1.055	1.073	1.078
8:96500001-97000000	8	96500001	97000000	0.863	1.115	1.013
8:97000001-97500000	8	97000001	97500000	1.047	0.998	0.978
8:98000001-98500000	8	98000001	98500000	1.013	0.956	1.047
8:98500001-99000000	8	98500001	99000000	1.121	0.968	0.933
8:99500001-100000000	8	99500001	100000000	1.09	1.045	1.054
8:100000001-100500000	8	100000001	100500000	1.156	1.046	1.166
8:100500001-101000000	8	100500001	101000000	0.945	0.946	0.996
8:101000001-101500000	8	101000001	101500000	0.926	1.026	1.066
8:101500001-102000000	8	101500001	102000000	1.061	1.13	1.108
8:102000001-102500000	8	102000001	102500000	1.093	1.107	0.97
8:103500001-104000000	8	103500001	104000000	1.157	1.023	1.048
8:104000001-104500000	8	104000001	104500000	1.077	1.057	1.089
8:104500001-105000000	8	104500001	105000000	1.092	1.014	1.052
8:105000001-105500000	8	105000001	105500000	0.97	1.024	1.046
8:105500001-106000000	8	105500001	106000000	1.146	1.077	1.009
8:106000001-106500000	8	106000001	106500000	1.054	1.069	0.989
8:106500001-107000000	8	106500001	107000000	1.042	0.985	1.042
8:107000001-107500000	8	107000001	107500000	1.071	1.023	0.987
8:107500001-108000000	8	107500001	108000000	1.049	1.029	0.936
8:108000001-108500000	8	108000001	108500000	1.039	1.049	1.086
8:109000001-109500000	8	109000001	109500000	1.081	1.025	0.946
8:109500001-110000000	8	109500001	110000000	1.008	1.019	1.074
8:110000001-110500000	8	110000001	110500000	0.982	1.063	0.981
8:111500001-112000000	8	111500001	112000000	1.1	0.897	1.009
8:112000001-112500000	8	112000001	112500000	1.025	0.945	0.977
8:112500001-113000000	8	112500001	113000000	0.897	0.984	1.055
8:113000001-113500000	8	113000001	113500000	1.038	1.096	1.131
8:113500001-114000000	8	113500001	114000000	0.966	1.004	1.055
8:114000001-114500000	8	114000001	114500000	1.097	0.985	0.956
8:114500001-115000000	8	114500001	115000000	0.954	0.936	0.929
8:115000001-115500000	8	115000001	115500000	1.027	1.011	0.95
8:115500001-116000000	8	115500001	116000000	0.996	1.066	1.17
8:116000001-116500000	8	116000001	116500000	0.887	1.149	0.988
8:116500001-117000000	8	116500001	117000000	1.006	1.105	0.968
8:117000001-117500000	8	117000001	117500000	1.006	1.06	1.016
8:117500001-118000000	8	117500001	118000000	1.017	0.974	1.017
8:118000001-118500000	8	118000001	118500000	1.045	0.955	1.017
8:118500001-119000000	8	118500001	119000000	1.086	0.998	0.972
8:119000001-119500000	8	119000001	119500000	1.074	1.005	1.127
8:119500001-120000000	8	119500001	120000000	0.982	0.957	0.94
8:120500001-121000000	8	120500001	121000000	0.946	1.029	0.983
8:121000001-121500000	8	121000001	121500000	1.128	1.14	1.029
8:121500001-122000000	8	121500001	122000000	0.998	1.003	1.001
8:122000001-122500000	8	122000001	122500000	0.999	0.941	1.073
8:122500001-123000000	8	122500001	123000000	1.12	0.955	1.109
8:123000001-123500000	8	123000001	123500000	0.959	0.954	0.953
8:123500001-124000000	8	123500001	124000000	1.077	1.012	1.138
8:124000001-124500000	8	124000001	124500000	0.991	0.943	0.942
8:124500001-125000000	8	124500001	125000000	1.027	1.003	0.965
8:125000001-125500000	8	125000001	125500000	0.927	0.95	0.972
8:125500001-126000000	8	125500001	126000000	0.984	0.985	0.99
8:126000001-126500000	8	126000001	126500000	0.937	0.998	1.081
8:126500001-127000000	8	126500001	127000000	1.02	0.947	1.064
8:128000001-128500000	8	128000001	128500000	0.982	1.059	1.223
8:128500001-129000000	8	128500001	129000000	0.956	1.169	1.082
8:129000001-129500000	8	129000001	129500000	0.98	1.142	0.952
8:129500001-130000000	8	129500001	130000000	1.124	1.106	0.979
8:130000001-130500000	8	130000001	130500000	0.928	0.921	0.993
8:130500001-131000000	8	130500001	131000000	0.958	1.032	1.066
8:131000001-131500000	8	131000001	131500000	1.013	1.032	1.099
8:131500001-132000000	8	131500001	132000000	0.942	1.062	0.958
8:132000001-132500000	8	132000001	132500000	0.987	1.025	0.979
8:132500001-133000000	8	132500001	133000000	0.964	0.937	1.064
8:133000001-133500000	8	133000001	133500000	0.845	1.007	0.908
8:134000001-134500000	8	134000001	134500000	1.03	1.042	1.008
8:134500001-135000000	8	134500001	135000000	1.032	1.036	0.958
8:135000001-135500000	8	135000001	135500000	0.966	0.979	1.037
8:135500001-136000000	8	135500001	136000000	1.021	0.954	1.028
8:136000001-136500000	8	136000001	136500000	0.962	1.005	1.016
8:136500001-137000000	8	136500001	137000000	1.069	0.976	0.976
8:137000001-137500000	8	137000001	137500000	0.978	1.023	1.039
8:137500001-138000000	8	137500001	138000000	1.036	0.933	1.02
8:138000001-138500000	8	138000001	138500000	1.107	1.023	1.001
8:138500001-139000000	8	138500001	139000000	0.925	1.033	0.926
8:139000001-139500000	8	139000001	139500000	1.085	1.005	1.026
8:139500001-140000000	8	139500001	140000000	0.888	0.924	0.951
8:140000001-140500000	8	140000001	140500000	1.139	1.018	0.899
8:140500001-141000000	8	140500001	141000000	0.993	0.92	1.016
8:141000001-141500000	8	141000001	141500000	0.875	0.934	0.937
8:141500001-142000000	8	141500001	142000000	0.953	1.037	1.006
8:142000001-142500000	8	142000001	142500000	1.005	1.036	1.088
8:142500001-143000000	8	142500001	143000000	0.978	1.04	0.85
8:143000001-143500000	8	143000001	143500000	0.943	0.952	1.057
8:143500001-144000000	8	143500001	144000000	0.966	0.939	0.969
8:144000001-144500000	8	144000001	144500000	0.91	0.95	1.061
8:144500001-145000000	8	144500001	145000000	0.901	0.999	0.979
9:500001-1000000	9	500001	1000000	0.908	1.055	1
9:1000001-1500000	9	1000001	1500000	0.92	1.007	1.035
9:1500001-2000000	9	1500001	2000000	1.098	0.978	1.031
9:2000001-2500000	9	2000001	2500000	0.977	1.069	0.932
9:2500001-3000000	9	2500001	3000000	0.963	0.966	1.039
9:3000001-3500000	9	3000001	3500000	0.993	1.01	1.065
9:3500001-4000000	9	3500001	4000000	0.994	0.976	0.989
9:4000001-4500000	9	4000001	4500000	0.948	1.01	1.031
9:4500001-5000000	9	4500001	5000000	1.018	0.992	1.012
9:5500001-6000000	9	5500001	6000000	0.897	1.014	1.026
9:6000001-6500000	9	6000001	6500000	0.997	1.084	1.049
9:6500001-7000000	9	6500001	7000000	1.31	0.97	0.931
9:7000001-7500000	9	7000001	7500000	1.025	1.016	0.987
9:7500001-8000000	9	7500001	8000000	0.93	0.958	1.103
9:8000001-8500000	9	8000001	8500000	1.04	1.004	0.912
9:8500001-9000000	9	8500001	9000000	0.971	0.939	0.974
9:9000001-9500000	9	9000001	9500000	1.008	0.98	0.975
9:10000001-10500000	9	10000001	10500000	0.919	0.995	1
9:10500001-11000000	9	10500001	11000000	0.792	1.129	0.968
9:11000001-11500000	9	11000001	11500000	0.951	0.89	0.878
9:11500001-12000000	9	11500001	12000000	0.934	1.04	1.002
9:12000001-12500000	9	12000001	12500000	0.901	1.064	0.96
9:12500001-13000000	9	12500001	13000000	1.03	1.092	0.852
9:13000001-13500000	9	13000001	13500000	0.925	1.023	1.081
9:13500001-14000000	9	13500001	14000000	0.951	0.935	1.089
9:14000001-14500000	9	14000001	14500000	1.027	0.982	1.096
9:14500001-15000000	9	14500001	15000000	1.081	1.076	1.025
9:15000001-15500000	9	15000001	15500000	0.918	0.973	0.979
9:16000001-16500000	9	16000001	16500000	0.924	1.091	1.042
9:16500001-17000000	9	16500001	17000000	0.921	0.988	1.059
9:17000001-17500000	9	17000001	17500000	0.91	1.012	0.886
9:17500001-18000000	9	17500001	18000000	0.959	1.033	1.074
9:18500001-19000000	9	18500001	19000000	1.052	1.027	1.147
9:19000001-19500000	9	19000001	19500000	0.989	1.006	1.014
9:19500001-20000000	9	19500001	20000000	1.239	1.008	1.026
9:20000001-20500000	9	20000001	20500000	1.3	1.151	1.149
9:20500001-21000000	9	20500001	21000000	1.201	0.898	1.055
9:21000001-21500000	9	21000001	21500000	0.91	0.994	0.973
9:21500001-22000000	9	21500001	22000000	1.077	0.978	1.065
9:22000001-22500000	9	22000001	22500000	0.989	1.012	0.974
9:22500001-23000000	9	22500001	23000000	0.998	1.021	1.003
9:23000001-23500000	9	23000001	23500000	0.858	1.007	0.884
9:23500001-24000000	9	23500001	24000000	1.088	0.937	0.904
9:24000001-24500000	9	24000001	24500000	0.922	1.029	0.892
9:24500001-25000000	9	24500001	25000000	0.972	0.983	1.023
9:25000001-25500000	9	25000001	25500000	0.947	1.037	0.986
9:25500001-26000000	9	25500001	26000000	0.924	0.915	0.985
9:26000001-26500000	9	26000001	26500000	0.972	1.053	0.967
9:26500001-27000000	9	26500001	27000000	1.08	0.987	1.047
9:27000001-27500000	9	27000001	27500000	1.325	1.074	1.11
9:27500001-28000000	9	27500001	28000000	1.158	1.023	0.992
9:28000001-28500000	9	28000001	28500000	1.047	1.135	1.033
9:28500001-29000000	9	28500001	29000000	1.021	1.032	1.017
9:29000001-29500000	9	29000001	29500000	1.022	1.066	0.937
9:29500001-30000000	9	29500001	30000000	0.94	1.118	1.011
9:30000001-30500000	9	30000001	30500000	0.893	0.939	1.049
9:30500001-31000000	9	30500001	31000000	0.887	0.962	1.025
9:31500001-32000000	9	31500001	32000000	1.104	1.049	1.057
9:32000001-32500000	9	32000001	32500000	0.988	0.983	1.088
9:32500001-33000000	9	32500001	33000000	0.847	0.989	0.949
9:33000001-33500000	9	33000001	33500000	1.007	0.876	0.904
9:34000001-34500000	9	34000001	34500000	0.957	1.145	0.997
9:35000001-35500000	9	35000001	35500000	1.075	1.033	0.986
9:35500001-36000000	9	35500001	36000000	0.969	0.913	0.93
9:36500001-37000000	9	36500001	37000000	1.091	1.184	1.016
9:37000001-37500000	9	37000001	37500000	0.893	0.955	0.868
9:37500001-38000000	9	37500001	38000000	0.981	1.041	0.951
9:38000001-38500000	9	38000001	38500000	1.012	0.981	0.998
9:68500001-69000000	9	68500001	69000000	0.998	0.973	1.02
9:69000001-69500000	9	69000001	69500000	1.084	0.923	1.047
9:69500001-70000000	9	69500001	70000000	1.013	0.958	1.068
9:70000001-70500000	9	70000001	70500000	1.085	0.985	0.968
9:70500001-71000000	9	70500001	71000000	1.017	0.998	0.981
9:71000001-71500000	9	71000001	71500000	1.015	1.026	0.966
9:71500001-72000000	9	71500001	72000000	0.975	1.001	0.894
9:72000001-72500000	9	72000001	72500000	0.964	1.047	0.956
9:73000001-73500000	9	73000001	73500000	1.07	1.052	1.151
9:73500001-74000000	9	73500001	74000000	0.986	1.03	1.032
9:74000001-74500000	9	74000001	74500000	0.961	0.912	1.014
9:74500001-75000000	9	74500001	75000000	0.875	0.995	0.978
9:75000001-75500000	9	75000001	75500000	0.952	0.983	1.018
9:75500001-76000000	9	75500001	76000000	0.886	1.157	1.085
9:76000001-76500000	9	76000001	76500000	0.983	1.004	1.041
9:76500001-77000000	9	76500001	77000000	1.078	1.043	1.033
9:77000001-77500000	9	77000001	77500000	0.923	1.096	1.015
9:77500001-78000000	9	77500001	78000000	1.008	1.036	1.064
9:78000001-78500000	9	78000001	78500000	1.105	0.981	1.052
9:79000001-79500000	9	79000001	79500000	0.994	0.913	1.056
9:80000001-80500000	9	80000001	80500000	1.042	1.073	0.955
9:81000001-81500000	9	81000001	81500000	1.013	0.977	0.999
9:82500001-83000000	9	82500001	83000000	0.965	1.004	1.039
9:83000001-83500000	9	83000001	83500000	1	1.087	1.01
9:83500001-84000000	9	83500001	84000000	0.963	0.983	0.946
9:84000001-84500000	9	84000001	84500000	0.861	0.999	1.038
9:84500001-85000000	9	84500001	85000000	0.95	0.96	1.083
9:85000001-85500000	9	85000001	85500000	1.047	1.015	1.087
9:85500001-86000000	9	85500001	86000000	0.965	0.908	0.957
9:86000001-86500000	9	86000001	86500000	0.951	1.095	1.049
9:86500001-87000000	9	86500001	87000000	0.974	0.99	1.035
9:87000001-87500000	9	87000001	87500000	1.024	0.99	1.015
9:87500001-88000000	9	87500001	88000000	1.037	0.91	1.103
9:88000001-88500000	9	88000001	88500000	1.036	1.096	1.086
9:88500001-89000000	9	88500001	89000000	1.061	0.97	1.015
9:89000001-89500000	9	89000001	89500000	0.865	0.955	1.062
9:89500001-90000000	9	89500001	90000000	1.034	0.909	0.96
9:90000001-90500000	9	90000001	90500000	1.199	1.1	1.162
9:90500001-91000000	9	90500001	91000000	0.962	1.068	1.025
9:91000001-91500000	9	91000001	91500000	1.006	0.92	0.968
9:91500001-92000000	9	91500001	92000000	0.969	0.966	1.041
9:93000001-93500000	9	93000001	93500000	1.038	0.917	1.013
9:93500001-94000000	9	93500001	94000000	0.912	0.899	1.065
9:94500001-95000000	9	94500001	95000000	1.084	1.03	1.056
9:95000001-95500000	9	95000001	95500000	0.956	0.861	0.962
9:96000001-96500000	9	96000001	96500000	1	0.965	0.94
9:97500001-98000000	9	97500001	98000000	0.927	0.921	1.04
9:98000001-98500000	9	98000001	98500000	0.847	1.17	1.028
9:98500001-99000000	9	98500001	99000000	0.998	1.042	1.113
9:99000001-99500000	9	99000001	99500000	1.077	1.056	0.991
9:99500001-100000000	9	99500001	100000000	0.89	1.096	0.999
9:100000001-100500000	9	100000001	100500000	0.94	0.965	0.974
9:100500001-101000000	9	100500001	101000000	0.989	1.172	1.039
9:101000001-101500000	9	101000001	101500000	1.106	0.958	1.126
9:101500001-102000000	9	101500001	102000000	0.98	1.048	1.052
9:102000001-102500000	9	102000001	102500000	0.925	1.075	0.935
9:102500001-103000000	9	102500001	103000000	0.883	0.996	0.964
9:103000001-103500000	9	103000001	103500000	1.042	0.899	0.943
9:103500001-104000000	9	103500001	104000000	0.924	1.051	0.993
9:104000001-104500000	9	104000001	104500000	1.078	0.872	0.945
9:104500001-105000000	9	104500001	105000000	1.045	0.89	0.989
9:105000001-105500000	9	105000001	105500000	0.95	1.017	1.028
9:105500001-106000000	9	105500001	106000000	1.196	1.087	1.116
9:106000001-106500000	9	106000001	106500000	1.073	1.081	1.053
9:106500001-107000000	9	106500001	107000000	1.153	1.062	1.088
9:107000001-107500000	9	107000001	107500000	1.007	1.068	1.025
9:107500001-108000000	9	107500001	108000000	1.152	1.106	1.038
9:108000001-108500000	9	108000001	108500000	1.014	0.929	1.149
9:108500001-109000000	9	108500001	109000000	1.141	1.104	1.114
9:109000001-109500000	9	109000001	109500000	1.016	0.998	0.921
9:109500001-110000000	9	109500001	110000000	1.017	1.134	0.983
9:110000001-110500000	9	110000001	110500000	1.024	1.016	1.034
9:110500001-111000000	9	110500001	111000000	1.035	1.038	1.021
9:111000001-111500000	9	111000001	111500000	1.034	0.964	1.001
9:111500001-112000000	9	111500001	112000000	1.045	0.96	1.046
9:112000001-112500000	9	112000001	112500000	0.91	1.09	0.942
9:112500001-113000000	9	112500001	113000000	0.994	1.023	1.041
9:113000001-113500000	9	113000001	113500000	1.129	0.909	0.958
9:113500001-114000000	9	113500001	114000000	0.93	0.962	1.005
9:114000001-114500000	9	114000001	114500000	1.148	0.959	0.897
9:114500001-115000000	9	114500001	115000000	0.984	0.937	1.022
9:115000001-115500000	9	115000001	115500000	1.05	0.989	1.027
9:115500001-116000000	9	115500001	116000000	0.971	0.965	0.996
9:116000001-116500000	9	116000001	116500000	1.101	1.019	0.937
9:116500001-117000000	9	116500001	117000000	0.991	1.036	0.916
9:117500001-118000000	9	117500001	118000000	0.99	0.911	1.051
9:118000001-118500000	9	118000001	118500000	1.066	0.996	0.939
9:118500001-119000000	9	118500001	119000000	1.054	0.996	0.919
9:119000001-119500000	9	119000001	119500000	1.024	1.004	1.133
9:119500001-120000000	9	119500001	120000000	0.962	0.893	1.124
9:120000001-120500000	9	120000001	120500000	1.128	0.981	1.051
9:120500001-121000000	9	120500001	121000000	0.896	1.044	0.975
9:121000001-121500000	9	121000001	121500000	0.904	0.915	0.835
9:121500001-122000000	9	121500001	122000000	1.114	0.921	1.134
9:122000001-122500000	9	122000001	122500000	1.012	1.038	0.857
9:123000001-123500000	9	123000001	123500000	0.942	0.986	1.008
9:123500001-124000000	9	123500001	124000000	1.036	1.018	1.003
9:124000001-124500000	9	124000001	124500000	0.957	0.907	1.03
9:124500001-125000000	9	124500001	125000000	1.083	1.033	0.946
9:125000001-125500000	9	125000001	125500000	0.982	1.04	1.014
9:125500001-126000000	9	125500001	126000000	1.072	1.025	0.969
9:126000001-126500000	9	126000001	126500000	1.017	1.035	0.99
9:126500001-127000000	9	126500001	127000000	1.073	0.941	1.092
9:127000001-127500000	9	127000001	127500000	1.077	1.064	0.993
9:127500001-128000000	9	127500001	128000000	1.101	1.003	1.021
9:128000001-128500000	9	128000001	128500000	0.934	1.051	1.013
9:128500001-129000000	9	128500001	129000000	1.099	0.841	1
9:129000001-129500000	9	129000001	129500000	0.965	1.062	0.896
9:130000001-130500000	9	130000001	130500000	1.02	1.084	1.045
9:130500001-131000000	9	130500001	131000000	1.114	1.066	1.037
9:131000001-131500000	9	131000001	131500000	1.035	1.185	0.907
9:131500001-132000000	9	131500001	132000000	1.132	1.14	1.062
9:132000001-132500000	9	132000001	132500000	0.976	0.935	1.002
9:132500001-133000000	9	132500001	133000000	1.054	1.042	1.037
9:133000001-133500000	9	133000001	133500000	1.17	0.986	0.967
9:133500001-134000000	9	133500001	134000000	1.04	1.06	1.005
9:134500001-135000000	9	134500001	135000000	1.008	1.041	1.097
9:135000001-135500000	9	135000001	135500000	1.052	0.962	1.021
9:135500001-136000000	9	135500001	136000000	0.94	1.047	1.089
9:136000001-136500000	9	136000001	136500000	0.981	0.928	0.968
9:136500001-137000000	9	136500001	137000000	0.963	1.093	1.054
9:137000001-137500000	9	137000001	137500000	1.11	0.966	0.987
9:137500001-138000000	9	137500001	138000000	1.181	0.928	1.049
10:1-500000	10	1	500000	1.044	1.193	1.072
10:500001-1000000	10	500001	1000000	0.996	0.963	1.005
10:1000001-1500000	10	1000001	1500000	1.066	0.91	1.037
10:1500001-2000000	10	1500001	2000000	1.005	1.039	1.049
10:2500001-3000000	10	2500001	3000000	1.039	0.991	1.044
10:3000001-3500000	10	3000001	3500000	0.948	1.016	0.843
10:3500001-4000000	10	3500001	4000000	0.898	1.079	0.947
10:4000001-4500000	10	4000001	4500000	1.006	0.993	1.043
10:4500001-5000000	10	4500001	5000000	1.025	0.911	0.968
10:5000001-5500000	10	5000001	5500000	1.101	1.139	0.984
10:5500001-6000000	10	5500001	6000000	1.101	0.94	0.99
10:6000001-6500000	10	6000001	6500000	0.92	1.004	0.923
10:6500001-7000000	10	6500001	7000000	1.159	1.064	1.128
10:7000001-7500000	10	7000001	7500000	0.93	0.981	1.072
10:7500001-8000000	10	7500001	8000000	1.027	1.083	1.145
10:8000001-8500000	10	8000001	8500000	1.043	0.977	0.967
10:8500001-9000000	10	8500001	9000000	0.997	0.99	1.065
10:9000001-9500000	10	9000001	9500000	1.033	1.116	1.013
10:9500001-10000000	10	9500001	10000000	1.035	1.045	1.009
10:10000001-10500000	10	10000001	10500000	1.135	1.011	0.962
10:10500001-11000000	10	10500001	11000000	1.029	1.05	1.048
10:11000001-11500000	10	11000001	11500000	0.994	1.012	0.986
10:11500001-12000000	10	11500001	12000000	0.975	1.078	0.996
10:12000001-12500000	10	12000001	12500000	1.008	0.812	1.122
10:12500001-13000000	10	12500001	13000000	0.904	0.962	1.024
10:13000001-13500000	10	13000001	13500000	0.956	1.109	0.99
10:13500001-14000000	10	13500001	14000000	1.12	0.996	0.982
10:14000001-14500000	10	14000001	14500000	1.022	1.016	0.932
10:14500001-15000000	10	14500001	15000000	1.028	1.002	0.867
10:15000001-15500000	10	15000001	15500000	1.055	0.927	1.063
10:15500001-16000000	10	15500001	16000000	1.118	1.033	0.997
10:16000001-16500000	10	16000001	16500000	1.046	0.975	0.962
10:16500001-17000000	10	16500001	17000000	0.978	0.936	1.033
10:17000001-17500000	10	17000001	17500000	1.028	1.034	0.924
10:17500001-18000000	10	17500001	18000000	1.042	0.926	1.101
10:18000001-18500000	10	18000001	18500000	0.934	1.037	0.967
10:18500001-19000000	10	18500001	19000000	0.91	0.965	0.989
10:19000001-19500000	10	19000001	19500000	0.871	0.958	0.938
