feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
1:48500001-49000000	1	48500001	49000000	1.06	1.021	1.065
1:49000001-49500000	1	49000001	49500000	1.025	0.999	1.069
1:49500001-50000000	1	49500001	50000000	1.007	1.125	1.046
1:50500001-51000000	1	50500001	51000000	1.035	1.061	1.044
1:51000001-51500000	1	51000001	51500000	1.06	0.929	0.843
1:51500001-52000000	1	51500001	52000000	0.975	1.039	0.99
1:52000001-52500000	1	52000001	52500000	0.899	1.121	1.062
1:53000001-53500000	1	53000001	53500000	1.015	1.011	0.982
1:53500001-54000000	1	53500001	54000000	0.998	1.021	1.039
1:54000001-54500000	1	54000001	54500000	1.026	1.046	0.995
1:54500001-55000000	1	54500001	55000000	1.13	1.202	1.005
1:55500001-56000000	1	55500001	56000000	1.021	1.016	0.917
1:56000001-56500000	1	56000001	56500000	0.985	1.041	0.945
1:56500001-57000000	1	56500001	57000000	0.859	1.04	1.029
1:57000001-57500000	1	57000001	57500000	0.98	0.987	1.007
1:57500001-58000000	1	57500001	58000000	1.039	0.923	1.059
1:58000001-58500000	1	58000001	58500000	1.011	1.133	1.179
1:58500001-59000000	1	58500001	59000000	1	0.853	0.945
1:59000001-59500000	1	59000001	59500000	0.955	0.978	1.096
1:59500001-60000000	1	59500001	60000000	1.024	0.998	1.037
1:60000001-60500000	1	60000001	60500000	1.071	1.039	1.059
1:60500001-61000000	1	60500001	61000000	1.078	1.095	1.031
1:61000001-61500000	1	61000001	61500000	1.025	0.959	1.053
1:61500001-62000000	1	61500001	62000000	0.915	0.995	0.949
1:62000001-62500000	1	62000001	62500000	1.028	0.96	0.931
1:62500001-63000000	1	62500001	63000000	1.05	0.873	1.152
1:63000001-63500000	1	63000001	63500000	1.047	0.954	0.988
1:63500001-64000000	1	63500001	64000000	0.933	0.908	1.052
1:64000001-64500000	1	64000001	64500000	0.998	1.09	1.115
