feature	chromosome	start	end	SLX-17921.D702tp_D503tp.H5J55BBXY.s_8.r_1	SLX-17921.D703tp_D506tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	1.045	0.97
1:2000001-2500000	1	2000001	2500000	0.908	1.043
1:3000001-3500000	1	3000001	3500000	1.097	0.96
1:3500001-4000000	1	3500001	4000000	0.987	0.964
1:4000001-4500000	1	4000001	4500000	1.091	1.116
1:4500001-5000000	1	4500001	5000000	1.018	1.041
1:5000001-5500000	1	5000001	5500000	0.969	1.021
1:6000001-6500000	1	6000001	6500000	1.051	1.115
1:6500001-7000000	1	6500001	7000000	0.955	0.946
1:7000001-7500000	1	7000001	7500000	1.029	1.074
1:7500001-8000000	1	7500001	8000000	1.103	1.107
1:8000001-8500000	1	8000001	8500000	1.031	0.979
1:9000001-9500000	1	9000001	9500000	1.004	0.962
1:10000001-10500000	1	10000001	10500000	0.939	0.954
1:10500001-11000000	1	10500001	11000000	0.956	1.021
1:11000001-11500000	1	11000001	11500000	1.009	1.068
1:11500001-12000000	1	11500001	12000000	1.063	0.938
1:12000001-12500000	1	12000001	12500000	1.04	0.941
1:13500001-14000000	1	13500001	14000000	0.999	1.025
1:14000001-14500000	1	14000001	14500000	1.036	0.982
1:14500001-15000000	1	14500001	15000000	1.019	0.992
1:15000001-15500000	1	15000001	15500000	0.926	0.972
1:15500001-16000000	1	15500001	16000000	0.895	0.895
1:16000001-16500000	1	16000001	16500000	0.935	0.984
1:17000001-17500000	1	17000001	17500000	1.061	1.131
1:17500001-18000000	1	17500001	18000000	1.123	1.039
1:18000001-18500000	1	18000001	18500000	0.968	1.033
1:18500001-19000000	1	18500001	19000000	1.075	1.001
1:19000001-19500000	1	19000001	19500000	0.985	0.969
1:19500001-20000000	1	19500001	20000000	1.157	1.052
1:20000001-20500000	1	20000001	20500000	1.036	1.108
1:20500001-21000000	1	20500001	21000000	0.958	0.956
1:21000001-21500000	1	21000001	21500000	0.798	0.946
1:21500001-22000000	1	21500001	22000000	1.092	1.063
1:22000001-22500000	1	22000001	22500000	1.125	1.037
1:22500001-23000000	1	22500001	23000000	1.161	1.055
1:23000001-23500000	1	23000001	23500000	1.022	0.95
1:23500001-24000000	1	23500001	24000000	1.031	0.992
1:24000001-24500000	1	24000001	24500000	1.065	1.069
1:24500001-25000000	1	24500001	25000000	1.012	0.971
1:25000001-25500000	1	25000001	25500000	0.98	0.993
1:25500001-26000000	1	25500001	26000000	0.933	1.069
1:26000001-26500000	1	26000001	26500000	1.052	0.97
1:26500001-27000000	1	26500001	27000000	0.981	0.863
1:27000001-27500000	1	27000001	27500000	1.057	1.017
