feature	chromosome	start	end	SLX-16150.D712tp_D507tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D506tp.H5J55BBXY.s_8.r_1
1:1000001-1500000	1	1000001	1500000	0.984	1.254
1:2000001-2500000	1	2000001	2500000	0.967	0.968
1:3000001-3500000	1	3000001	3500000	1.031	1.011
1:3500001-4000000	1	3500001	4000000	1.037	1.028
1:4000001-4500000	1	4000001	4500000	0.963	1.095
1:4500001-5000000	1	4500001	5000000	1.117	1.042
1:5000001-5500000	1	5000001	5500000	0.98	1.074
1:6000001-6500000	1	6000001	6500000	1.193	1.042
1:6500001-7000000	1	6500001	7000000	0.945	0.924
1:7000001-7500000	1	7000001	7500000	1.04	1.013
1:7500001-8000000	1	7500001	8000000	1.012	0.914
1:8000001-8500000	1	8000001	8500000	0.947	0.987
1:9000001-9500000	1	9000001	9500000	1.011	1.014
1:10000001-10500000	1	10000001	10500000	0.933	0.891
1:10500001-11000000	1	10500001	11000000	1.026	1.053
1:11000001-11500000	1	11000001	11500000	1.04	1.049
1:11500001-12000000	1	11500001	12000000	1.008	1.072
1:12000001-12500000	1	12000001	12500000	0.902	0.882
1:13500001-14000000	1	13500001	14000000	0.965	1.074
1:14000001-14500000	1	14000001	14500000	1.041	1.064
1:14500001-15000000	1	14500001	15000000	1.052	1
1:15000001-15500000	1	15000001	15500000	0.945	0.997
1:15500001-16000000	1	15500001	16000000	0.893	0.951
1:16000001-16500000	1	16000001	16500000	0.956	1.091
1:17000001-17500000	1	17000001	17500000	0.991	0.944
1:17500001-18000000	1	17500001	18000000	1.069	1.045
1:18000001-18500000	1	18000001	18500000	1.05	1.043
1:18500001-19000000	1	18500001	19000000	0.952	0.978
1:19000001-19500000	1	19000001	19500000	1.04	0.963
1:19500001-20000000	1	19500001	20000000	1.094	1.051
1:20000001-20500000	1	20000001	20500000	1.131	1.07
1:20500001-21000000	1	20500001	21000000	0.916	0.947
1:21000001-21500000	1	21000001	21500000	0.908	1.003
1:21500001-22000000	1	21500001	22000000	1.068	0.98
1:22000001-22500000	1	22000001	22500000	1.093	1.1
1:22500001-23000000	1	22500001	23000000	1.107	1.081
1:23000001-23500000	1	23000001	23500000	0.998	1.063
1:23500001-24000000	1	23500001	24000000	1.047	0.957
1:24000001-24500000	1	24000001	24500000	0.982	0.982
1:24500001-25000000	1	24500001	25000000	1.059	0.967
1:25000001-25500000	1	25000001	25500000	0.938	0.988
1:25500001-26000000	1	25500001	26000000	1.038	0.996
1:26000001-26500000	1	26000001	26500000	0.858	0.946
1:26500001-27000000	1	26500001	27000000	1.041	0.949
1:27000001-27500000	1	27000001	27500000	1.06	0.921
1:27500001-28000000	1	27500001	28000000	0.902	0.945
1:28000001-28500000	1	28000001	28500000	0.973	0.857
1:28500001-29000000	1	28500001	29000000	0.996	0.982
1:29000001-29500000	1	29000001	29500000	1.08	1.045
1:29500001-30000000	1	29500001	30000000	1.11	1.067
1:30000001-30500000	1	30000001	30500000	0.961	1.092
1:30500001-31000000	1	30500001	31000000	1.029	0.994
1:31000001-31500000	1	31000001	31500000	0.992	0.995
1:31500001-32000000	1	31500001	32000000	1.021	0.982
1:32500001-33000000	1	32500001	33000000	0.953	0.927
1:33000001-33500000	1	33000001	33500000	1.044	1.02
1:34000001-34500000	1	34000001	34500000	1.098	1.046
1:34500001-35000000	1	34500001	35000000	1.107	1.055
1:35000001-35500000	1	35000001	35500000	0.913	0.954
1:35500001-36000000	1	35500001	36000000	0.99	1.033
1:36000001-36500000	1	36000001	36500000	0.956	0.885
1:36500001-37000000	1	36500001	37000000	1.054	1.049
1:37000001-37500000	1	37000001	37500000	1.058	1.091
1:37500001-38000000	1	37500001	38000000	1.093	1.063
1:38000001-38500000	1	38000001	38500000	1.078	1.032
1:39000001-39500000	1	39000001	39500000	0.921	0.949
1:39500001-40000000	1	39500001	40000000	0.989	1.049
1:40000001-40500000	1	40000001	40500000	0.908	0.865
1:40500001-41000000	1	40500001	41000000	1.001	1.005
1:41000001-41500000	1	41000001	41500000	0.965	1.106
1:41500001-42000000	1	41500001	42000000	0.989	0.963
1:42000001-42500000	1	42000001	42500000	1.013	0.888
1:42500001-43000000	1	42500001	43000000	0.916	0.963
1:43000001-43500000	1	43000001	43500000	0.982	1.098
1:43500001-44000000	1	43500001	44000000	1.021	1.006
1:44000001-44500000	1	44000001	44500000	0.935	1.038
1:44500001-45000000	1	44500001	45000000	1.029	1.008
1:45000001-45500000	1	45000001	45500000	1.02	1.011
