feature	chromosome	start	end	SLX-16150.D712tp_D507tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D506tp.H5J55BBXY.s_8.r_1
1:45500001-46000000	1	45500001	46000000	0.971	0.923
1:46000001-46500000	1	46000001	46500000	1.062	1.071
1:46500001-47000000	1	46500001	47000000	1.059	1.058
1:47000001-47500000	1	47000001	47500000	0.99	1.056
1:47500001-48000000	1	47500001	48000000	1.066	1.061
1:48000001-48500000	1	48000001	48500000	1.103	1.109
1:48500001-49000000	1	48500001	49000000	1.026	0.965
1:49000001-49500000	1	49000001	49500000	1.123	1.075
1:49500001-50000000	1	49500001	50000000	1.068	0.98
1:50500001-51000000	1	50500001	51000000	0.999	0.951
1:51000001-51500000	1	51000001	51500000	0.895	0.927
1:51500001-52000000	1	51500001	52000000	1.017	0.962
1:52000001-52500000	1	52000001	52500000	0.926	1.003
1:53000001-53500000	1	53000001	53500000	0.945	0.949
1:53500001-54000000	1	53500001	54000000	1.039	0.938
1:54000001-54500000	1	54000001	54500000	1.01	1.048
1:54500001-55000000	1	54500001	55000000	1.072	1.059
1:55500001-56000000	1	55500001	56000000	1.025	1.004
1:56000001-56500000	1	56000001	56500000	0.963	0.991
1:56500001-57000000	1	56500001	57000000	0.974	0.967
1:57000001-57500000	1	57000001	57500000	1.097	0.964
1:57500001-58000000	1	57500001	58000000	1.144	1.013
1:58000001-58500000	1	58000001	58500000	1.071	1.058
1:58500001-59000000	1	58500001	59000000	1.004	0.935
1:59000001-59500000	1	59000001	59500000	0.925	0.963
1:59500001-60000000	1	59500001	60000000	0.981	1.055
1:60000001-60500000	1	60000001	60500000	1.001	1.022
1:60500001-61000000	1	60500001	61000000	1.069	1.051
1:61000001-61500000	1	61000001	61500000	0.957	0.97
1:61500001-62000000	1	61500001	62000000	0.966	0.947
1:62000001-62500000	1	62000001	62500000	0.951	0.99
1:62500001-63000000	1	62500001	63000000	0.987	1.028
1:63000001-63500000	1	63000001	63500000	1.013	0.963
1:63500001-64000000	1	63500001	64000000	0.967	0.97
1:64000001-64500000	1	64000001	64500000	1.009	0.949
1:64500001-65000000	1	64500001	65000000	1	1.031
1:65000001-65500000	1	65000001	65500000	1.052	1
1:65500001-66000000	1	65500001	66000000	1.152	1.091
1:66500001-67000000	1	66500001	67000000	1.073	0.971
1:67000001-67500000	1	67000001	67500000	1.001	0.928
1:68000001-68500000	1	68000001	68500000	1.053	1.024
1:68500001-69000000	1	68500001	69000000	1.065	1.073
1:69000001-69500000	1	69000001	69500000	0.942	1.041
1:69500001-70000000	1	69500001	70000000	1.055	1.004
1:70000001-70500000	1	70000001	70500000	1.011	0.926
1:70500001-71000000	1	70500001	71000000	0.904	0.957
1:71000001-71500000	1	71000001	71500000	0.933	0.996
1:71500001-72000000	1	71500001	72000000	1.007	1.121
1:72000001-72500000	1	72000001	72500000	1.018	0.956
1:72500001-73000000	1	72500001	73000000	0.987	0.993
1:73500001-74000000	1	73500001	74000000	1.029	0.928
1:74000001-74500000	1	74000001	74500000	0.886	1.05
1:74500001-75000000	1	74500001	75000000	1.013	1.058
1:75000001-75500000	1	75000001	75500000	1.005	1.08
1:75500001-76000000	1	75500001	76000000	0.997	0.993
1:76000001-76500000	1	76000001	76500000	1.023	1.02
1:77000001-77500000	1	77000001	77500000	1.024	1.127
1:77500001-78000000	1	77500001	78000000	0.844	0.847
1:78000001-78500000	1	78000001	78500000	1.038	0.979
1:78500001-79000000	1	78500001	79000000	0.94	0.944
1:79000001-79500000	1	79000001	79500000	0.999	0.932
1:79500001-80000000	1	79500001	80000000	0.894	0.99
1:80000001-80500000	1	80000001	80500000	0.971	0.969
1:80500001-81000000	1	80500001	81000000	0.828	0.939
1:81000001-81500000	1	81000001	81500000	1.084	1.056
1:81500001-82000000	1	81500001	82000000	0.979	0.944
1:82000001-82500000	1	82000001	82500000	1.042	0.943
1:82500001-83000000	1	82500001	83000000	1.021	1.014
1:83500001-84000000	1	83500001	84000000	0.965	1.031
1:84000001-84500000	1	84000001	84500000	1.002	0.92
1:84500001-85000000	1	84500001	85000000	0.943	0.927
1:85000001-85500000	1	85000001	85500000	0.997	1.026
1:85500001-86000000	1	85500001	86000000	1.05	1.012
1:86000001-86500000	1	86000001	86500000	0.991	1.052
1:86500001-87000000	1	86500001	87000000	0.987	0.967
1:87000001-87500000	1	87000001	87500000	1.029	1.071
1:87500001-88000000	1	87500001	88000000	1.007	0.974
1:88000001-88500000	1	88000001	88500000	1.028	1.079
1:88500001-89000000	1	88500001	89000000	0.962	0.904
1:89000001-89500000	1	89000001	89500000	0.919	0.984
1:89500001-90000000	1	89500001	90000000	0.947	0.987
1:90000001-90500000	1	90000001	90500000	0.991	1.099
1:90500001-91000000	1	90500001	91000000	1.036	0.968
1:91000001-91500000	1	91000001	91500000	1.039	1.065
1:91500001-92000000	1	91500001	92000000	1.004	0.999
1:92000001-92500000	1	92000001	92500000	1.033	0.963
1:92500001-93000000	1	92500001	93000000	1.078	0.918
1:93000001-93500000	1	93000001	93500000	0.943	0.823
1:94000001-94500000	1	94000001	94500000	1.031	0.945
1:94500001-95000000	1	94500001	95000000	0.991	0.987
1:95000001-95500000	1	95000001	95500000	0.961	1.024
1:95500001-96000000	1	95500001	96000000	0.908	1.003
1:96000001-96500000	1	96000001	96500000	1.004	1.079
1:96500001-97000000	1	96500001	97000000	1.032	1.099
1:97000001-97500000	1	97000001	97500000	1.019	1.029
1:97500001-98000000	1	97500001	98000000	0.966	1.071
1:98000001-98500000	1	98000001	98500000	1.053	1.069
1:98500001-99000000	1	98500001	99000000	1.018	1.047
1:99000001-99500000	1	99000001	99500000	0.972	1.041
1:99500001-100000000	1	99500001	100000000	0.939	1.01
1:100000001-100500000	1	100000001	100500000	0.917	0.888
1:100500001-101000000	1	100500001	101000000	1.038	1.066
1:101000001-101500000	1	101000001	101500000	0.999	0.899
1:101500001-102000000	1	101500001	102000000	1.057	1.017
1:102500001-103000000	1	102500001	103000000	0.926	0.997
1:103000001-103500000	1	103000001	103500000	1.038	1.047
1:104000001-104500000	1	104000001	104500000	0.892	0.971
1:104500001-105000000	1	104500001	105000000	0.898	0.865
1:105000001-105500000	1	105000001	105500000	0.88	0.9
1:105500001-106000000	1	105500001	106000000	0.914	0.969
1:106000001-106500000	1	106000001	106500000	1.041	1.053
1:107000001-107500000	1	107000001	107500000	1.079	1.1
1:107500001-108000000	1	107500001	108000000	1.017	1.007
1:108500001-109000000	1	108500001	109000000	0.975	0.911
1:109000001-109500000	1	109000001	109500000	0.93	0.965
1:109500001-110000000	1	109500001	110000000	1.049	1.028
1:110000001-110500000	1	110000001	110500000	0.932	0.969
1:110500001-111000000	1	110500001	111000000	1.017	0.978
1:111000001-111500000	1	111000001	111500000	0.96	1.003
1:111500001-112000000	1	111500001	112000000	0.954	0.985
1:112000001-112500000	1	112000001	112500000	1.092	1.036
1:112500001-113000000	1	112500001	113000000	1.106	0.996
1:113000001-113500000	1	113000001	113500000	1.058	1.037
1:113500001-114000000	1	113500001	114000000	1.009	0.896
1:114000001-114500000	1	114000001	114500000	1.055	1.023
1:114500001-115000000	1	114500001	115000000	1.014	0.927
1:115000001-115500000	1	115000001	115500000	1.13	1.025
1:115500001-116000000	1	115500001	116000000	0.967	1.082
1:116000001-116500000	1	116000001	116500000	0.912	0.957
1:116500001-117000000	1	116500001	117000000	1.065	1.117
1:117000001-117500000	1	117000001	117500000	1.028	1.073
1:117500001-118000000	1	117500001	118000000	1.002	0.985
1:118000001-118500000	1	118000001	118500000	1.023	1.017
1:118500001-119000000	1	118500001	119000000	1.066	1.058
1:119000001-119500000	1	119000001	119500000	0.97	1.086
1:119500001-120000000	1	119500001	120000000	1.007	1.059
1:147500001-148000000	1	147500001	148000000	1.19	1.028
1:150000001-150500000	1	150000001	150500000	0.982	0.913
1:150500001-151000000	1	150500001	151000000	0.883	0.922
1:151000001-151500000	1	151000001	151500000	1.001	1.059
1:151500001-152000000	1	151500001	152000000	1.086	0.932
1:152000001-152500000	1	152000001	152500000	1.167	1.168
1:152500001-153000000	1	152500001	153000000	1.153	1.134
1:153000001-153500000	1	153000001	153500000	1.122	1.075
1:153500001-154000000	1	153500001	154000000	0.896	0.926
1:154000001-154500000	1	154000001	154500000	1.117	0.906
1:154500001-155000000	1	154500001	155000000	1	1.128
1:155000001-155500000	1	155000001	155500000	1.001	1.003
1:156000001-156500000	1	156000001	156500000	1.087	1.078
1:156500001-157000000	1	156500001	157000000	1.112	1.028
1:157000001-157500000	1	157000001	157500000	1.224	1.145
1:157500001-158000000	1	157500001	158000000	1.142	1.101
1:159500001-160000000	1	159500001	160000000	1.073	1.022
1:160000001-160500000	1	160000001	160500000	1.021	1.094
1:160500001-161000000	1	160500001	161000000	1.117	0.976
1:161000001-161500000	1	161000001	161500000	1.03	1.064
1:161500001-162000000	1	161500001	162000000	1.048	0.91
1:162000001-162500000	1	162000001	162500000	1.089	1.031
1:162500001-163000000	1	162500001	163000000	1.049	1.083
1:163000001-163500000	1	163000001	163500000	1.067	1.036
1:163500001-164000000	1	163500001	164000000	1.041	1.076
1:164000001-164500000	1	164000001	164500000	1.129	1.136
1:164500001-165000000	1	164500001	165000000	1.094	1.082
1:165000001-165500000	1	165000001	165500000	1.082	1.125
1:165500001-166000000	1	165500001	166000000	1.018	1.018
1:166000001-166500000	1	166000001	166500000	1.187	1.141
1:166500001-167000000	1	166500001	167000000	1.086	1.032
1:167000001-167500000	1	167000001	167500000	1.006	1.048
1:167500001-168000000	1	167500001	168000000	0.964	0.947
1:168000001-168500000	1	168000001	168500000	1.071	0.988
1:168500001-169000000	1	168500001	169000000	1.092	1.124
1:169500001-170000000	1	169500001	170000000	1.056	1.047
1:170500001-171000000	1	170500001	171000000	1.208	0.992
1:171000001-171500000	1	171000001	171500000	1.062	1.022
1:171500001-172000000	1	171500001	172000000	1.024	1.024
1:172000001-172500000	1	172000001	172500000	0.994	1.064
1:173000001-173500000	1	173000001	173500000	1.114	1.057
1:173500001-174000000	1	173500001	174000000	1.075	0.872
1:174000001-174500000	1	174000001	174500000	1.017	1.056
1:174500001-175000000	1	174500001	175000000	1.05	1.131
1:175000001-175500000	1	175000001	175500000	1.119	1.17
1:175500001-176000000	1	175500001	176000000	1.11	1.023
1:176000001-176500000	1	176000001	176500000	1.05	1.042
1:176500001-177000000	1	176500001	177000000	1.102	1.112
1:177000001-177500000	1	177000001	177500000	1.078	1.118
1:177500001-178000000	1	177500001	178000000	1.06	1.174
1:178000001-178500000	1	178000001	178500000	1.13	1.116
1:178500001-179000000	1	178500001	179000000	1.092	1.106
1:179000001-179500000	1	179000001	179500000	0.958	0.995
1:179500001-180000000	1	179500001	180000000	1.111	1.052
1:180000001-180500000	1	180000001	180500000	1.064	1.001
1:180500001-181000000	1	180500001	181000000	1.01	1.004
1:181500001-182000000	1	181500001	182000000	1.106	1.063
1:182000001-182500000	1	182000001	182500000	1.039	1.071
1:182500001-183000000	1	182500001	183000000	1.018	0.982
1:183000001-183500000	1	183000001	183500000	1.069	1.099
1:183500001-184000000	1	183500001	184000000	1.017	0.98
1:184000001-184500000	1	184000001	184500000	1.021	1.023
1:184500001-185000000	1	184500001	185000000	1.01	0.916
1:185000001-185500000	1	185000001	185500000	0.943	0.963
1:185500001-186000000	1	185500001	186000000	1.189	1.054
1:186000001-186500000	1	186000001	186500000	1.096	1.086
1:186500001-187000000	1	186500001	187000000	1.099	0.996
1:187000001-187500000	1	187000001	187500000	1.107	1.005
1:187500001-188000000	1	187500001	188000000	1.088	1.054
1:188000001-188500000	1	188000001	188500000	1.023	1.056
1:188500001-189000000	1	188500001	189000000	1.043	1.044
1:189000001-189500000	1	189000001	189500000	1.016	1.012
1:189500001-190000000	1	189500001	190000000	1.036	0.999
1:190000001-190500000	1	190000001	190500000	1.049	0.975
1:190500001-191000000	1	190500001	191000000	0.99	1.008
1:191000001-191500000	1	191000001	191500000	1.09	0.992
1:192000001-192500000	1	192000001	192500000	1.083	0.955
1:192500001-193000000	1	192500001	193000000	1.032	0.998
1:193000001-193500000	1	193000001	193500000	0.977	1.009
1:193500001-194000000	1	193500001	194000000	1.143	1.021
1:194000001-194500000	1	194000001	194500000	1.103	1.083
1:194500001-195000000	1	194500001	195000000	1.085	1.046
1:195500001-196000000	1	195500001	196000000	1.01	1.111
1:196000001-196500000	1	196000001	196500000	1.092	1.146
1:197000001-197500000	1	197000001	197500000	1.064	1.064
1:197500001-198000000	1	197500001	198000000	1.068	0.985
1:198000001-198500000	1	198000001	198500000	1.084	1.053
1:198500001-199000000	1	198500001	199000000	1.003	0.93
1:199500001-200000000	1	199500001	200000000	1.15	0.97
1:200000001-200500000	1	200000001	200500000	0.942	0.903
1:200500001-201000000	1	200500001	201000000	1.125	0.993
1:201000001-201500000	1	201000001	201500000	1.172	1.064
1:201500001-202000000	1	201500001	202000000	1.091	1.025
1:202000001-202500000	1	202000001	202500000	1.092	1.137
1:202500001-203000000	1	202500001	203000000	1.173	1.056
1:203000001-203500000	1	203000001	203500000	1.112	1.048
1:203500001-204000000	1	203500001	204000000	1.001	1.171
1:204000001-204500000	1	204000001	204500000	1.131	1.019
1:204500001-205000000	1	204500001	205000000	1.033	1.046
1:205000001-205500000	1	205000001	205500000	1.135	1.101
1:205500001-206000000	1	205500001	206000000	1.141	1.024
1:206500001-207000000	1	206500001	207000000	1.071	0.989
1:207000001-207500000	1	207000001	207500000	1.003	0.999
1:207500001-208000000	1	207500001	208000000	1.019	1.025
1:208000001-208500000	1	208000001	208500000	1.064	0.943
1:208500001-209000000	1	208500001	209000000	1.152	1.185
1:209000001-209500000	1	209000001	209500000	1.052	1.058
1:209500001-210000000	1	209500001	210000000	1.029	0.922
1:210000001-210500000	1	210000001	210500000	1.066	1.092
1:210500001-211000000	1	210500001	211000000	1.076	1.227
1:211000001-211500000	1	211000001	211500000	1.117	1.039
1:211500001-212000000	1	211500001	212000000	1.037	0.984
1:212000001-212500000	1	212000001	212500000	1.092	0.991
1:212500001-213000000	1	212500001	213000000	0.986	0.924
1:213000001-213500000	1	213000001	213500000	1.024	1.07
1:213500001-214000000	1	213500001	214000000	1.071	1.037
1:214000001-214500000	1	214000001	214500000	1.035	1.095
1:216000001-216500000	1	216000001	216500000	1.135	1.026
1:216500001-217000000	1	216500001	217000000	1.032	0.982
1:217000001-217500000	1	217000001	217500000	1.08	1.006
1:217500001-218000000	1	217500001	218000000	0.968	0.904
1:218000001-218500000	1	218000001	218500000	1.041	0.972
1:218500001-219000000	1	218500001	219000000	1.076	1.099
1:219000001-219500000	1	219000001	219500000	0.991	1
1:219500001-220000000	1	219500001	220000000	1.126	1.005
1:220000001-220500000	1	220000001	220500000	1.035	0.998
1:220500001-221000000	1	220500001	221000000	1.04	1.032
1:221000001-221500000	1	221000001	221500000	1.087	1.116
1:221500001-222000000	1	221500001	222000000	1.017	1.037
1:222000001-222500000	1	222000001	222500000	1.149	1.15
1:222500001-223000000	1	222500001	223000000	1.012	1.043
1:223000001-223500000	1	223000001	223500000	1.105	1.106
1:224000001-224500000	1	224000001	224500000	0.962	0.95
1:224500001-225000000	1	224500001	225000000	1.114	1.027
1:225000001-225500000	1	225000001	225500000	1.025	0.995
1:225500001-226000000	1	225500001	226000000	1.083	0.966
1:226000001-226500000	1	226000001	226500000	1.08	1.006
1:227000001-227500000	1	227000001	227500000	1.002	1.109
1:228000001-228500000	1	228000001	228500000	0.98	0.975
1:228500001-229000000	1	228500001	229000000	1.156	1.217
1:229500001-230000000	1	229500001	230000000	1.043	0.995
1:230000001-230500000	1	230000001	230500000	0.99	1.033
1:230500001-231000000	1	230500001	231000000	1.041	1.071
1:231000001-231500000	1	231000001	231500000	0.989	1.027
1:231500001-232000000	1	231500001	232000000	1.048	1.041
1:232000001-232500000	1	232000001	232500000	1.172	1.071
1:232500001-233000000	1	232500001	233000000	1.12	1.048
1:233500001-234000000	1	233500001	234000000	1.053	1.064
1:234000001-234500000	1	234000001	234500000	1.102	1.049
1:234500001-235000000	1	234500001	235000000	1.079	0.977
1:235000001-235500000	1	235000001	235500000	0.947	0.929
1:236000001-236500000	1	236000001	236500000	1.107	1.116
1:236500001-237000000	1	236500001	237000000	1.051	1.013
1:237000001-237500000	1	237000001	237500000	0.963	1.154
1:238000001-238500000	1	238000001	238500000	1.056	0.985
1:238500001-239000000	1	238500001	239000000	1.112	1.018
1:239000001-239500000	1	239000001	239500000	1.079	1.125
1:239500001-240000000	1	239500001	240000000	1.064	1.038
1:240000001-240500000	1	240000001	240500000	1.008	0.993
1:240500001-241000000	1	240500001	241000000	1.07	1.008
1:241000001-241500000	1	241000001	241500000	1.123	1.06
1:241500001-242000000	1	241500001	242000000	1.028	1.021
1:242000001-242500000	1	242000001	242500000	1.06	1.055
1:243500001-244000000	1	243500001	244000000	1.056	1.036
1:244000001-244500000	1	244000001	244500000	1.063	0.983
1:244500001-245000000	1	244500001	245000000	1.049	1.035
1:245000001-245500000	1	245000001	245500000	1.083	1.057
1:245500001-246000000	1	245500001	246000000	0.995	1.004
1:246000001-246500000	1	246000001	246500000	1.047	1.052
1:246500001-247000000	1	246500001	247000000	1.017	0.941
1:247000001-247500000	1	247000001	247500000	1.077	0.936
1:247500001-248000000	1	247500001	248000000	1.119	1.083
2:1-500000	2	1	500000	0.916	1.008
2:1500001-2000000	2	1500001	2000000	1.109	0.992
2:2000001-2500000	2	2000001	2500000	0.995	1.052
2:2500001-3000000	2	2500001	3000000	1.031	1.039
2:3000001-3500000	2	3000001	3500000	1.061	0.943
2:3500001-4000000	2	3500001	4000000	1.06	1.044
2:4000001-4500000	2	4000001	4500000	0.931	1.032
2:4500001-5000000	2	4500001	5000000	0.967	0.988
2:5000001-5500000	2	5000001	5500000	0.89	1.001
2:5500001-6000000	2	5500001	6000000	1.004	1.064
2:6000001-6500000	2	6000001	6500000	0.956	0.961
2:6500001-7000000	2	6500001	7000000	0.927	1.032
2:7000001-7500000	2	7000001	7500000	0.984	1.017
2:7500001-8000000	2	7500001	8000000	1.062	0.977
2:8000001-8500000	2	8000001	8500000	0.905	0.976
2:8500001-9000000	2	8500001	9000000	0.957	0.923
2:9000001-9500000	2	9000001	9500000	0.994	0.93
2:9500001-10000000	2	9500001	10000000	0.964	0.998
2:10000001-10500000	2	10000001	10500000	0.878	0.914
2:10500001-11000000	2	10500001	11000000	0.984	1.092
2:11000001-11500000	2	11000001	11500000	0.982	0.883
2:11500001-12000000	2	11500001	12000000	1.079	1.038
2:12000001-12500000	2	12000001	12500000	0.977	1.026
2:12500001-13000000	2	12500001	13000000	1	1.005
2:13000001-13500000	2	13000001	13500000	1.091	0.862
2:13500001-14000000	2	13500001	14000000	0.992	0.987
2:14000001-14500000	2	14000001	14500000	0.957	1.032
2:14500001-15000000	2	14500001	15000000	0.943	1.065
2:15000001-15500000	2	15000001	15500000	1.033	1.039
2:15500001-16000000	2	15500001	16000000	0.925	0.974
2:16500001-17000000	2	16500001	17000000	1.076	1.01
2:17000001-17500000	2	17000001	17500000	0.927	1.056
2:17500001-18000000	2	17500001	18000000	1.174	1.013
2:18000001-18500000	2	18000001	18500000	1.064	1.008
2:18500001-19000000	2	18500001	19000000	1.026	1.137
2:19000001-19500000	2	19000001	19500000	1.039	1.1
2:19500001-20000000	2	19500001	20000000	0.995	1.025
2:20000001-20500000	2	20000001	20500000	0.925	0.984
2:20500001-21000000	2	20500001	21000000	1.011	0.981
2:21000001-21500000	2	21000001	21500000	1.025	0.992
2:21500001-22000000	2	21500001	22000000	0.918	0.973
2:22500001-23000000	2	22500001	23000000	0.993	0.97
2:23000001-23500000	2	23000001	23500000	1.021	0.972
2:23500001-24000000	2	23500001	24000000	0.997	0.998
2:24000001-24500000	2	24000001	24500000	0.939	1.019
2:25000001-25500000	2	25000001	25500000	1.079	0.957
2:25500001-26000000	2	25500001	26000000	0.978	0.971
2:26000001-26500000	2	26000001	26500000	0.957	0.962
2:26500001-27000000	2	26500001	27000000	1.116	1.079
2:27000001-27500000	2	27000001	27500000	1.003	0.993
2:27500001-28000000	2	27500001	28000000	0.872	0.932
2:28000001-28500000	2	28000001	28500000	0.92	0.905
2:28500001-29000000	2	28500001	29000000	0.921	0.927
2:29000001-29500000	2	29000001	29500000	1.026	1.044
2:29500001-30000000	2	29500001	30000000	0.93	1.053
2:30000001-30500000	2	30000001	30500000	0.988	0.951
2:30500001-31000000	2	30500001	31000000	1.026	0.997
2:31000001-31500000	2	31000001	31500000	1.022	1.037
2:31500001-32000000	2	31500001	32000000	0.995	0.928
2:32000001-32500000	2	32000001	32500000	0.889	0.867
2:33000001-33500000	2	33000001	33500000	1.047	0.896
2:34000001-34500000	2	34000001	34500000	0.931	0.95
2:34500001-35000000	2	34500001	35000000	1.03	1.066
2:35000001-35500000	2	35000001	35500000	1.054	1.043
2:35500001-36000000	2	35500001	36000000	0.956	1
2:36500001-37000000	2	36500001	37000000	1.019	0.935
2:37000001-37500000	2	37000001	37500000	0.936	1.029
2:37500001-38000000	2	37500001	38000000	0.886	1.057
2:38000001-38500000	2	38000001	38500000	1.046	1.092
2:38500001-39000000	2	38500001	39000000	0.895	0.945
2:39000001-39500000	2	39000001	39500000	0.971	0.915
2:39500001-40000000	2	39500001	40000000	0.968	1.003
2:40000001-40500000	2	40000001	40500000	0.961	1.017
2:41000001-41500000	2	41000001	41500000	1.042	1.029
2:41500001-42000000	2	41500001	42000000	1.129	1.029
2:42000001-42500000	2	42000001	42500000	1.039	0.973
2:42500001-43000000	2	42500001	43000000	1.031	0.995
2:43000001-43500000	2	43000001	43500000	0.965	0.932
2:43500001-44000000	2	43500001	44000000	0.95	0.921
2:44000001-44500000	2	44000001	44500000	0.997	1.013
2:44500001-45000000	2	44500001	45000000	1.068	1.008
2:45000001-45500000	2	45000001	45500000	1.069	0.999
2:45500001-46000000	2	45500001	46000000	1.078	1.001
2:46000001-46500000	2	46000001	46500000	0.933	1.044
2:46500001-47000000	2	46500001	47000000	0.925	0.834
2:47000001-47500000	2	47000001	47500000	0.958	0.995
2:47500001-48000000	2	47500001	48000000	1.133	1.005
2:48000001-48500000	2	48000001	48500000	0.931	0.949
2:48500001-49000000	2	48500001	49000000	1.044	1.079
2:49500001-50000000	2	49500001	50000000	1.096	1.003
2:50000001-50500000	2	50000001	50500000	0.992	1.031
2:51000001-51500000	2	51000001	51500000	0.938	0.88
2:51500001-52000000	2	51500001	52000000	1.016	0.928
2:52000001-52500000	2	52000001	52500000	1.022	0.977
2:52500001-53000000	2	52500001	53000000	0.89	0.902
2:53000001-53500000	2	53000001	53500000	1.048	1.032
2:53500001-54000000	2	53500001	54000000	1.003	0.991
2:54500001-55000000	2	54500001	55000000	0.938	0.925
2:55000001-55500000	2	55000001	55500000	0.929	0.898
2:55500001-56000000	2	55500001	56000000	1.09	1.111
2:56000001-56500000	2	56000001	56500000	1.054	0.99
2:56500001-57000000	2	56500001	57000000	1.085	0.994
2:57000001-57500000	2	57000001	57500000	0.954	0.996
2:58000001-58500000	2	58000001	58500000	1.089	1.029
2:58500001-59000000	2	58500001	59000000	1.139	1.077
2:59000001-59500000	2	59000001	59500000	1.015	1.034
2:59500001-60000000	2	59500001	60000000	1.089	1.017
2:60000001-60500000	2	60000001	60500000	1.131	1.085
