feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
2:228000001-228500000	2	228000001	228500000	0.964	0.941	1.026
2:228500001-229000000	2	228500001	229000000	1.011	1.063	0.885
2:229000001-229500000	2	229000001	229500000	1.001	0.893	0.864
2:229500001-230000000	2	229500001	230000000	0.966	1.013	0.962
2:230000001-230500000	2	230000001	230500000	0.928	0.933	0.965
2:230500001-231000000	2	230500001	231000000	1.009	0.983	0.978
2:231000001-231500000	2	231000001	231500000	1.103	1.15	0.978
2:231500001-232000000	2	231500001	232000000	1.101	0.93	1.039
2:232000001-232500000	2	232000001	232500000	1.088	0.857	1.051
2:232500001-233000000	2	232500001	233000000	1.012	0.955	1.044
2:233000001-233500000	2	233000001	233500000	1.008	0.965	0.949
2:233500001-234000000	2	233500001	234000000	0.958	0.905	1.041
2:234000001-234500000	2	234000001	234500000	1	0.919	1.024
2:234500001-235000000	2	234500001	235000000	1.046	1.123	1.012
2:235000001-235500000	2	235000001	235500000	1.008	0.949	0.899
2:235500001-236000000	2	235500001	236000000	0.962	0.949	0.888
2:236000001-236500000	2	236000001	236500000	0.94	0.937	0.911
2:236500001-237000000	2	236500001	237000000	0.919	0.941	0.9
2:237000001-237500000	2	237000001	237500000	0.894	1.059	1.004
2:238000001-238500000	2	238000001	238500000	1.011	0.976	0.991
2:238500001-239000000	2	238500001	239000000	1.059	0.948	0.98
2:239000001-239500000	2	239000001	239500000	0.962	0.906	0.899
2:239500001-240000000	2	239500001	240000000	1.019	0.925	0.987
2:240000001-240500000	2	240000001	240500000	0.944	0.947	0.929
2:240500001-241000000	2	240500001	241000000	1.104	0.963	1.185
2:241000001-241500000	2	241000001	241500000	1.002	0.815	1.017
2:241500001-242000000	2	241500001	242000000	1.09	0.987	0.921
3:1-500000	3	1	500000	1.021	1.039	0.852
3:500001-1000000	3	500001	1000000	0.996	1.041	0.878
3:1000001-1500000	3	1000001	1500000	1.023	0.983	0.934
3:1500001-2000000	3	1500001	2000000	0.978	0.961	0.977
3:2000001-2500000	3	2000001	2500000	0.951	1.044	0.951
3:2500001-3000000	3	2500001	3000000	1.009	0.96	0.968
3:3000001-3500000	3	3000001	3500000	0.952	0.888	0.947
3:4000001-4500000	3	4000001	4500000	1.039	0.928	0.933
3:4500001-5000000	3	4500001	5000000	0.868	0.895	0.834
3:5000001-5500000	3	5000001	5500000	0.89	0.998	1.093
3:5500001-6000000	3	5500001	6000000	1.009	1.071	1.081
3:6000001-6500000	3	6000001	6500000	1.083	1.102	1.133
3:6500001-7000000	3	6500001	7000000	1.073	0.963	1.015
3:7000001-7500000	3	7000001	7500000	1.083	1.111	0.946
3:7500001-8000000	3	7500001	8000000	1.088	0.899	1.057
3:8000001-8500000	3	8000001	8500000	1.037	1.093	0.99
3:8500001-9000000	3	8500001	9000000	1.035	1.11	0.95
3:9000001-9500000	3	9000001	9500000	0.976	0.81	0.951
3:9500001-10000000	3	9500001	10000000	1.057	1.026	0.978
3:10000001-10500000	3	10000001	10500000	1.062	1.114	0.94
3:10500001-11000000	3	10500001	11000000	1.048	1.047	1.112
3:11000001-11500000	3	11000001	11500000	1.052	0.97	1.04
3:11500001-12000000	3	11500001	12000000	1.093	0.961	0.914
3:12000001-12500000	3	12000001	12500000	0.991	0.96	0.94
3:12500001-13000000	3	12500001	13000000	1.003	0.936	0.946
3:13000001-13500000	3	13000001	13500000	1.003	0.977	1.117
3:13500001-14000000	3	13500001	14000000	1.08	1.109	0.992
3:14000001-14500000	3	14000001	14500000	1.003	0.883	1.009
3:14500001-15000000	3	14500001	15000000	0.976	0.92	0.932
3:15000001-15500000	3	15000001	15500000	0.978	0.787	1.019
3:15500001-16000000	3	15500001	16000000	0.925	0.998	1.082
3:16000001-16500000	3	16000001	16500000	0.967	0.865	0.894
3:16500001-17000000	3	16500001	17000000	0.982	1.002	1.01
3:17000001-17500000	3	17000001	17500000	1.019	1.027	0.958
3:17500001-18000000	3	17500001	18000000	1.016	0.993	1.039
3:18000001-18500000	3	18000001	18500000	1.059	1.181	1.125
3:18500001-19000000	3	18500001	19000000	1.019	1.081	1.045
3:19000001-19500000	3	19000001	19500000	1.073	1.086	1.096
3:19500001-20000000	3	19500001	20000000	0.989	0.928	1.058
3:20000001-20500000	3	20000001	20500000	0.98	0.939	0.975
3:20500001-21000000	3	20500001	21000000	1.036	1.102	0.929
3:21000001-21500000	3	21000001	21500000	1.043	0.976	0.978
3:21500001-22000000	3	21500001	22000000	1.041	1.048	0.953
3:22000001-22500000	3	22000001	22500000	1.021	1.057	1.072
3:22500001-23000000	3	22500001	23000000	1.03	0.972	1.091
3:23000001-23500000	3	23000001	23500000	0.99	1.044	1.005
3:23500001-24000000	3	23500001	24000000	0.99	0.903	0.93
3:24000001-24500000	3	24000001	24500000	1.073	1.008	1.028
3:25500001-26000000	3	25500001	26000000	0.843	0.945	1.145
3:26000001-26500000	3	26000001	26500000	1.047	0.959	0.987
3:26500001-27000000	3	26500001	27000000	0.996	1.057	1.194
3:27000001-27500000	3	27000001	27500000	1.043	0.963	1.029
3:27500001-28000000	3	27500001	28000000	1.008	0.959	0.894
3:28000001-28500000	3	28000001	28500000	1.023	0.938	1.044
3:28500001-29000000	3	28500001	29000000	0.974	1.025	1.014
3:29000001-29500000	3	29000001	29500000	0.948	1.063	1.02
3:30000001-30500000	3	30000001	30500000	1.093	0.886	0.992
3:30500001-31000000	3	30500001	31000000	1.024	0.979	0.9
3:31000001-31500000	3	31000001	31500000	0.954	0.893	0.974
3:31500001-32000000	3	31500001	32000000	0.985	0.883	0.976
3:32000001-32500000	3	32000001	32500000	1.006	0.939	0.966
3:32500001-33000000	3	32500001	33000000	0.91	0.95	0.845
3:33000001-33500000	3	33000001	33500000	1.055	0.951	1.037
3:34000001-34500000	3	34000001	34500000	1.047	1.051	1.005
3:34500001-35000000	3	34500001	35000000	0.987	1.061	0.987
3:35000001-35500000	3	35000001	35500000	1.011	0.991	1.001
3:35500001-36000000	3	35500001	36000000	1.04	1.097	1.033
3:36000001-36500000	3	36000001	36500000	1.081	1.089	1.133
3:36500001-37000000	3	36500001	37000000	1.023	1.122	1.064
3:37000001-37500000	3	37000001	37500000	0.94	0.918	1.014
3:37500001-38000000	3	37500001	38000000	1.002	1.046	0.948
3:38000001-38500000	3	38000001	38500000	1.029	1.115	1.128
3:38500001-39000000	3	38500001	39000000	0.994	1.051	1.088
3:39000001-39500000	3	39000001	39500000	0.953	1.062	0.908
3:39500001-40000000	3	39500001	40000000	1.031	1.104	1.031
3:40500001-41000000	3	40500001	41000000	1.027	1.041	0.97
3:41000001-41500000	3	41000001	41500000	0.985	1.059	1.005
3:42000001-42500000	3	42000001	42500000	1.079	0.984	1.035
3:42500001-43000000	3	42500001	43000000	1.003	0.928	0.957
3:43500001-44000000	3	43500001	44000000	0.983	1.023	1.069
3:44000001-44500000	3	44000001	44500000	0.976	0.927	0.969
3:44500001-45000000	3	44500001	45000000	1.006	1.013	0.995
3:45000001-45500000	3	45000001	45500000	0.961	1.021	1.049
3:45500001-46000000	3	45500001	46000000	0.918	0.959	0.914
3:46000001-46500000	3	46000001	46500000	1.003	0.959	0.965
3:46500001-47000000	3	46500001	47000000	1.013	0.953	0.987
3:47000001-47500000	3	47000001	47500000	0.946	0.774	0.928
3:47500001-48000000	3	47500001	48000000	0.958	0.908	1.036
3:48000001-48500000	3	48000001	48500000	0.99	0.918	0.919
3:48500001-49000000	3	48500001	49000000	1.01	1.045	1.039
3:49500001-50000000	3	49500001	50000000	1.016	0.966	0.962
3:50000001-50500000	3	50000001	50500000	1.108	1.03	0.996
3:50500001-51000000	3	50500001	51000000	1.089	0.99	1.148
3:51000001-51500000	3	51000001	51500000	1.069	1.11	1.143
3:51500001-52000000	3	51500001	52000000	1.036	0.901	1.01
3:52000001-52500000	3	52000001	52500000	0.991	0.969	1.111
3:52500001-53000000	3	52500001	53000000	0.943	0.972	0.999
3:53000001-53500000	3	53000001	53500000	0.978	0.916	0.96
3:53500001-54000000	3	53500001	54000000	1.018	0.877	0.984
3:54000001-54500000	3	54000001	54500000	0.926	1.081	1.052
3:54500001-55000000	3	54500001	55000000	1.017	0.943	0.962
3:55000001-55500000	3	55000001	55500000	0.999	0.938	0.993
3:55500001-56000000	3	55500001	56000000	0.912	0.965	0.998
3:56000001-56500000	3	56000001	56500000	0.965	1.025	1.042
3:56500001-57000000	3	56500001	57000000	1.006	0.967	0.938
3:57000001-57500000	3	57000001	57500000	0.939	0.978	1.063
3:57500001-58000000	3	57500001	58000000	0.998	0.87	0.96
3:58000001-58500000	3	58000001	58500000	0.86	0.945	0.925
3:58500001-59000000	3	58500001	59000000	0.984	1.099	1.155
3:59000001-59500000	3	59000001	59500000	0.935	0.997	1.004
3:59500001-60000000	3	59500001	60000000	0.949	1.111	1.04
3:60000001-60500000	3	60000001	60500000	1.056	0.937	0.957
3:60500001-61000000	3	60500001	61000000	0.967	0.926	0.996
3:61000001-61500000	3	61000001	61500000	1.004	1.068	1.015
3:61500001-62000000	3	61500001	62000000	0.911	0.938	0.924
3:62000001-62500000	3	62000001	62500000	0.976	1.034	0.982
3:62500001-63000000	3	62500001	63000000	0.978	1.02	0.877
3:63000001-63500000	3	63000001	63500000	1.004	1.049	1.075
3:63500001-64000000	3	63500001	64000000	0.963	1.013	0.953
3:64000001-64500000	3	64000001	64500000	0.955	0.976	0.982
3:64500001-65000000	3	64500001	65000000	1.051	1.089	0.993
3:65000001-65500000	3	65000001	65500000	1.043	0.86	1.027
3:65500001-66000000	3	65500001	66000000	0.951	0.959	0.956
3:66000001-66500000	3	66000001	66500000	0.955	0.762	0.942
3:66500001-67000000	3	66500001	67000000	0.951	1.111	0.985
3:67000001-67500000	3	67000001	67500000	1.037	0.963	1.022
3:67500001-68000000	3	67500001	68000000	1.016	0.914	0.961
3:68000001-68500000	3	68000001	68500000	0.942	1.067	0.971
3:69000001-69500000	3	69000001	69500000	0.944	0.902	1.024
3:69500001-70000000	3	69500001	70000000	0.971	0.986	0.901
3:70000001-70500000	3	70000001	70500000	1.073	0.905	0.941
3:70500001-71000000	3	70500001	71000000	1.006	0.976	1.1
3:71000001-71500000	3	71000001	71500000	0.914	0.834	0.856
3:71500001-72000000	3	71500001	72000000	0.925	0.926	0.964
3:72000001-72500000	3	72000001	72500000	0.966	0.899	0.906
3:72500001-73000000	3	72500001	73000000	0.965	0.9	0.907
3:73500001-74000000	3	73500001	74000000	0.948	0.866	0.9
3:74000001-74500000	3	74000001	74500000	1.024	0.959	0.92
3:74500001-75000000	3	74500001	75000000	0.993	0.907	0.943
3:76000001-76500000	3	76000001	76500000	1.16	1.034	0.98
3:76500001-77000000	3	76500001	77000000	0.914	1.18	1.009
3:77000001-77500000	3	77000001	77500000	1.072	1.031	0.986
3:77500001-78000000	3	77500001	78000000	1.076	1.007	0.954
3:78000001-78500000	3	78000001	78500000	0.978	1.051	1.089
3:78500001-79000000	3	78500001	79000000	1.048	1.015	1.038
3:79000001-79500000	3	79000001	79500000	1.04	0.983	1.014
3:79500001-80000000	3	79500001	80000000	1.081	0.985	1.079
3:80000001-80500000	3	80000001	80500000	0.919	1.004	1.004
3:80500001-81000000	3	80500001	81000000	1.07	0.99	1.004
3:81000001-81500000	3	81000001	81500000	1.059	1.107	1.134
3:81500001-82000000	3	81500001	82000000	1.011	1.011	1.025
3:82000001-82500000	3	82000001	82500000	1.097	1.029	1.079
3:83000001-83500000	3	83000001	83500000	0.973	1.117	1.141
3:83500001-84000000	3	83500001	84000000	0.952	0.827	0.917
3:84000001-84500000	3	84000001	84500000	1.15	1.012	0.974
3:84500001-85000000	3	84500001	85000000	1.065	1.112	1.001
3:85000001-85500000	3	85000001	85500000	1.008	1.129	1.114
3:85500001-86000000	3	85500001	86000000	0.952	1.053	0.934
3:86000001-86500000	3	86000001	86500000	0.992	0.976	0.937
3:86500001-87000000	3	86500001	87000000	1.063	1.003	1.13
3:87000001-87500000	3	87000001	87500000	0.956	0.921	0.961
3:87500001-88000000	3	87500001	88000000	1.049	0.948	1.037
3:88000001-88500000	3	88000001	88500000	0.959	0.912	0.983
3:88500001-89000000	3	88500001	89000000	1.063	0.943	0.975
3:89000001-89500000	3	89000001	89500000	1.044	1.007	1.004
3:94000001-94500000	3	94000001	94500000	1.01	0.994	0.963
3:94500001-95000000	3	94500001	95000000	0.96	1.06	0.935
3:95000001-95500000	3	95000001	95500000	1.039	0.973	0.904
3:95500001-96000000	3	95500001	96000000	1.046	0.939	0.931
3:97000001-97500000	3	97000001	97500000	1.05	0.977	1.036
3:97500001-98000000	3	97500001	98000000	0.99	1.021	1.033
3:98000001-98500000	3	98000001	98500000	1.008	1.01	0.914
3:98500001-99000000	3	98500001	99000000	0.943	0.972	1.062
3:99000001-99500000	3	99000001	99500000	0.969	1.119	1
3:99500001-100000000	3	99500001	100000000	1.033	1.041	1.041
3:100000001-100500000	3	100000001	100500000	0.992	0.989	0.912
3:100500001-101000000	3	100500001	101000000	0.997	0.967	0.967
3:101000001-101500000	3	101000001	101500000	0.975	1.061	0.966
3:101500001-102000000	3	101500001	102000000	0.965	0.928	0.829
3:102000001-102500000	3	102000001	102500000	1.106	1.013	1.166
3:102500001-103000000	3	102500001	103000000	0.967	1.034	1.025
3:103000001-103500000	3	103000001	103500000	0.998	1.011	0.959
3:103500001-104000000	3	103500001	104000000	1.067	0.964	1.084
3:104000001-104500000	3	104000001	104500000	0.906	1.132	1.008
3:104500001-105000000	3	104500001	105000000	1.103	0.92	0.951
3:105000001-105500000	3	105000001	105500000	0.997	1.112	1.011
3:105500001-106000000	3	105500001	106000000	1.04	1.182	1.023
3:106000001-106500000	3	106000001	106500000	1.032	0.951	0.937
3:107000001-107500000	3	107000001	107500000	1.061	1.067	1.078
3:107500001-108000000	3	107500001	108000000	0.971	0.908	1.013
3:108000001-108500000	3	108000001	108500000	0.96	0.93	1.132
3:108500001-109000000	3	108500001	109000000	1.08	0.994	1.1
3:109000001-109500000	3	109000001	109500000	1.057	1.057	0.984
3:109500001-110000000	3	109500001	110000000	0.994	0.942	0.979
3:110000001-110500000	3	110000001	110500000	0.991	0.967	0.968
3:110500001-111000000	3	110500001	111000000	1	0.886	1.035
3:111000001-111500000	3	111000001	111500000	1	1.045	1.012
3:111500001-112000000	3	111500001	112000000	1.094	0.961	0.951
3:112000001-112500000	3	112000001	112500000	0.996	0.917	0.917
3:112500001-113000000	3	112500001	113000000	0.879	0.909	0.961
3:113000001-113500000	3	113000001	113500000	1.032	0.931	1.03
3:113500001-114000000	3	113500001	114000000	0.905	0.896	0.921
3:114000001-114500000	3	114000001	114500000	0.969	0.935	0.944
3:114500001-115000000	3	114500001	115000000	1.056	1.019	1.015
3:115000001-115500000	3	115000001	115500000	0.974	1.132	1.039
3:115500001-116000000	3	115500001	116000000	1.079	0.953	1.091
3:116000001-116500000	3	116000001	116500000	1.048	1.1	1.147
3:116500001-117000000	3	116500001	117000000	1.106	1.04	1.011
3:117000001-117500000	3	117000001	117500000	0.951	0.952	0.856
3:117500001-118000000	3	117500001	118000000	0.965	0.983	1.055
3:118000001-118500000	3	118000001	118500000	0.949	1.066	1.081
3:118500001-119000000	3	118500001	119000000	0.975	0.996	0.923
3:119000001-119500000	3	119000001	119500000	1.086	0.973	0.839
3:120000001-120500000	3	120000001	120500000	0.934	0.956	0.963
3:121000001-121500000	3	121000001	121500000	1.027	0.942	1.055
3:121500001-122000000	3	121500001	122000000	1.05	1.135	0.929
3:122000001-122500000	3	122000001	122500000	1.017	0.952	0.994
3:123000001-123500000	3	123000001	123500000	0.932	0.979	1.037
3:123500001-124000000	3	123500001	124000000	0.95	0.908	0.968
3:124000001-124500000	3	124000001	124500000	1.021	0.987	1.034
3:124500001-125000000	3	124500001	125000000	1.096	0.925	0.971
3:125000001-125500000	3	125000001	125500000	0.991	0.824	0.97
3:126000001-126500000	3	126000001	126500000	1.038	0.942	0.965
3:126500001-127000000	3	126500001	127000000	1.028	0.809	1.064
3:127500001-128000000	3	127500001	128000000	0.993	0.921	0.992
3:128000001-128500000	3	128000001	128500000	0.982	1.008	0.989
3:129000001-129500000	3	129000001	129500000	0.914	1.053	0.906
3:129500001-130000000	3	129500001	130000000	0.931	1.021	0.94
3:130500001-131000000	3	130500001	131000000	1.032	0.963	1.062
3:131000001-131500000	3	131000001	131500000	0.993	1.072	1.046
3:131500001-132000000	3	131500001	132000000	1.043	0.835	1.082
3:132000001-132500000	3	132000001	132500000	0.984	1.038	1.062
3:132500001-133000000	3	132500001	133000000	1.045	1.065	1.091
3:133000001-133500000	3	133000001	133500000	1.104	1.002	1.047
3:133500001-134000000	3	133500001	134000000	0.915	0.939	1.012
3:134000001-134500000	3	134000001	134500000	1.013	1.065	1.135
3:134500001-135000000	3	134500001	135000000	0.901	1.115	0.981
3:135000001-135500000	3	135000001	135500000	1.023	1.054	1.025
3:135500001-136000000	3	135500001	136000000	1.084	0.976	1.055
3:136000001-136500000	3	136000001	136500000	1.05	1.049	0.965
3:136500001-137000000	3	136500001	137000000	0.902	0.831	0.95
3:137500001-138000000	3	137500001	138000000	1.048	1.053	1.101
3:138000001-138500000	3	138000001	138500000	1.053	1.081	0.964
3:138500001-139000000	3	138500001	139000000	0.922	0.879	0.917
3:139000001-139500000	3	139000001	139500000	1.027	1.188	0.911
3:139500001-140000000	3	139500001	140000000	0.979	0.988	1.039
3:140000001-140500000	3	140000001	140500000	0.973	1.083	1.178
3:140500001-141000000	3	140500001	141000000	0.99	1.019	0.911
3:141000001-141500000	3	141000001	141500000	0.953	0.977	0.982
3:141500001-142000000	3	141500001	142000000	1.032	1.045	1.004
3:142000001-142500000	3	142000001	142500000	0.915	0.872	1.061
3:143000001-143500000	3	143000001	143500000	0.975	0.936	1.003
3:143500001-144000000	3	143500001	144000000	0.987	1.032	0.951
3:144000001-144500000	3	144000001	144500000	0.988	0.881	1.008
3:144500001-145000000	3	144500001	145000000	1.081	1.031	1.008
3:145000001-145500000	3	145000001	145500000	0.987	1.011	1.057
3:145500001-146000000	3	145500001	146000000	0.964	1.054	1.015
3:146000001-146500000	3	146000001	146500000	1.079	1.035	0.947
3:146500001-147000000	3	146500001	147000000	1.074	1.04	0.951
3:147000001-147500000	3	147000001	147500000	1.011	0.943	1.078
3:147500001-148000000	3	147500001	148000000	0.964	1.042	0.972
3:148000001-148500000	3	148000001	148500000	1.066	1.03	0.991
3:148500001-149000000	3	148500001	149000000	1.017	1.012	1.058
3:149000001-149500000	3	149000001	149500000	0.93	0.884	0.892
3:149500001-150000000	3	149500001	150000000	0.97	0.961	1.01
3:150000001-150500000	3	150000001	150500000	0.986	1.01	0.987
3:150500001-151000000	3	150500001	151000000	0.995	0.86	0.99
3:151000001-151500000	3	151000001	151500000	0.96	0.941	0.998
3:151500001-152000000	3	151500001	152000000	0.997	0.904	0.995
3:152000001-152500000	3	152000001	152500000	0.901	0.876	0.967
3:153000001-153500000	3	153000001	153500000	0.966	1.04	1.008
3:154000001-154500000	3	154000001	154500000	1.034	1.081	1.022
3:154500001-155000000	3	154500001	155000000	1.025	1.059	1.036
3:155000001-155500000	3	155000001	155500000	1.051	0.936	1.018
3:155500001-156000000	3	155500001	156000000	0.914	0.97	1.052
3:156000001-156500000	3	156000001	156500000	0.968	0.941	0.977
3:156500001-157000000	3	156500001	157000000	0.95	0.995	1.096
3:157000001-157500000	3	157000001	157500000	1.023	0.86	0.968
3:157500001-158000000	3	157500001	158000000	1.036	1.071	1.008
3:158000001-158500000	3	158000001	158500000	1.068	0.975	1.022
3:158500001-159000000	3	158500001	159000000	1.023	1.043	0.917
3:159000001-159500000	3	159000001	159500000	1.096	1.006	1.087
3:159500001-160000000	3	159500001	160000000	0.97	1.061	1.115
3:160000001-160500000	3	160000001	160500000	0.913	0.952	0.896
3:161000001-161500000	3	161000001	161500000	1.012	0.961	0.999
3:161500001-162000000	3	161500001	162000000	1.093	1.18	1.003
3:162000001-162500000	3	162000001	162500000	1.075	1.136	0.925
3:163000001-163500000	3	163000001	163500000	0.94	0.938	1.053
3:163500001-164000000	3	163500001	164000000	0.947	1.005	0.923
3:164000001-164500000	3	164000001	164500000	0.988	1.025	1.035
3:164500001-165000000	3	164500001	165000000	1.02	0.948	0.926
3:165000001-165500000	3	165000001	165500000	0.938	0.961	1.016
3:165500001-166000000	3	165500001	166000000	1.011	1.072	0.933
3:166500001-167000000	3	166500001	167000000	0.982	1.025	1.024
3:167000001-167500000	3	167000001	167500000	1.083	0.993	0.94
3:167500001-168000000	3	167500001	168000000	1.012	1.105	1.094
3:168000001-168500000	3	168000001	168500000	0.998	1.144	1.064
3:168500001-169000000	3	168500001	169000000	1.066	0.992	1.084
3:169000001-169500000	3	169000001	169500000	0.97	0.967	1.085
3:169500001-170000000	3	169500001	170000000	1.109	0.961	0.98
3:170000001-170500000	3	170000001	170500000	0.916	1.009	0.915
3:170500001-171000000	3	170500001	171000000	1.138	1.13	1.237
3:171000001-171500000	3	171000001	171500000	0.902	1.02	1.019
3:172000001-172500000	3	172000001	172500000	0.99	0.917	0.978
3:172500001-173000000	3	172500001	173000000	0.997	0.907	0.898
3:173000001-173500000	3	173000001	173500000	1.012	1.008	1.18
3:173500001-174000000	3	173500001	174000000	1.018	0.903	1.07
3:174000001-174500000	3	174000001	174500000	1.024	1.034	1.04
3:174500001-175000000	3	174500001	175000000	0.973	0.991	0.991
3:175000001-175500000	3	175000001	175500000	1.007	1.036	1.049
3:175500001-176000000	3	175500001	176000000	1.004	0.971	0.954
3:176000001-176500000	3	176000001	176500000	1.04	1.026	0.977
3:176500001-177000000	3	176500001	177000000	1.018	1.06	1.067
3:177500001-178000000	3	177500001	178000000	1.073	0.918	1.012
3:178000001-178500000	3	178000001	178500000	1.124	1.034	0.996
3:178500001-179000000	3	178500001	179000000	1.014	1.056	0.971
3:179000001-179500000	3	179000001	179500000	0.927	0.994	1.045
3:179500001-180000000	3	179500001	180000000	0.937	0.949	0.891
3:180000001-180500000	3	180000001	180500000	0.993	1.048	0.957
3:180500001-181000000	3	180500001	181000000	0.941	0.924	0.932
3:181000001-181500000	3	181000001	181500000	1.04	0.874	0.967
3:181500001-182000000	3	181500001	182000000	0.965	0.951	1.008
3:182000001-182500000	3	182000001	182500000	1.036	0.892	0.934
3:182500001-183000000	3	182500001	183000000	0.863	0.96	0.884
3:183000001-183500000	3	183000001	183500000	0.905	0.935	1.021
3:183500001-184000000	3	183500001	184000000	0.963	1.095	0.936
3:184000001-184500000	3	184000001	184500000	0.996	0.936	0.988
3:184500001-185000000	3	184500001	185000000	0.974	0.808	1.018
3:185000001-185500000	3	185000001	185500000	0.972	0.987	1.091
3:185500001-186000000	3	185500001	186000000	0.931	1.036	1.023
3:186000001-186500000	3	186000001	186500000	0.954	0.977	0.929
3:186500001-187000000	3	186500001	187000000	0.978	1.178	0.951
3:187000001-187500000	3	187000001	187500000	1.002	0.965	1.093
3:187500001-188000000	3	187500001	188000000	1.041	1.039	0.9
3:188000001-188500000	3	188000001	188500000	1.004	1.055	1.01
3:188500001-189000000	3	188500001	189000000	1.001	0.933	1.026
3:189000001-189500000	3	189000001	189500000	1.098	1.078	0.987
3:189500001-190000000	3	189500001	190000000	1.025	0.993	1.01
3:190000001-190500000	3	190000001	190500000	0.917	0.979	0.895
3:190500001-191000000	3	190500001	191000000	1.006	1.205	1.001
3:191000001-191500000	3	191000001	191500000	0.935	1.033	1.029
3:191500001-192000000	3	191500001	192000000	1.053	0.957	0.96
3:192000001-192500000	3	192000001	192500000	1.139	0.985	1.019
3:193000001-193500000	3	193000001	193500000	0.98	0.965	0.843
3:193500001-194000000	3	193500001	194000000	1.006	0.981	0.978
3:194000001-194500000	3	194000001	194500000	0.92	0.914	0.894
3:194500001-195000000	3	194500001	195000000	1.024	1.092	0.948
3:195000001-195500000	3	195000001	195500000	0.97	0.962	0.879
3:196000001-196500000	3	196000001	196500000	0.986	1.042	1.06
3:196500001-197000000	3	196500001	197000000	0.931	0.825	1.081
3:197000001-197500000	3	197000001	197500000	0.942	0.936	1.01
3:197500001-198000000	3	197500001	198000000	0.95	1.043	1.068
4:500001-1000000	4	500001	1000000	1.034	1.041	0.922
4:1000001-1500000	4	1000001	1500000	0.998	0.835	0.961
4:1500001-2000000	4	1500001	2000000	0.952	0.958	0.994
4:2000001-2500000	4	2000001	2500000	1.051	0.985	0.993
4:2500001-3000000	4	2500001	3000000	0.936	0.944	0.952
4:3000001-3500000	4	3000001	3500000	0.988	0.866	1.004
4:4500001-5000000	4	4500001	5000000	1.024	0.929	1.029
4:5500001-6000000	4	5500001	6000000	1.087	1.1	1.096
4:6000001-6500000	4	6000001	6500000	0.991	0.951	0.968
4:6500001-7000000	4	6500001	7000000	0.929	0.897	0.894
4:7000001-7500000	4	7000001	7500000	1.014	1.123	0.963
4:7500001-8000000	4	7500001	8000000	1.092	1.036	0.969
4:8000001-8500000	4	8000001	8500000	0.967	1.02	1.057
4:8500001-9000000	4	8500001	9000000	1.201	1.159	1.18
4:10000001-10500000	4	10000001	10500000	0.919	0.931	0.974
4:10500001-11000000	4	10500001	11000000	0.896	1.078	0.981
4:11000001-11500000	4	11000001	11500000	1.054	1.111	1.034
4:11500001-12000000	4	11500001	12000000	1.072	0.949	0.982
4:12000001-12500000	4	12000001	12500000	1.017	1.081	0.929
4:13000001-13500000	4	13000001	13500000	1.036	1.014	1.057
4:13500001-14000000	4	13500001	14000000	0.918	1.043	0.989
4:14000001-14500000	4	14000001	14500000	1.118	1.069	1.007
4:15000001-15500000	4	15000001	15500000	0.966	1.049	0.976
4:15500001-16000000	4	15500001	16000000	0.974	0.935	0.909
4:16000001-16500000	4	16000001	16500000	1.022	1.024	1.044
4:16500001-17000000	4	16500001	17000000	0.976	1.169	0.968
4:17500001-18000000	4	17500001	18000000	0.974	0.989	0.869
4:18000001-18500000	4	18000001	18500000	0.967	1.072	0.966
4:19000001-19500000	4	19000001	19500000	1.035	0.969	0.977
4:19500001-20000000	4	19500001	20000000	0.963	0.905	0.932
4:20000001-20500000	4	20000001	20500000	1.01	1.019	0.891
4:20500001-21000000	4	20500001	21000000	0.984	0.918	1.029
4:21000001-21500000	4	21000001	21500000	0.997	1.007	1.075
4:21500001-22000000	4	21500001	22000000	0.96	0.867	0.994
4:22000001-22500000	4	22000001	22500000	1.05	1.026	1.067
4:23000001-23500000	4	23000001	23500000	0.987	0.997	1.043
4:23500001-24000000	4	23500001	24000000	0.998	1.189	0.943
4:24000001-24500000	4	24000001	24500000	0.952	0.916	0.996
4:24500001-25000000	4	24500001	25000000	1.007	0.878	0.984
4:25000001-25500000	4	25000001	25500000	0.914	1.042	0.883
4:26000001-26500000	4	26000001	26500000	0.906	0.963	1.022
4:26500001-27000000	4	26500001	27000000	1.024	1.047	1.015
4:27000001-27500000	4	27000001	27500000	0.969	1.074	1.005
4:28000001-28500000	4	28000001	28500000	1.028	0.975	1.038
4:28500001-29000000	4	28500001	29000000	1.007	1.04	1.044
4:29000001-29500000	4	29000001	29500000	1.033	0.824	0.977
4:29500001-30000000	4	29500001	30000000	1.046	1.137	1.123
4:30000001-30500000	4	30000001	30500000	1.049	1.013	1.06
4:31000001-31500000	4	31000001	31500000	1.03	0.847	0.901
4:31500001-32000000	4	31500001	32000000	0.939	0.931	0.944
4:32500001-33000000	4	32500001	33000000	1.068	0.834	0.902
4:33000001-33500000	4	33000001	33500000	0.968	1.021	1.055
4:33500001-34000000	4	33500001	34000000	0.985	0.898	1.049
4:34000001-34500000	4	34000001	34500000	1.042	1.028	1.047
4:34500001-35000000	4	34500001	35000000	1.061	0.946	1.016
