feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
1:48500001-49000000	1	48500001	49000000	1.142	1.183	1.197
1:49000001-49500000	1	49000001	49500000	1.225	1.308	1.224
1:49500001-50000000	1	49500001	50000000	1.24	1.227	1.165
1:50500001-51000000	1	50500001	51000000	1.095	1.048	1.082
1:51000001-51500000	1	51000001	51500000	1.003	1.192	1.238
1:51500001-52000000	1	51500001	52000000	1.127	1.18	1.157
1:52000001-52500000	1	52000001	52500000	1.275	1.303	0.993
1:53000001-53500000	1	53000001	53500000	1.157	1.024	1.072
1:53500001-54000000	1	53500001	54000000	1.215	1.092	1.187
1:54000001-54500000	1	54000001	54500000	1.246	1.312	1.046
1:54500001-55000000	1	54500001	55000000	1.191	1.161	1.293
1:55500001-56000000	1	55500001	56000000	1.092	1.047	1.25
1:56000001-56500000	1	56000001	56500000	1.173	1.245	1.112
1:56500001-57000000	1	56500001	57000000	1.185	1.127	1.119
1:57000001-57500000	1	57000001	57500000	1.141	1.034	1.201
1:57500001-58000000	1	57500001	58000000	1.143	1.073	1.083
1:58000001-58500000	1	58000001	58500000	1.279	1.145	1.212
1:58500001-59000000	1	58500001	59000000	1.078	1.064	1.045
1:59000001-59500000	1	59000001	59500000	1.147	1.15	1.146
1:59500001-60000000	1	59500001	60000000	1.189	1.348	1.221
1:60000001-60500000	1	60000001	60500000	1.232	1.086	1.257
1:60500001-61000000	1	60500001	61000000	1.204	1.243	1.133
1:61000001-61500000	1	61000001	61500000	0.976	1.003	0.967
1:61500001-62000000	1	61500001	62000000	1.089	1.055	1.024
1:62000001-62500000	1	62000001	62500000	1.3	1.256	1.147
1:62500001-63000000	1	62500001	63000000	1.118	1.006	1.189
1:63000001-63500000	1	63000001	63500000	1.171	1.133	1.124
1:63500001-64000000	1	63500001	64000000	1.099	0.946	1.087
1:64000001-64500000	1	64000001	64500000	1.103	1.051	1.193
1:64500001-65000000	1	64500001	65000000	1.142	1.122	1.168
1:65000001-65500000	1	65000001	65500000	1.1	1.006	1.037
1:65500001-66000000	1	65500001	66000000	1.164	1.169	1.172
1:66500001-67000000	1	66500001	67000000	1.214	1.42	1.212
1:67000001-67500000	1	67000001	67500000	1.19	1.083	1.153
1:68000001-68500000	1	68000001	68500000	1.158	1.249	1.286
1:68500001-69000000	1	68500001	69000000	1.166	1.145	1.299
1:69000001-69500000	1	69000001	69500000	1.236	1.114	1.213
1:69500001-70000000	1	69500001	70000000	1.154	1.193	1.231
1:70000001-70500000	1	70000001	70500000	1.186	1.126	1.138
1:70500001-71000000	1	70500001	71000000	1.176	1.249	1.126
1:71000001-71500000	1	71000001	71500000	1.144	0.974	1.193
1:71500001-72000000	1	71500001	72000000	1.332	1.101	1.225
1:72000001-72500000	1	72000001	72500000	1.299	1.124	1.162
1:72500001-73000000	1	72500001	73000000	1.263	1.22	1.227
1:73500001-74000000	1	73500001	74000000	1.194	1.261	1.137
1:74000001-74500000	1	74000001	74500000	1.155	1.075	1.17
1:74500001-75000000	1	74500001	75000000	1.191	1.008	1.198
1:75000001-75500000	1	75000001	75500000	1.26	1.21	1.123
1:75500001-76000000	1	75500001	76000000	1.157	1.047	1.05
1:76000001-76500000	1	76000001	76500000	1.192	1.167	1.212
1:77000001-77500000	1	77000001	77500000	1.204	1.069	1.204
1:77500001-78000000	1	77500001	78000000	1.018	1.025	0.974
1:78000001-78500000	1	78000001	78500000	1.124	1.126	1.155
1:78500001-79000000	1	78500001	79000000	1.185	1.268	1.292
1:79000001-79500000	1	79000001	79500000	1.079	1.089	1.071
1:79500001-80000000	1	79500001	80000000	1.156	1.144	1.208
1:80000001-80500000	1	80000001	80500000	1.195	1.153	1.042
1:80500001-81000000	1	80500001	81000000	1.14	1.285	1.067
1:81000001-81500000	1	81000001	81500000	1.131	1.174	1.07
1:81500001-82000000	1	81500001	82000000	1.091	1.063	1.011
1:82000001-82500000	1	82000001	82500000	1.164	1.115	1.084
1:82500001-83000000	1	82500001	83000000	1.207	1.165	1.203
1:83500001-84000000	1	83500001	84000000	1.128	1.006	1.15
1:84000001-84500000	1	84000001	84500000	1.081	1.235	1.025
1:84500001-85000000	1	84500001	85000000	1.028	1.163	1.026
1:85000001-85500000	1	85000001	85500000	1.168	1.114	1.12
1:85500001-86000000	1	85500001	86000000	1.124	1.134	1.243
1:86000001-86500000	1	86000001	86500000	1.098	1.269	1.136
1:86500001-87000000	1	86500001	87000000	1.168	1.276	1.25
1:87000001-87500000	1	87000001	87500000	1.248	1.185	1.002
1:87500001-88000000	1	87500001	88000000	1.179	1.086	1.025
1:88000001-88500000	1	88000001	88500000	1.204	1.17	1.191
1:88500001-89000000	1	88500001	89000000	1.129	1.127	1.08
1:89000001-89500000	1	89000001	89500000	1.115	1.106	1.164
1:89500001-90000000	1	89500001	90000000	1.094	1.101	1.053
1:90000001-90500000	1	90000001	90500000	1.217	1.122	1.093
1:90500001-91000000	1	90500001	91000000	1.135	1.13	1.122
1:91000001-91500000	1	91000001	91500000	1.232	1.162	1.248
1:91500001-92000000	1	91500001	92000000	1.08	1.184	1.099
1:92000001-92500000	1	92000001	92500000	1.17	1.24	1.13
1:92500001-93000000	1	92500001	93000000	1.198	1.203	1.205
1:93000001-93500000	1	93000001	93500000	1.028	1	1.022
1:94000001-94500000	1	94000001	94500000	1.193	1.158	1.238
1:94500001-95000000	1	94500001	95000000	1.109	1.24	1.046
1:95000001-95500000	1	95000001	95500000	1.123	1.107	1.081
1:95500001-96000000	1	95500001	96000000	1.177	1.095	1.137
1:96000001-96500000	1	96000001	96500000	1.235	1.181	1.186
1:96500001-97000000	1	96500001	97000000	1.198	1.21	1.105
1:97000001-97500000	1	97000001	97500000	1.231	1.264	1.117
1:97500001-98000000	1	97500001	98000000	1.226	1.126	1.255
1:98000001-98500000	1	98000001	98500000	1.195	1.138	1.107
1:98500001-99000000	1	98500001	99000000	1.1	1.175	1.248
1:99000001-99500000	1	99000001	99500000	1.238	1.127	1.203
1:99500001-100000000	1	99500001	100000000	1.137	1.208	1.096
1:100000001-100500000	1	100000001	100500000	1.104	1.228	1.016
1:100500001-101000000	1	100500001	101000000	1.188	1.009	1.14
1:101000001-101500000	1	101000001	101500000	1.155	1.076	1.054
1:101500001-102000000	1	101500001	102000000	1.186	1.191	1.225
1:102500001-103000000	1	102500001	103000000	1.241	1.119	1.021
1:103000001-103500000	1	103000001	103500000	1.277	1.136	1.211
1:104000001-104500000	1	104000001	104500000	1.104	1.094	1.187
1:104500001-105000000	1	104500001	105000000	1.186	0.978	1.077
1:105000001-105500000	1	105000001	105500000	1.041	1.035	1.095
1:105500001-106000000	1	105500001	106000000	1.205	1.09	1.025
1:106000001-106500000	1	106000001	106500000	1.184	1.19	1.18
1:107000001-107500000	1	107000001	107500000	1.17	1.133	1.168
1:107500001-108000000	1	107500001	108000000	1.064	1.192	1.116
1:108500001-109000000	1	108500001	109000000	1.105	1.144	1.146
1:109000001-109500000	1	109000001	109500000	1.083	1.038	0.986
1:109500001-110000000	1	109500001	110000000	1.127	1.052	1.139
1:110000001-110500000	1	110000001	110500000	1.05	1.197	1.108
1:110500001-111000000	1	110500001	111000000	1.091	1.24	1.105
1:111000001-111500000	1	111000001	111500000	1.157	1.206	1.138
1:111500001-112000000	1	111500001	112000000	1.145	1.182	1.022
1:112000001-112500000	1	112000001	112500000	1.127	1.138	1.242
1:112500001-113000000	1	112500001	113000000	1.051	1.233	1.065
1:113000001-113500000	1	113000001	113500000	0.988	1.123	1.316
1:113500001-114000000	1	113500001	114000000	1.09	1.196	1.056
1:114000001-114500000	1	114000001	114500000	1.209	1.075	1.184
1:114500001-115000000	1	114500001	115000000	1.11	1.094	1.092
1:115000001-115500000	1	115000001	115500000	1.159	1.163	1.171
1:115500001-116000000	1	115500001	116000000	1.131	1.222	1.144
1:116000001-116500000	1	116000001	116500000	1.089	1.085	1.225
1:116500001-117000000	1	116500001	117000000	1.201	1.309	1.242
