feature	chromosome	start	end	SLX-17922.D708tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D709tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D709tp_D507tp.HC22VBBXY.s_3.r_1
3:22500001-23000000	3	22500001	23000000	0.944	0.903	1.024	0.992
3:23000001-23500000	3	23000001	23500000	1.015	1.029	1.202	0.922
3:23500001-24000000	3	23500001	24000000	0.979	0.973	1.02	1.016
3:24000001-24500000	3	24000001	24500000	0.958	1.006	0.976	1.061
3:25500001-26000000	3	25500001	26000000	1.008	1.002	0.95	0.998
3:26000001-26500000	3	26000001	26500000	0.956	1.041	0.961	0.965
3:26500001-27000000	3	26500001	27000000	1.047	0.997	1.012	0.881
3:27000001-27500000	3	27000001	27500000	0.901	0.919	1.174	1.037
3:27500001-28000000	3	27500001	28000000	0.917	0.945	0.93	0.959
3:28000001-28500000	3	28000001	28500000	0.885	1.045	1.059	0.873
3:28500001-29000000	3	28500001	29000000	0.99	1.054	0.973	0.917
3:29000001-29500000	3	29000001	29500000	0.952	1.019	0.872	0.983
3:30000001-30500000	3	30000001	30500000	1.027	1.05	1.069	1.026
3:30500001-31000000	3	30500001	31000000	0.949	0.979	1.004	0.975
3:31000001-31500000	3	31000001	31500000	0.975	1.022	0.968	1.043
3:31500001-32000000	3	31500001	32000000	0.965	1.057	1	0.991
3:32000001-32500000	3	32000001	32500000	0.94	0.985	1.028	0.988
3:32500001-33000000	3	32500001	33000000	0.987	0.93	1.045	1.105
3:33000001-33500000	3	33000001	33500000	0.908	1.073	0.954	1.131
3:34000001-34500000	3	34000001	34500000	1.097	1.032	1.103	1.149
3:34500001-35000000	3	34500001	35000000	0.973	0.976	0.96	0.965
3:35000001-35500000	3	35000001	35500000	0.98	0.959	1.061	0.911
3:35500001-36000000	3	35500001	36000000	0.921	1.071	1.03	0.887
3:36000001-36500000	3	36000001	36500000	0.979	1.021	0.97	1.054
3:36500001-37000000	3	36500001	37000000	0.909	0.988	0.961	1.015
3:37000001-37500000	3	37000001	37500000	0.891	0.864	0.829	0.865
3:37500001-38000000	3	37500001	38000000	0.987	0.979	0.921	1.023
3:38000001-38500000	3	38000001	38500000	1.008	1.007	0.942	1.035
3:38500001-39000000	3	38500001	39000000	0.949	1.079	0.998	1.002
3:39000001-39500000	3	39000001	39500000	0.938	0.965	1.034	1.035
3:39500001-40000000	3	39500001	40000000	1.017	0.991	1.124	1.052
3:40500001-41000000	3	40500001	41000000	0.981	1.018	1.031	1.127
3:41000001-41500000	3	41000001	41500000	1.04	0.951	1.03	1.021
3:42000001-42500000	3	42000001	42500000	1.043	0.983	1.082	0.926
3:42500001-43000000	3	42500001	43000000	0.914	0.967	0.995	1.082
3:43500001-44000000	3	43500001	44000000	1.045	1.07	1.12	1.115
3:44000001-44500000	3	44000001	44500000	0.942	1.039	0.949	0.947
3:44500001-45000000	3	44500001	45000000	1.015	1.038	0.998	0.973
3:45000001-45500000	3	45000001	45500000	1.016	1.028	1.034	1.039
3:45500001-46000000	3	45500001	46000000	0.904	0.976	0.846	0.87
3:46000001-46500000	3	46000001	46500000	0.884	0.932	1.038	1.013
3:46500001-47000000	3	46500001	47000000	0.991	1.057	1.051	1.003
3:47000001-47500000	3	47000001	47500000	0.949	0.945	1.023	1.048
3:47500001-48000000	3	47500001	48000000	1.018	0.974	1.072	0.848
3:48000001-48500000	3	48000001	48500000	0.941	0.991	1.024	1.022
3:48500001-49000000	3	48500001	49000000	0.983	1.095	0.972	1.013
3:49500001-50000000	3	49500001	50000000	1.012	1.011	0.955	0.927
3:50000001-50500000	3	50000001	50500000	0.942	1.059	1.005	1.048
3:50500001-51000000	3	50500001	51000000	0.993	1.036	1.074	1.039
3:51000001-51500000	3	51000001	51500000	1.004	1.003	0.917	1.12
3:51500001-52000000	3	51500001	52000000	0.949	1.049	0.972	0.949
3:52000001-52500000	3	52000001	52500000	0.963	0.957	0.924	0.937
3:52500001-53000000	3	52500001	53000000	0.926	0.984	1.034	0.871
3:53000001-53500000	3	53000001	53500000	1.003	0.981	1.075	1.049
3:53500001-54000000	3	53500001	54000000	0.912	0.961	1.062	0.954
3:54000001-54500000	3	54000001	54500000	1.045	1.045	1.099	0.978
3:54500001-55000000	3	54500001	55000000	0.98	1.077	0.966	0.963
3:55000001-55500000	3	55000001	55500000	0.979	1.025	1.033	0.93
3:55500001-56000000	3	55500001	56000000	0.994	1.028	1.006	0.928
3:56000001-56500000	3	56000001	56500000	1.041	0.903	0.913	0.921
3:56500001-57000000	3	56500001	57000000	0.971	0.945	0.915	0.985
3:57000001-57500000	3	57000001	57500000	0.901	1.075	1.078	1.08
3:57500001-58000000	3	57500001	58000000	1.074	0.935	0.985	0.983
3:58000001-58500000	3	58000001	58500000	0.983	0.983	1.065	1.027
3:58500001-59000000	3	58500001	59000000	1.062	1.128	1.046	1.145
3:59000001-59500000	3	59000001	59500000	0.992	1.096	1.059	1.152
3:59500001-60000000	3	59500001	60000000	0.981	1.055	1.006	1.031
3:60000001-60500000	3	60000001	60500000	0.987	0.934	0.965	1.071
3:60500001-61000000	3	60500001	61000000	1.032	1.032	1.022	1.083
3:61000001-61500000	3	61000001	61500000	0.973	1.003	0.991	1.079
3:61500001-62000000	3	61500001	62000000	1.02	0.911	0.972	1.016
3:62000001-62500000	3	62000001	62500000	0.983	1	1.049	0.94
3:62500001-63000000	3	62500001	63000000	1.036	0.897	1.029	1.014
3:63000001-63500000	3	63000001	63500000	0.99	1.027	1.132	1.025
3:63500001-64000000	3	63500001	64000000	0.988	1.106	1.013	1.056
3:64000001-64500000	3	64000001	64500000	0.928	0.98	0.976	0.93
3:64500001-65000000	3	64500001	65000000	0.954	0.915	0.982	0.95
3:65000001-65500000	3	65000001	65500000	1.013	1.051	1.044	0.977
3:65500001-66000000	3	65500001	66000000	1.004	0.988	1.002	1.028
3:66000001-66500000	3	66000001	66500000	0.987	1.001	0.967	1.008
3:66500001-67000000	3	66500001	67000000	0.889	0.976	1.036	1.105
3:67000001-67500000	3	67000001	67500000	1.041	0.995	1.082	1.001
3:67500001-68000000	3	67500001	68000000	1.003	0.962	0.991	0.99
3:68000001-68500000	3	68000001	68500000	1.028	0.953	0.969	1.083
3:69000001-69500000	3	69000001	69500000	0.905	0.906	1.042	0.953
3:69500001-70000000	3	69500001	70000000	1.034	1.04	0.926	1.03
3:70000001-70500000	3	70000001	70500000	1.047	1.059	1.182	1.169
3:70500001-71000000	3	70500001	71000000	1.033	1.035	1.044	1.082
3:71000001-71500000	3	71000001	71500000	0.938	0.929	0.936	0.946
3:71500001-72000000	3	71500001	72000000	0.973	0.886	0.932	1.046
3:72000001-72500000	3	72000001	72500000	0.916	0.895	0.975	0.95
3:72500001-73000000	3	72500001	73000000	0.969	0.899	1.076	0.94
3:73500001-74000000	3	73500001	74000000	1.003	1.072	0.983	0.926
3:74000001-74500000	3	74000001	74500000	0.981	0.972	0.969	0.952
3:74500001-75000000	3	74500001	75000000	1.017	1.039	1.107	0.918
3:76000001-76500000	3	76000001	76500000	0.965	0.956	0.938	1.03
3:76500001-77000000	3	76500001	77000000	0.917	1.04	0.939	0.945
3:77000001-77500000	3	77000001	77500000	1.047	0.991	1	0.973
3:77500001-78000000	3	77500001	78000000	0.973	1.016	1.03	0.952
3:78000001-78500000	3	78000001	78500000	0.881	0.92	1.009	1.013
3:78500001-79000000	3	78500001	79000000	0.973	1.065	0.992	1.042
3:79000001-79500000	3	79000001	79500000	0.998	0.965	0.939	0.974
3:79500001-80000000	3	79500001	80000000	0.894	0.978	1.068	0.953
3:80000001-80500000	3	80000001	80500000	0.919	0.929	0.972	0.874
3:80500001-81000000	3	80500001	81000000	0.895	0.996	0.945	0.886
3:81000001-81500000	3	81000001	81500000	1.113	1.032	0.96	1.012
3:81500001-82000000	3	81500001	82000000	0.967	1.003	1.035	0.981
3:82000001-82500000	3	82000001	82500000	1.032	1.04	0.973	0.983
3:83000001-83500000	3	83000001	83500000	0.944	0.951	0.97	0.925
3:83500001-84000000	3	83500001	84000000	0.941	0.96	1.015	0.886
3:84000001-84500000	3	84000001	84500000	0.954	0.937	1.017	1.09
3:84500001-85000000	3	84500001	85000000	1.064	1.016	0.995	0.943
3:85000001-85500000	3	85000001	85500000	0.932	0.883	0.955	0.986
3:85500001-86000000	3	85500001	86000000	1.074	1.126	0.989	0.974
3:86000001-86500000	3	86000001	86500000	0.972	1.025	0.876	0.958
3:86500001-87000000	3	86500001	87000000	0.874	0.947	0.943	1.097
3:87000001-87500000	3	87000001	87500000	0.978	1.069	0.939	1.151
3:87500001-88000000	3	87500001	88000000	0.946	1.108	0.988	1.048
3:88000001-88500000	3	88000001	88500000	0.94	1.031	0.928	0.987
3:88500001-89000000	3	88500001	89000000	0.974	0.963	0.9	1.223
3:89000001-89500000	3	89000001	89500000	0.953	1.048	1.014	1.064
3:94000001-94500000	3	94000001	94500000	1.028	0.984	1.009	1.107
3:94500001-95000000	3	94500001	95000000	0.983	1.028	0.877	0.968
3:95000001-95500000	3	95000001	95500000	0.933	0.983	0.979	0.902
3:95500001-96000000	3	95500001	96000000	0.889	0.886	1.023	0.866
3:97000001-97500000	3	97000001	97500000	0.967	0.953	0.949	0.965
3:97500001-98000000	3	97500001	98000000	0.921	1.133	1.092	1.109
3:98000001-98500000	3	98000001	98500000	0.921	1.016	1.078	1.036
3:98500001-99000000	3	98500001	99000000	0.914	0.913	1.071	0.935
3:99000001-99500000	3	99000001	99500000	0.885	0.995	0.971	0.898
3:99500001-100000000	3	99500001	100000000	1.026	0.99	1.048	0.959
3:100000001-100500000	3	100000001	100500000	0.945	0.957	1.051	0.965
3:100500001-101000000	3	100500001	101000000	1.13	1.11	1.017	1.177
3:101000001-101500000	3	101000001	101500000	1.038	1.151	1.05	1.095
3:101500001-102000000	3	101500001	102000000	0.876	0.992	0.957	0.934
3:102000001-102500000	3	102000001	102500000	1	1.03	1.027	1.028
3:102500001-103000000	3	102500001	103000000	1.011	1.036	1.017	1.05
3:103000001-103500000	3	103000001	103500000	0.915	0.977	0.977	0.96
3:103500001-104000000	3	103500001	104000000	0.999	1.007	0.986	1.047
3:104000001-104500000	3	104000001	104500000	1.039	0.968	0.958	0.899
3:104500001-105000000	3	104500001	105000000	1.014	0.996	1.08	0.899
3:105000001-105500000	3	105000001	105500000	0.927	1.014	0.969	1.004
3:105500001-106000000	3	105500001	106000000	0.914	1.093	1.067	0.944
3:106000001-106500000	3	106000001	106500000	1	1.052	0.944	1.011
3:107000001-107500000	3	107000001	107500000	0.997	1.041	1.002	1.066
3:107500001-108000000	3	107500001	108000000	0.976	0.948	1.017	1.156
3:108000001-108500000	3	108000001	108500000	1.058	0.975	0.973	0.986
3:108500001-109000000	3	108500001	109000000	0.969	0.962	1.07	1.087
3:109000001-109500000	3	109000001	109500000	1.001	1.06	0.961	0.998
3:109500001-110000000	3	109500001	110000000	0.955	1.019	1.004	1.085
3:110000001-110500000	3	110000001	110500000	1.026	1.008	0.942	0.962
3:110500001-111000000	3	110500001	111000000	0.907	0.973	0.891	0.971
3:111000001-111500000	3	111000001	111500000	1.017	1.005	1.069	0.948
3:111500001-112000000	3	111500001	112000000	1.07	0.993	0.986	0.987
3:112000001-112500000	3	112000001	112500000	0.962	0.981	1.031	0.938
3:112500001-113000000	3	112500001	113000000	0.966	0.947	1.083	1.022
3:113000001-113500000	3	113000001	113500000	1.047	1.086	1.16	0.987
3:113500001-114000000	3	113500001	114000000	0.953	0.935	0.867	0.979
3:114000001-114500000	3	114000001	114500000	0.934	0.981	0.965	0.951
3:114500001-115000000	3	114500001	115000000	1.084	1.019	1.069	1.088
3:115000001-115500000	3	115000001	115500000	1.007	0.944	1.081	1.016
3:115500001-116000000	3	115500001	116000000	1.037	1.001	1.035	1.064
3:116000001-116500000	3	116000001	116500000	1.043	0.992	1.012	1.063
3:116500001-117000000	3	116500001	117000000	0.956	0.92	0.982	0.969
3:117000001-117500000	3	117000001	117500000	1.053	1.048	0.976	0.953
3:117500001-118000000	3	117500001	118000000	1.027	0.997	0.921	0.928
3:118000001-118500000	3	118000001	118500000	1.079	0.909	1.107	0.955
3:118500001-119000000	3	118500001	119000000	0.971	1.012	0.915	0.869
3:119000001-119500000	3	119000001	119500000	0.955	0.925	0.977	1.092
3:120000001-120500000	3	120000001	120500000	0.945	0.947	1.001	0.95
3:121000001-121500000	3	121000001	121500000	0.982	1.07	0.99	1.066
3:121500001-122000000	3	121500001	122000000	0.966	0.996	0.978	1.035
3:122000001-122500000	3	122000001	122500000	0.965	0.981	0.978	0.97
3:123000001-123500000	3	123000001	123500000	0.998	1.008	0.937	0.891
3:123500001-124000000	3	123500001	124000000	0.992	0.905	0.922	0.953
3:124000001-124500000	3	124000001	124500000	0.96	0.991	1.026	0.958
3:124500001-125000000	3	124500001	125000000	0.925	1.032	0.969	0.963
3:125000001-125500000	3	125000001	125500000	1.013	0.949	1.038	0.992
3:126000001-126500000	3	126000001	126500000	0.949	0.896	1.009	0.995
3:126500001-127000000	3	126500001	127000000	0.958	1.06	1.022	1.009
3:127500001-128000000	3	127500001	128000000	0.839	0.847	0.958	0.956
3:128000001-128500000	3	128000001	128500000	0.955	0.949	0.956	0.888
3:129000001-129500000	3	129000001	129500000	1.049	0.997	0.96	0.892
3:129500001-130000000	3	129500001	130000000	0.997	0.963	0.919	1.076
3:130500001-131000000	3	130500001	131000000	0.956	1.02	1.002	1.103
3:131000001-131500000	3	131000001	131500000	0.995	0.984	1.076	1.067
3:131500001-132000000	3	131500001	132000000	1.04	1.061	1.037	1.135
3:132000001-132500000	3	132000001	132500000	0.886	0.962	0.998	1.022
3:132500001-133000000	3	132500001	133000000	0.977	0.98	1.023	1.064
3:133000001-133500000	3	133000001	133500000	1.057	1.049	0.98	1.001
3:133500001-134000000	3	133500001	134000000	0.971	1.023	1.122	0.987
3:134000001-134500000	3	134000001	134500000	0.961	0.994	1.09	1.214
3:134500001-135000000	3	134500001	135000000	0.939	1.009	0.982	0.96
3:135000001-135500000	3	135000001	135500000	1.062	1.144	1.244	1.143
3:135500001-136000000	3	135500001	136000000	1.013	1.073	0.934	0.966
3:136000001-136500000	3	136000001	136500000	0.965	0.964	0.906	1.037
3:136500001-137000000	3	136500001	137000000	0.922	0.891	0.899	1.014
3:137500001-138000000	3	137500001	138000000	1.122	1.044	1.006	0.992
3:138000001-138500000	3	138000001	138500000	0.974	1.069	0.968	0.975
3:138500001-139000000	3	138500001	139000000	0.996	0.971	0.958	1.026
3:139000001-139500000	3	139000001	139500000	1.052	1.018	1.002	1.102
3:139500001-140000000	3	139500001	140000000	1.107	1.06	1.001	1.024
3:140000001-140500000	3	140000001	140500000	0.992	1.041	0.976	0.986
3:140500001-141000000	3	140500001	141000000	1.048	1.045	1.118	1.148
3:141000001-141500000	3	141000001	141500000	0.917	1.045	0.894	1.026
3:141500001-142000000	3	141500001	142000000	0.9	1.006	1.004	1.003
3:142000001-142500000	3	142000001	142500000	1.019	0.989	0.929	1.011
3:143000001-143500000	3	143000001	143500000	1.002	0.947	0.938	1.01
3:143500001-144000000	3	143500001	144000000	0.965	0.922	0.984	1.012
3:144000001-144500000	3	144000001	144500000	1.046	1.015	1.06	1.106
3:144500001-145000000	3	144500001	145000000	1.061	1.087	1.019	1.013
3:145000001-145500000	3	145000001	145500000	0.947	1.008	0.944	0.914
3:145500001-146000000	3	145500001	146000000	1.042	1.018	1.06	1.031
3:146000001-146500000	3	146000001	146500000	0.908	1.007	1.032	1.053
3:146500001-147000000	3	146500001	147000000	1.033	0.931	1.002	1.001
3:147000001-147500000	3	147000001	147500000	0.902	1.026	1.047	0.875
3:147500001-148000000	3	147500001	148000000	1.022	1.01	1.02	0.907
3:148000001-148500000	3	148000001	148500000	0.938	0.977	0.939	1.159
3:148500001-149000000	3	148500001	149000000	0.982	1.078	1.093	1.017
3:149000001-149500000	3	149000001	149500000	0.925	1.025	0.906	1.01
3:149500001-150000000	3	149500001	150000000	0.967	0.969	1	0.963
3:150000001-150500000	3	150000001	150500000	1.01	0.972	0.877	0.986
3:150500001-151000000	3	150500001	151000000	1.029	0.966	0.934	1.004
3:151000001-151500000	3	151000001	151500000	1.034	1.044	1.045	1.156
3:151500001-152000000	3	151500001	152000000	1.127	1.038	0.978	1.068
3:152000001-152500000	3	152000001	152500000	1.011	1.009	1.03	1.077
3:153000001-153500000	3	153000001	153500000	0.948	0.969	1.007	1.093
3:154000001-154500000	3	154000001	154500000	0.999	1.025	0.907	1.128
3:154500001-155000000	3	154500001	155000000	1.025	1.118	0.971	0.974
3:155000001-155500000	3	155000001	155500000	1.034	0.985	0.99	1.027
3:155500001-156000000	3	155500001	156000000	0.964	0.987	1.075	1.046
3:156000001-156500000	3	156000001	156500000	0.974	1.081	0.986	0.977
3:156500001-157000000	3	156500001	157000000	0.994	0.987	1.083	1.022
3:157000001-157500000	3	157000001	157500000	0.934	0.964	0.968	1.035
3:157500001-158000000	3	157500001	158000000	0.982	1.11	1.032	1.135
3:158000001-158500000	3	158000001	158500000	1.187	1.134	0.913	1.005
3:158500001-159000000	3	158500001	159000000	1.02	0.896	0.981	1.099
3:159000001-159500000	3	159000001	159500000	1.039	1.008	1.064	1.101
3:159500001-160000000	3	159500001	160000000	1.065	0.997	1.106	1.106
3:160000001-160500000	3	160000001	160500000	1.025	1.028	0.964	1.046
3:161000001-161500000	3	161000001	161500000	1.017	1.065	1.002	1.042
3:161500001-162000000	3	161500001	162000000	0.958	1.126	1.074	0.942
3:162000001-162500000	3	162000001	162500000	0.962	0.94	0.937	0.936
3:163000001-163500000	3	163000001	163500000	1	0.853	1.022	0.92
3:163500001-164000000	3	163500001	164000000	0.928	0.892	1.045	0.922
3:164000001-164500000	3	164000001	164500000	1.046	1.07	1.018	0.803
3:164500001-165000000	3	164500001	165000000	1.007	0.985	1.035	0.879
3:165000001-165500000	3	165000001	165500000	0.929	0.978	1.008	0.943
3:165500001-166000000	3	165500001	166000000	0.959	0.966	1.061	0.909
3:166500001-167000000	3	166500001	167000000	0.932	1.011	1.009	0.925
3:167000001-167500000	3	167000001	167500000	1.088	0.969	1.004	1.098
3:167500001-168000000	3	167500001	168000000	1.001	1.086	0.957	1.021
3:168000001-168500000	3	168000001	168500000	1.129	1.125	0.897	1.136
3:168500001-169000000	3	168500001	169000000	1.007	0.918	1.07	1.164
3:169000001-169500000	3	169000001	169500000	1.06	0.992	1.139	0.993
3:169500001-170000000	3	169500001	170000000	0.998	0.983	1.152	1.065
3:170000001-170500000	3	170000001	170500000	0.816	0.878	0.974	0.929
3:170500001-171000000	3	170500001	171000000	1.176	1.093	1.136	1.146
3:171000001-171500000	3	171000001	171500000	1.011	1.069	0.886	1.026
3:172000001-172500000	3	172000001	172500000	1.022	0.883	0.974	1.006
3:172500001-173000000	3	172500001	173000000	0.913	0.996	0.921	0.928
3:173000001-173500000	3	173000001	173500000	1.094	0.955	1.127	1.052
3:173500001-174000000	3	173500001	174000000	1.041	1.044	1.063	1.074
3:174000001-174500000	3	174000001	174500000	0.94	1.077	0.972	0.959
3:174500001-175000000	3	174500001	175000000	1.03	1.054	0.91	0.983
3:175000001-175500000	3	175000001	175500000	1.074	0.938	0.918	1.039
3:175500001-176000000	3	175500001	176000000	0.882	1.003	0.984	0.923
3:176000001-176500000	3	176000001	176500000	0.956	0.922	1.026	0.937
3:176500001-177000000	3	176500001	177000000	1.064	1.015	1.091	0.972
3:177500001-178000000	3	177500001	178000000	1.068	1.03	0.994	1.026
3:178000001-178500000	3	178000001	178500000	0.996	1.066	0.98	1.074
3:178500001-179000000	3	178500001	179000000	1.046	1.008	1.021	1.057
3:179000001-179500000	3	179000001	179500000	0.898	0.926	1.03	0.964
3:179500001-180000000	3	179500001	180000000	1.046	0.937	0.973	0.979
3:180000001-180500000	3	180000001	180500000	1.065	1.039	0.958	1.057
3:180500001-181000000	3	180500001	181000000	0.965	0.879	1.005	0.895
3:181000001-181500000	3	181000001	181500000	1.021	1.051	0.947	0.9
3:181500001-182000000	3	181500001	182000000	0.93	1.064	1.004	1.001
3:182000001-182500000	3	182000001	182500000	1.035	1.075	1.03	1.031
3:182500001-183000000	3	182500001	183000000	1.084	1.033	1.096	1.028
3:183000001-183500000	3	183000001	183500000	1.026	0.942	0.944	1.097
3:183500001-184000000	3	183500001	184000000	0.98	1.071	0.981	0.924
3:184000001-184500000	3	184000001	184500000	0.902	0.992	1.045	1.015
3:184500001-185000000	3	184500001	185000000	1.059	0.984	0.985	1.015
3:185000001-185500000	3	185000001	185500000	1.027	1.084	1.073	0.974
3:185500001-186000000	3	185500001	186000000	0.957	0.994	1.03	0.956
3:186000001-186500000	3	186000001	186500000	1.039	0.951	0.906	1.127
3:186500001-187000000	3	186500001	187000000	1.004	1	1.053	0.983
3:187000001-187500000	3	187000001	187500000	1.074	1.019	0.945	1.053
3:187500001-188000000	3	187500001	188000000	1.02	1.043	1.009	1.104
3:188000001-188500000	3	188000001	188500000	1.034	1.061	0.962	0.991
3:188500001-189000000	3	188500001	189000000	1.032	1.021	1.045	1.083
3:189000001-189500000	3	189000001	189500000	0.942	1.044	1.002	0.997
3:189500001-190000000	3	189500001	190000000	0.91	1.038	1.009	1.009
3:190000001-190500000	3	190000001	190500000	0.938	1.013	1.066	1.018
3:190500001-191000000	3	190500001	191000000	0.984	1.008	0.982	1.08
3:191000001-191500000	3	191000001	191500000	0.917	0.996	0.989	1.014
3:191500001-192000000	3	191500001	192000000	0.962	0.875	1.016	0.971
3:192000001-192500000	3	192000001	192500000	1.059	1.073	1.01	0.915
3:193000001-193500000	3	193000001	193500000	0.971	1.096	0.984	1.023
3:193500001-194000000	3	193500001	194000000	0.945	0.983	0.917	1.098
3:194000001-194500000	3	194000001	194500000	0.846	1.052	0.974	1.031
3:194500001-195000000	3	194500001	195000000	1.078	0.997	0.957	1.043
3:195000001-195500000	3	195000001	195500000	0.963	1.043	1.021	1.117
3:196000001-196500000	3	196000001	196500000	0.925	0.999	0.978	1.011
3:196500001-197000000	3	196500001	197000000	0.958	0.882	0.976	0.989
3:197000001-197500000	3	197000001	197500000	0.922	0.968	1.057	0.993
3:197500001-198000000	3	197500001	198000000	0.979	0.99	0.986	0.928
4:500001-1000000	4	500001	1000000	0.99	0.94	1.018	0.985
4:1000001-1500000	4	1000001	1500000	0.945	0.946	1.096	0.94
4:1500001-2000000	4	1500001	2000000	0.998	0.989	0.922	1.117
4:2000001-2500000	4	2000001	2500000	1.047	1.034	1.086	1.037
4:2500001-3000000	4	2500001	3000000	0.921	0.922	0.954	0.892
4:3000001-3500000	4	3000001	3500000	1	1.066	1.009	1.035
4:4500001-5000000	4	4500001	5000000	1.07	0.965	1.07	1.085
4:5500001-6000000	4	5500001	6000000	1.022	1.083	1.095	1.019
4:6000001-6500000	4	6000001	6500000	1.071	1.015	1.079	1.053
4:6500001-7000000	4	6500001	7000000	0.987	0.928	0.909	0.984
4:7000001-7500000	4	7000001	7500000	0.971	1.103	1.072	0.978
4:7500001-8000000	4	7500001	8000000	0.885	0.993	1.042	0.982
4:8000001-8500000	4	8000001	8500000	1.067	0.863	1.028	1.004
4:8500001-9000000	4	8500001	9000000	1.073	1.222	1.133	1.082
4:10000001-10500000	4	10000001	10500000	0.894	0.905	0.957	1.011
4:10500001-11000000	4	10500001	11000000	1.002	1.038	1.009	1.055
4:11000001-11500000	4	11000001	11500000	1.085	1.044	1.008	0.967
4:11500001-12000000	4	11500001	12000000	1.003	1.062	1.063	0.892
4:12000001-12500000	4	12000001	12500000	0.94	0.91	1.022	0.918
4:13000001-13500000	4	13000001	13500000	0.899	0.943	0.946	1.04
4:13500001-14000000	4	13500001	14000000	0.887	0.971	0.928	0.999
4:14000001-14500000	4	14000001	14500000	1.017	1.156	1.028	1.086
4:15000001-15500000	4	15000001	15500000	1.05	1.02	1.033	1.043
4:15500001-16000000	4	15500001	16000000	0.975	1.05	1.031	1.059
4:16000001-16500000	4	16000001	16500000	0.988	0.997	1.002	1.025
4:16500001-17000000	4	16500001	17000000	0.992	1.048	0.962	1.014
4:17500001-18000000	4	17500001	18000000	0.997	1.065	0.993	1.012
4:18000001-18500000	4	18000001	18500000	1.059	0.968	0.994	1.077
4:19000001-19500000	4	19000001	19500000	1.077	1.076	0.996	0.951
4:19500001-20000000	4	19500001	20000000	1.031	0.954	0.978	0.911
4:20000001-20500000	4	20000001	20500000	1.021	1.042	0.958	1.006
4:20500001-21000000	4	20500001	21000000	1.062	1.05	1.041	0.969
4:21000001-21500000	4	21000001	21500000	1.071	0.937	1.03	0.932
4:21500001-22000000	4	21500001	22000000	0.985	0.979	0.946	0.928
4:22000001-22500000	4	22000001	22500000	0.977	1.059	1.057	0.936
4:23000001-23500000	4	23000001	23500000	0.974	0.979	1.003	0.937
4:23500001-24000000	4	23500001	24000000	0.957	1.046	1.099	0.88
4:24000001-24500000	4	24000001	24500000	0.926	1.049	0.989	1.021
4:24500001-25000000	4	24500001	25000000	0.966	1.073	0.932	0.974
4:25000001-25500000	4	25000001	25500000	0.904	0.977	0.954	0.888
4:26000001-26500000	4	26000001	26500000	0.927	0.975	0.846	1.035
4:26500001-27000000	4	26500001	27000000	0.9	1	1.178	1.002
4:27000001-27500000	4	27000001	27500000	0.97	0.961	1.138	0.925
4:28000001-28500000	4	28000001	28500000	0.942	0.996	0.882	0.9
4:28500001-29000000	4	28500001	29000000	0.957	0.872	1.005	0.968
4:29000001-29500000	4	29000001	29500000	0.941	0.881	0.958	0.801
4:29500001-30000000	4	29500001	30000000	0.862	1.051	0.987	1.008
4:30000001-30500000	4	30000001	30500000	0.962	0.94	1.07	0.872
4:31000001-31500000	4	31000001	31500000	0.9	0.987	1.037	0.99
4:31500001-32000000	4	31500001	32000000	0.92	0.967	0.911	1.021
4:32500001-33000000	4	32500001	33000000	0.945	0.94	0.994	1.043
4:33000001-33500000	4	33000001	33500000	0.975	0.995	0.907	0.874
4:33500001-34000000	4	33500001	34000000	0.905	0.996	1.004	0.834
4:34000001-34500000	4	34000001	34500000	0.995	0.904	0.906	0.952
4:34500001-35000000	4	34500001	35000000	0.982	0.816	0.896	0.85
4:35000001-35500000	4	35000001	35500000	0.829	0.956	0.918	0.947
4:35500001-36000000	4	35500001	36000000	0.979	0.998	0.987	0.883
4:36000001-36500000	4	36000001	36500000	0.992	0.972	0.985	0.973
4:36500001-37000000	4	36500001	37000000	1.005	0.852	0.944	0.974
4:37000001-37500000	4	37000001	37500000	0.968	1.101	1.161	1.14
4:37500001-38000000	4	37500001	38000000	0.966	0.887	1.067	0.945
4:38000001-38500000	4	38000001	38500000	0.948	1.013	1.086	0.953
4:38500001-39000000	4	38500001	39000000	0.901	0.934	0.867	0.996
4:39000001-39500000	4	39000001	39500000	0.877	0.861	1.006	0.989
4:39500001-40000000	4	39500001	40000000	0.93	0.856	0.957	0.876
4:40000001-40500000	4	40000001	40500000	0.88	1.013	0.894	1.001
4:40500001-41000000	4	40500001	41000000	0.925	0.974	0.975	0.892
4:41500001-42000000	4	41500001	42000000	0.959	1.046	1.041	1.077
4:42000001-42500000	4	42000001	42500000	0.993	1	0.942	1.003
4:42500001-43000000	4	42500001	43000000	0.83	0.961	0.999	1.082
4:43000001-43500000	4	43000001	43500000	0.864	1.06	1.045	0.894
4:43500001-44000000	4	43500001	44000000	0.956	0.994	0.958	0.974
4:44000001-44500000	4	44000001	44500000	0.963	0.983	0.966	1.018
4:44500001-45000000	4	44500001	45000000	0.992	1.036	0.946	0.98
4:45000001-45500000	4	45000001	45500000	0.934	0.844	0.868	0.98
4:45500001-46000000	4	45500001	46000000	0.953	0.928	0.977	1.085
4:46000001-46500000	4	46000001	46500000	0.938	0.972	1.084	1.083
