feature	chromosome	start	end	SLX-17921.D706tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D706tp_D502tp.HC22VBBXY.s_3.r_1
1:56500001-57000000	1	56500001	57000000	0.886	0.958
1:57000001-57500000	1	57000001	57500000	1.043	1.062
1:57500001-58000000	1	57500001	58000000	0.972	1.062
1:58000001-58500000	1	58000001	58500000	1.127	1.177
1:58500001-59000000	1	58500001	59000000	0.983	0.936
1:59000001-59500000	1	59000001	59500000	1.044	0.946
1:59500001-60000000	1	59500001	60000000	1.078	1.106
1:60000001-60500000	1	60000001	60500000	1.199	1.107
1:60500001-61000000	1	60500001	61000000	1.196	1.068
1:61000001-61500000	1	61000001	61500000	0.828	1.008
1:61500001-62000000	1	61500001	62000000	0.921	1.016
1:62000001-62500000	1	62000001	62500000	0.916	1.039
1:62500001-63000000	1	62500001	63000000	1.045	1.032
1:63000001-63500000	1	63000001	63500000	0.98	1.042
1:63500001-64000000	1	63500001	64000000	1.071	0.965
1:64000001-64500000	1	64000001	64500000	1.018	1.103
1:64500001-65000000	1	64500001	65000000	0.933	1.046
1:65000001-65500000	1	65000001	65500000	1.036	0.946
1:65500001-66000000	1	65500001	66000000	1.002	1.019
1:66500001-67000000	1	66500001	67000000	0.979	1.02
1:67000001-67500000	1	67000001	67500000	1.032	0.987
1:68000001-68500000	1	68000001	68500000	0.894	1.016
1:68500001-69000000	1	68500001	69000000	1.019	0.994
1:69000001-69500000	1	69000001	69500000	0.939	0.96
1:69500001-70000000	1	69500001	70000000	1.081	1.079
1:70000001-70500000	1	70000001	70500000	0.988	0.984
1:70500001-71000000	1	70500001	71000000	1.062	1.001
1:71000001-71500000	1	71000001	71500000	1.016	1.075
1:71500001-72000000	1	71500001	72000000	0.986	1.04
1:72000001-72500000	1	72000001	72500000	0.972	1.01
1:72500001-73000000	1	72500001	73000000	0.988	1.032
1:73500001-74000000	1	73500001	74000000	0.924	0.969
1:74000001-74500000	1	74000001	74500000	1.047	0.946
1:74500001-75000000	1	74500001	75000000	1.116	1.023
1:75000001-75500000	1	75000001	75500000	0.995	1.078
1:75500001-76000000	1	75500001	76000000	1.102	0.962
1:76000001-76500000	1	76000001	76500000	0.997	1.022
1:77000001-77500000	1	77000001	77500000	1.027	1.017
1:77500001-78000000	1	77500001	78000000	0.958	0.876
1:78000001-78500000	1	78000001	78500000	1.093	0.997
1:78500001-79000000	1	78500001	79000000	1.067	1.07
1:79000001-79500000	1	79000001	79500000	1.017	0.972
1:79500001-80000000	1	79500001	80000000	1.066	0.927
1:80000001-80500000	1	80000001	80500000	1.07	0.875
1:80500001-81000000	1	80500001	81000000	1.065	0.981
1:81000001-81500000	1	81000001	81500000	0.999	1.003
1:81500001-82000000	1	81500001	82000000	0.961	0.979
1:82000001-82500000	1	82000001	82500000	1.055	1.052
1:82500001-83000000	1	82500001	83000000	1.085	1.103
1:83500001-84000000	1	83500001	84000000	1.06	1
1:84000001-84500000	1	84000001	84500000	0.968	1.031
1:84500001-85000000	1	84500001	85000000	0.961	1.031
1:85000001-85500000	1	85000001	85500000	0.987	0.992
1:85500001-86000000	1	85500001	86000000	0.968	1.052
1:86000001-86500000	1	86000001	86500000	0.925	1.031
1:86500001-87000000	1	86500001	87000000	1.025	1.173
1:87000001-87500000	1	87000001	87500000	1.015	1.011
1:87500001-88000000	1	87500001	88000000	1.011	1.049
1:88000001-88500000	1	88000001	88500000	1.044	1.102
1:88500001-89000000	1	88500001	89000000	0.945	0.995
1:89000001-89500000	1	89000001	89500000	1.01	0.987
1:89500001-90000000	1	89500001	90000000	0.928	0.958
1:90000001-90500000	1	90000001	90500000	1.018	1.082
1:90500001-91000000	1	90500001	91000000	0.991	0.987
1:91000001-91500000	1	91000001	91500000	1.156	1.07
1:91500001-92000000	1	91500001	92000000	1.043	1.049
1:92000001-92500000	1	92000001	92500000	0.995	1.046
1:92500001-93000000	1	92500001	93000000	1.045	0.969
1:93000001-93500000	1	93000001	93500000	1.005	0.956
1:94000001-94500000	1	94000001	94500000	1.018	0.968
1:94500001-95000000	1	94500001	95000000	0.966	0.968
1:95000001-95500000	1	95000001	95500000	0.983	1
1:95500001-96000000	1	95500001	96000000	0.946	0.975
1:96000001-96500000	1	96000001	96500000	1.025	1.001
1:96500001-97000000	1	96500001	97000000	1.085	0.977
1:97000001-97500000	1	97000001	97500000	1.083	1.068
1:97500001-98000000	1	97500001	98000000	0.983	0.963
1:98000001-98500000	1	98000001	98500000	1.05	1.081
1:98500001-99000000	1	98500001	99000000	1.031	1.09
1:99000001-99500000	1	99000001	99500000	1.043	1.049
1:99500001-100000000	1	99500001	100000000	1.015	0.989
1:100000001-100500000	1	100000001	100500000	0.985	0.924
1:100500001-101000000	1	100500001	101000000	0.987	1.012
1:101000001-101500000	1	101000001	101500000	0.965	0.956
1:101500001-102000000	1	101500001	102000000	1.045	1.059
1:102500001-103000000	1	102500001	103000000	1.028	1.01
1:103000001-103500000	1	103000001	103500000	1.092	1.016
1:104000001-104500000	1	104000001	104500000	1.008	0.953
1:104500001-105000000	1	104500001	105000000	1.001	0.997
1:105000001-105500000	1	105000001	105500000	1.032	1.005
1:105500001-106000000	1	105500001	106000000	1.006	0.981
1:106000001-106500000	1	106000001	106500000	1.131	1.025
1:107000001-107500000	1	107000001	107500000	0.942	1.045
1:107500001-108000000	1	107500001	108000000	1.016	1.083
1:108500001-109000000	1	108500001	109000000	0.841	0.84
1:109000001-109500000	1	109000001	109500000	1.069	0.912
1:109500001-110000000	1	109500001	110000000	1.081	1.066
1:110000001-110500000	1	110000001	110500000	0.878	0.984
1:110500001-111000000	1	110500001	111000000	0.954	1.013
1:111000001-111500000	1	111000001	111500000	1.024	0.98
1:111500001-112000000	1	111500001	112000000	1.043	0.945
1:112000001-112500000	1	112000001	112500000	1.062	1.057
1:112500001-113000000	1	112500001	113000000	1.022	1.074
1:113000001-113500000	1	113000001	113500000	0.907	0.989
1:113500001-114000000	1	113500001	114000000	0.865	0.926
1:114000001-114500000	1	114000001	114500000	1.078	1.091
1:114500001-115000000	1	114500001	115000000	1.021	0.931
1:115000001-115500000	1	115000001	115500000	1.139	0.984
1:115500001-116000000	1	115500001	116000000	1.066	0.941
1:116000001-116500000	1	116000001	116500000	0.993	0.99
1:116500001-117000000	1	116500001	117000000	1.113	1.122
1:117000001-117500000	1	117000001	117500000	1.002	1.035
1:117500001-118000000	1	117500001	118000000	0.995	0.965
1:118000001-118500000	1	118000001	118500000	0.986	0.944
1:118500001-119000000	1	118500001	119000000	1.129	1.077
1:119000001-119500000	1	119000001	119500000	1.089	1.04
1:119500001-120000000	1	119500001	120000000	0.875	1.093
1:147500001-148000000	1	147500001	148000000	0.99	1.088
1:150000001-150500000	1	150000001	150500000	0.984	0.985
1:150500001-151000000	1	150500001	151000000	0.947	0.94
1:151000001-151500000	1	151000001	151500000	1.191	1.008
1:151500001-152000000	1	151500001	152000000	0.876	1.008
1:152000001-152500000	1	152000001	152500000	1.065	1.038
1:152500001-153000000	1	152500001	153000000	1.118	1.116
1:153000001-153500000	1	153000001	153500000	1.056	0.993
1:153500001-154000000	1	153500001	154000000	1.009	0.938
1:154000001-154500000	1	154000001	154500000	1.047	0.899
1:154500001-155000000	1	154500001	155000000	1.16	1.067
