feature	chromosome	start	end	SLX-17922.D709tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D503tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D506tp.HC22GBBXY.s_6.r_1
1:48500001-49000000	1	48500001	49000000	0.946	1.042	1.125
1:49000001-49500000	1	49000001	49500000	1.033	1.12	1.002
1:49500001-50000000	1	49500001	50000000	1.008	1.092	1.008
1:50500001-51000000	1	50500001	51000000	1.001	0.942	1.002
1:51000001-51500000	1	51000001	51500000	0.989	0.839	1.033
1:51500001-52000000	1	51500001	52000000	1.046	0.979	0.933
1:52000001-52500000	1	52000001	52500000	1.079	0.978	1.084
1:53000001-53500000	1	53000001	53500000	0.974	0.901	1.016
1:53500001-54000000	1	53500001	54000000	0.97	1.028	1.031
1:54000001-54500000	1	54000001	54500000	1.097	1.05	1.008
1:54500001-55000000	1	54500001	55000000	1.1	1.118	1.003
1:55500001-56000000	1	55500001	56000000	1.004	1.113	1.084
1:56000001-56500000	1	56000001	56500000	1.041	0.993	1.069
1:56500001-57000000	1	56500001	57000000	0.988	1.134	0.982
1:57000001-57500000	1	57000001	57500000	0.903	1.052	1.058
1:57500001-58000000	1	57500001	58000000	1.15	1.075	1.152
1:58000001-58500000	1	58000001	58500000	1.128	1.181	1.058
1:58500001-59000000	1	58500001	59000000	1.113	0.991	0.97
1:59000001-59500000	1	59000001	59500000	1.039	0.985	1.064
1:59500001-60000000	1	59500001	60000000	1.049	1.075	0.99
1:60000001-60500000	1	60000001	60500000	1.019	1.15	1.015
1:60500001-61000000	1	60500001	61000000	1.036	1.13	1.055
1:61000001-61500000	1	61000001	61500000	0.996	1.001	0.94
1:61500001-62000000	1	61500001	62000000	1.058	1.006	0.97
1:62000001-62500000	1	62000001	62500000	1.081	0.931	1.073
1:62500001-63000000	1	62500001	63000000	0.989	1.024	1.043
1:63000001-63500000	1	63000001	63500000	0.918	1.035	1.025
1:63500001-64000000	1	63500001	64000000	1.003	1.076	1.001
1:64000001-64500000	1	64000001	64500000	1.09	0.979	0.994
1:64500001-65000000	1	64500001	65000000	1.033	0.976	1.033
1:65000001-65500000	1	65000001	65500000	0.965	1.036	1.041
1:65500001-66000000	1	65500001	66000000	1.06	1.094	1.082
1:66500001-67000000	1	66500001	67000000	0.965	0.991	1.074
1:67000001-67500000	1	67000001	67500000	1.166	1.013	0.997
1:68000001-68500000	1	68000001	68500000	0.962	0.997	1.018
1:68500001-69000000	1	68500001	69000000	1.017	1.146	1.035
1:69000001-69500000	1	69000001	69500000	0.998	1.052	0.966
1:69500001-70000000	1	69500001	70000000	0.966	1.068	1.006
1:70000001-70500000	1	70000001	70500000	0.952	0.934	0.947
1:70500001-71000000	1	70500001	71000000	0.947	1.068	1.028
1:71000001-71500000	1	71000001	71500000	1.02	1.008	1.038
1:71500001-72000000	1	71500001	72000000	0.989	1.057	1.087
1:72000001-72500000	1	72000001	72500000	0.889	0.978	1.109
1:72500001-73000000	1	72500001	73000000	0.986	0.936	1.06
1:73500001-74000000	1	73500001	74000000	1.031	1.056	0.998
1:74000001-74500000	1	74000001	74500000	0.85	0.994	0.966
1:74500001-75000000	1	74500001	75000000	0.949	1.069	1.036
1:75000001-75500000	1	75000001	75500000	1.035	1	1.033
1:75500001-76000000	1	75500001	76000000	0.969	0.951	0.978
1:76000001-76500000	1	76000001	76500000	1.017	1.031	1.027
1:77000001-77500000	1	77000001	77500000	0.936	1.089	1.026
1:77500001-78000000	1	77500001	78000000	1.003	0.996	0.901
1:78000001-78500000	1	78000001	78500000	0.949	1.096	1.031
1:78500001-79000000	1	78500001	79000000	1.008	0.991	0.948
1:79000001-79500000	1	79000001	79500000	1.117	0.985	0.961
1:79500001-80000000	1	79500001	80000000	0.913	0.939	0.956
1:80000001-80500000	1	80000001	80500000	0.98	0.973	0.985
1:80500001-81000000	1	80500001	81000000	0.941	1.132	1.052
1:81000001-81500000	1	81000001	81500000	1.01	0.914	0.967
1:81500001-82000000	1	81500001	82000000	1.141	0.899	0.963
1:82000001-82500000	1	82000001	82500000	1.133	1.08	1.088
1:82500001-83000000	1	82500001	83000000	1.029	1.043	1.083
1:83500001-84000000	1	83500001	84000000	0.97	0.984	0.995
1:84000001-84500000	1	84000001	84500000	1.064	0.983	1.045
1:84500001-85000000	1	84500001	85000000	0.955	0.908	1.08
1:85000001-85500000	1	85000001	85500000	0.987	1.015	1.003
1:85500001-86000000	1	85500001	86000000	0.99	1.116	1.01
1:86000001-86500000	1	86000001	86500000	0.99	0.999	1.012
1:86500001-87000000	1	86500001	87000000	1.026	0.984	1.003
1:87000001-87500000	1	87000001	87500000	1.076	0.941	0.955
1:87500001-88000000	1	87500001	88000000	0.985	1.03	1.015
1:88000001-88500000	1	88000001	88500000	1.104	1.067	1.025
1:88500001-89000000	1	88500001	89000000	0.898	1.046	0.96
1:89000001-89500000	1	89000001	89500000	1.048	1.011	0.988
1:89500001-90000000	1	89500001	90000000	1.003	1.046	1.003
1:90000001-90500000	1	90000001	90500000	1.127	1.044	1.094
1:90500001-91000000	1	90500001	91000000	0.993	1.026	1.044
1:91000001-91500000	1	91000001	91500000	1.084	1.005	1.022
1:91500001-92000000	1	91500001	92000000	0.952	0.973	0.993
1:92000001-92500000	1	92000001	92500000	1.029	1.04	1.041
1:92500001-93000000	1	92500001	93000000	0.995	1.062	0.965
1:93000001-93500000	1	93000001	93500000	0.962	0.931	0.876
1:94000001-94500000	1	94000001	94500000	1.019	1.002	1.087
1:94500001-95000000	1	94500001	95000000	1.043	1.035	1.034
1:95000001-95500000	1	95000001	95500000	0.972	0.99	1.036
1:95500001-96000000	1	95500001	96000000	0.942	0.953	1.071
1:96000001-96500000	1	96000001	96500000	1.042	1.07	0.934
1:96500001-97000000	1	96500001	97000000	1.108	0.994	0.976
1:97000001-97500000	1	97000001	97500000	1.005	1.043	1.025
1:97500001-98000000	1	97500001	98000000	1.063	0.977	1.112
1:98000001-98500000	1	98000001	98500000	0.968	0.982	0.96
1:98500001-99000000	1	98500001	99000000	0.977	0.937	1.03
1:99000001-99500000	1	99000001	99500000	0.998	1.058	1.074
1:99500001-100000000	1	99500001	100000000	0.944	0.99	0.984
1:100000001-100500000	1	100000001	100500000	0.859	0.849	0.961
1:100500001-101000000	1	100500001	101000000	0.917	1.073	0.958
1:101000001-101500000	1	101000001	101500000	0.998	1.065	1.078
1:101500001-102000000	1	101500001	102000000	1.089	0.982	1.085
1:102500001-103000000	1	102500001	103000000	0.981	0.865	1.042
1:103000001-103500000	1	103000001	103500000	0.971	1.053	1.016
1:104000001-104500000	1	104000001	104500000	0.957	1.059	1.007
1:104500001-105000000	1	104500001	105000000	1.008	1.064	0.988
1:105000001-105500000	1	105000001	105500000	0.936	0.977	0.954
1:105500001-106000000	1	105500001	106000000	0.976	0.943	1.009
1:106000001-106500000	1	106000001	106500000	1.049	1.076	1.008
1:107000001-107500000	1	107000001	107500000	1.018	0.998	1.005
1:107500001-108000000	1	107500001	108000000	1.053	1.015	0.925
1:108500001-109000000	1	108500001	109000000	0.864	1.051	0.918
