feature	chromosome	start	end	SLX-17921.D711tp_D506tp.H5J55BBXY.s_8.r_1	SLX-16150.D706tp_D503tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.012	0.985
1:2000001-2500000	1	2000001	2500000	1.012	0.985
1:3000001-3500000	1	3000001	3500000	1.012	0.985
1:3500001-4000000	1	3500001	4000000	1.012	0.985
1:4000001-4500000	1	4000001	4500000	1.012	0.985
1:4500001-5000000	1	4500001	5000000	1.012	0.985
1:5000001-5500000	1	5000001	5500000	1.012	0.985
1:6000001-6500000	1	6000001	6500000	1.012	0.985
1:6500001-7000000	1	6500001	7000000	1.012	0.985
1:7000001-7500000	1	7000001	7500000	1.012	0.985
1:7500001-8000000	1	7500001	8000000	1.012	0.985
1:8000001-8500000	1	8000001	8500000	1.012	0.985
1:9000001-9500000	1	9000001	9500000	1.012	0.985
1:10000001-10500000	1	10000001	10500000	1.012	0.985
1:10500001-11000000	1	10500001	11000000	1.012	0.985
1:11000001-11500000	1	11000001	11500000	1.012	0.985
1:11500001-12000000	1	11500001	12000000	1.012	0.985
1:12000001-12500000	1	12000001	12500000	1.012	0.985
1:13500001-14000000	1	13500001	14000000	1.012	0.985
1:14000001-14500000	1	14000001	14500000	1.012	0.985
1:14500001-15000000	1	14500001	15000000	1.012	0.985
1:15000001-15500000	1	15000001	15500000	1.012	0.985
1:15500001-16000000	1	15500001	16000000	1.012	0.985
1:16000001-16500000	1	16000001	16500000	1.012	0.985
1:17000001-17500000	1	17000001	17500000	1.012	0.985
1:17500001-18000000	1	17500001	18000000	1.012	0.985
1:18000001-18500000	1	18000001	18500000	1.012	0.985
1:18500001-19000000	1	18500001	19000000	1.012	0.985
1:19000001-19500000	1	19000001	19500000	1.012	0.985
1:19500001-20000000	1	19500001	20000000	1.012	0.985
1:20000001-20500000	1	20000001	20500000	1.012	0.985
1:20500001-21000000	1	20500001	21000000	1.012	0.985
1:21000001-21500000	1	21000001	21500000	1.012	0.985
1:21500001-22000000	1	21500001	22000000	1.012	0.985
1:22000001-22500000	1	22000001	22500000	1.012	0.985
1:22500001-23000000	1	22500001	23000000	1.012	0.985
1:23000001-23500000	1	23000001	23500000	1.012	0.985
1:23500001-24000000	1	23500001	24000000	1.012	0.985
1:24000001-24500000	1	24000001	24500000	1.012	0.985
1:24500001-25000000	1	24500001	25000000	1.012	0.985
1:25000001-25500000	1	25000001	25500000	1.012	0.985
1:25500001-26000000	1	25500001	26000000	1.012	0.985
